name|star|visit_review|blog_review|category|addr|tele|detail
롬브 부산점|4.66|방문자리뷰 144|블로그리뷰 108|카페,디저트|부산 강서구 명지국제5로148번길 16-2 1층|0507-1375-4103|행스파스타와 류센소라면집 사이에 있어요.
고랑식당|0.00|방문자리뷰 112|블로그리뷰 21|돼지고기구이|부산 북구 만덕대로28번길 22 고랑식당|051-337-7987|덕천역9번출구 에서 나와 스타벅스 u+ 매장 사이 직진 50m 덕천 사거리식당 맞은편
해목|4.45|방문자리뷰 1,458|블로그리뷰 2,327|일식당|부산 해운대구 구남로24번길 8|051-746-3730|해목은 일본 나고야의 명물인 히츠마부시(장어덮밥) 전문점입니다. 추가로, 해산물 덮밥과 모둠 튀김도 함께 즐길 수 있습니다.
해운대암소갈비집|4.22|방문자리뷰 4,473|블로그리뷰 3,414|육류,고기요리|부산 해운대구 중동2로10번길 32-10|051-746-3333|부산역에서 시내버스 139,140,239,240,302 타고 해운대까지 약 40분 소요.
호랑이젤라떡|4.43|방문자리뷰 1,181|블로그리뷰 1,090|아이스크림|부산 해운대구 달맞이길62번길 38 115호, 116호|0507-1302-4130|해운대 해변에서 도보 1분 해운대 해변열차 도보 1분
톤쇼우 광안점|4.55|방문자리뷰 2,931|블로그리뷰 1,873|돈가스|부산 수영구 광안해변로279번길 13|051-752-7978|돈카츠 전문점 톤쇼우 광안점입니다.
칸다소바|4.52|방문자리뷰 3,341|블로그리뷰 2,235|일본식라면|부산 부산진구 동천로 105|051-809-1662|None
수변최고돼지국밥 민락본점|4.5|방문자리뷰 3,328|블로그리뷰 1,576|국밥|부산 수영구 광안해변로370번길 9-32|051-754-9222|@@ 전국 포장 주문 가능 @@  <부산돼지국밥 베스트 1위 국밥맛집>  늘 신선한 식재료와 오랜 기간의 조리 노하우로 따뜻하고 맛있는 국밥으로 보답하겠습니다!
마이페이보릿쿠키|4.46|방문자리뷰 2,631|블로그리뷰 1,431|베이커리|부산 수영구 광남로 103|051-753-5111|광안리 공영주차장 맞은편(횡단보도), 바닷가로 도보 3분 거리입니다.
웨이브온 커피|0.00|방문자리뷰 9,005|블로그리뷰 5,219|카페,디저트|부산 기장군 장안읍 해맞이로 286|051-727-1660|지하철 동해선 [월내역] 도보 10분 거리 / 버스 37번, 180번, 마을버스 3번, 8-2번, 9번 이용시 [기장문화예절학교] 정류장 하차 후 도보 5분 거리
바릇식당|4.48|방문자리뷰 3,083|블로그리뷰 1,991|카페,디저트|부산 기장군 장안읍 해맞이로 286|051-727-1660|지하철 동해선 [월내역] 도보 10분 거리 / 버스 37번, 180번, 마을버스 3번, 8-2번, 9번 이용시 [기장문화예절학교] 정류장 하차 후 도보 5분 거리
딤딤섬 신세계백화점 센텀시티점|4.48|방문자리뷰 2,353|블로그리뷰 1,394|딤섬,중식만두|부산 해운대구 센텀남대로 35 9층|0507-1302-2026|신세계백화점 센텀시티점 9층
마리포차|4.62|방문자리뷰 16|블로그리뷰 9|요리주점|부산 연제구 월드컵대로165번길 22|0507-1384-9280|안주의 정석 포차 안주부터 요리갬성 듬뿍 담긴 퓨전 안주까지. 밥도 되고 안주도 되는 퓨전 야식 전문점 마리포차입니다.
엄지척닭도리 본점|4.53|방문자리뷰 426|블로그리뷰 386|닭볶음탕|부산 동래구 명륜로139번길 22|051-556-1163|동래에서 가장 맛있는 닭도리탕집입니다
파크하얏트부산호텔|4.67|방문자리뷰 1,005|블로그리뷰 4,692|호텔|부산 해운대구 마린시티1로 51|051-990-1234|파크 하얏트 부산은 부산전시컨벤션 센터 벡스코와 해운대의 새로운 주거지 마린시티 내에 위치해 있습니다.   벡스코 컨벤션센터 - 자동차로 5분 거리  해운대 해수욕장- 도보로 15분 거리
뚜벅스 광안점|4.84|방문자리뷰 1,692|블로그리뷰 1,181|카페,디저트|부산 수영구 광안해변로 239 7층|051-752-3944|* 코로나바이러스로 불안감이 크시겠지만 뚜벅스 카페는 수시로 소독과 청소를 하며 고객님들을 기다리고 있습니다!  광안리 오션뷰를 높은 곳에서 한눈에 바라볼 수 있는 넓고 탁트인 까페!   * 주차장이 없어 근처 공영주차장 이용해주시기 바랍니다  < DAY PROGRAM > 음료 1잔( 5,000원~ ) 구매 시  안마의자/오락실/보드게임이용가능!  < NIGHT PROGRAM > 여행자 오션뷰 바베큐 파티 (22:00-01:00)  파티문의는 010-9355-3944 로 주세요 :)
헤이든|4.4|방문자리뷰 4,290|블로그리뷰 2,424|카페,디저트|부산 기장군 일광읍 문오성길 22|051-728-4717|일광IC에서 차로 10분 거리
남천녹차팥빙수|4.48|방문자리뷰 2,736|블로그리뷰 1,430|카페|부산 수영구 수영로394번길 28|051-625-5544|보성녹차팥빙수가 유명한 카페. 보성녹차팥빙수는 얼음 위에 팥과 녹차가루가 조금 올려져 있다. 가격이 저렴하고, 녹차는 무제한으로 제공된다. 카페 앞에는 나무가 우거져 있고, 통나무 땔감이 쌓여 있다.
개미집국제시장본점|4.32|방문자리뷰 3,996|블로그리뷰 1,943|낙지요리|부산 해운대구 구남로 34|051-747-8569|None
