name|star|visit_review|blog_review|category|addr|tele|detail
부에노부스|4.64|방문자리뷰 63|블로그리뷰 39|와인|충북 청주시 청원구 율량로 184 1층|0507-1439-9315|이안테라스 맞은편쪽에 위치해있습니다
선유참치선유복집|4.27|방문자리뷰 16|블로그리뷰 38|복어요리|충북 청주시 서원구 산남로70번길 26|043-291-1235|(구)명장복집
산아래|4.54|방문자리뷰 2,672|블로그리뷰 1,090|한식|충북 제천시 봉양읍 앞산로 174|0507-1489-3233|요리연구가 강은순님이 직접 재배하고 만듭니다 모든 음식 대충하지않습니다 직접만든 산아래 밥집 항상 최선을 다하겠습니다  제천 대표 음식 브랜드 약채락 지정업소인 산아래는 농림부 후원 친환경 농산물 우수식당 충청북도지정 밥맛좋은 집이며 농림부,식약처장 표창과 충북향토음식경연대회 금상과 대상 수상 하였으며 제천대표맛집으로 선정 되었습니다 유기농 쌈채 와 신의 선물인 발아(싹이 난)현미로 밥을 지어 올립니다
트리브링|4.43|방문자리뷰 3,369|블로그리뷰 1,188|베이커리|충북 청주시 서원구 남이면 청남로 1388-36|0507-1444-7566|남청주IC에서 청주방향으로 10분 대전IC에서 25분
아웃백스테이크하우스 청주점|4.46|방문자리뷰 5,080|블로그리뷰 841|패밀리레스토랑|충북 청주시 흥덕구 대농로 43 지웰시티몰 2층|0507-1310-0961|아웃백 스테이크하우스는 전 세계 21개국 1,000여 개 매장을 보유한 세계적인 캐주얼 다이닝 스테이크 레스토랑 브랜드입니다. 호주 대 자연의 아름다움과 따뜻함을 느낄 수 있는 매장 인테리어와 함께 홈메이드 방식으로 조리되는 신선하고 풍부한 메뉴를 만날 수 있습니다. 호주산 소고기만을 사용하는 아웃백의 대표 메뉴 스테이크는 육즙이 풍부하고 부드러운 부위만을 엄선하여 고기가 가장 맛있는 따뜻한 온도의 플레이트 위에 제공하여 최상의 맛을 경험할 수 있도록 합니다.
카페산|4.39|방문자리뷰 7,515|블로그리뷰 4,076|카페,디저트|충북 단양군 가곡면 두산길 196-86|0507-1353-0868|반갑습니다. 하늘과 맞닿은 카페산입니다.  해발600m에 자리한 카페산은 말로 형용할 수 없는 멋진 풍경을 마주하는 곳으로, 빵과 커피는 물론 눈 앞에서 즐기는 패러글라이딩 체험까지 다양한 여정을 경험하실 수 있습니다.  매일 아침 생산되는 신선하고 맛있는 빵과 커피가 더욱 안전하고 건강하게 고객여러분께 전달될 수 있도록, 반려동물의 내부 입장을 제한하고 있습니다. 너그러운 양해를 구하며, 매장 외부에서 따뜻한 시간을 보내실 수 있도록 테이블과 난로를 준비해놓았습니다.  감사합니다.
스톤폴스|0.00|방문자리뷰 1,048|블로그리뷰 324|카페,디저트|충북 청주시 청원구 1순환로1896번길 19-33 스톤폴스|0507-1487-2055|율량힐타운을 검색해서 오시면 됩니다.
대산보리밥|4.61|방문자리뷰 3,203|블로그리뷰 3,661|보리밥|충북 청주시 서원구 2순환로 1461-1|0507-1342-7017|네비게이션에 죽림동 78번지 검색하고 오시면 찾기 수월합니다. ^^
중앙탑메밀마당|4.49|방문자리뷰 2,076|블로그리뷰 751|막국수|충북 충주시 중앙탑면 중앙탑길 103|0507-1400-0283|충주 중앙탑 공원 정문 앞.
카우보이그릴|4.61|방문자리뷰 2,587|블로그리뷰 465|육류,고기요리|충북 제천시 청풍면 학현소야로 415-24|0507-1325-3510|자가용 T맵, 카카오맵, 네이버 지도에 카우보이그릴 검색하세요.
게으른악어|4.22|방문자리뷰 2,318|블로그리뷰 972|카페,디저트|충북 충주시 살미면 월악로 927|043-724-9009|반려견는 야외만 이용가능합니다. 반려견과 동반 방문시 목줄 착용이 필수입니다.
마늘석갈비막국수|4.2|방문자리뷰 1,341|블로그리뷰 971|육류,고기요리|충북 단양군 단양읍 단양로 510|0507-1412-7575|단양산업단지2로를 따라 12.50km 이동 좌회전 후 현천길을 따라 42m 이동 하면 마늘석갈비막국수를 만나실수 있습니다.
성만민물장어|4.36|방문자리뷰 227|블로그리뷰 680|장어,먹장어요리|충북 청주시 흥덕구 강서로 73|0507-1344-8212|[포장 가능합니다] (민물장어 1kg 기준) 1. 구워서 포장 하는 경우(53,000원) - 15분 전에 전화 주시면 '효소산약초'를 뿌려서 맛있게 구워 포장 해드리고 있습니다. 2. 생 장어 포장하는 경우(48,000원) - 집에서 직접 구워 드실 수 있도록 포장 해드립니다.  다 같은 민물장어가 아닙니다. 미네랄과 칼슘이 풍부한 오리지널 장어구이집! [성만민물장어] 100% 국내산 장어로 만든 보양식!!  항상 고객님들께 친절한 서비스와 최고로 신선한 재료에 정성을 더하여  변함없는 맛과 청결유지에 힘쓰도록 하겠습니다. 감사합니다.
봉용불고기|4.42|방문자리뷰 2,395|블로그리뷰 1,461|육류,고기요리|충북 청주시 청원구 중앙로 108|043-259-8124|데리야키 스타일의 불고기가 인기인 곳입니다. 일본어로 데리야키란 간장 양념을 하여 굽는다는 뜻이지요. 원래는 기사식당으로 운영되던 곳이지만, 일반 손님들도 많이 찾는 편이라고 합니다. 반찬으로 제공되는 파무침을 함께 볶아서 먹는 방법도 인기 있습니다. 드시는 방법: 고기를 올린 후 그위에 간장소스를 붓고 고기가 익으면 호일에 구멍을 뚫어 간장을 뺍니다.
청풍황금떡갈비|4.4|방문자리뷰 2,086|블로그리뷰 832|한식|충북 제천시 청풍면 청풍호로 1682|043-647-6303|울금이 들어간 건강 떡갈비를 파는곳. 떡갈비는 100% 소고기떡갈비이고 100% 수제다. 울금돌솥밥은 한방도시답게 울금이외에도 황기, 당귀, 둥글레 등의 약재를 닳인 약물로 밥을 짓는다. 이곳 2호점은 울금떡갈비와 버섯불고기전골이 전문이고, 차로 2분거리에 있는 1호점인 청풍황금송어는 송어비빔회가 전문이다.
단양흑마늘닭강정|4.37|방문자리뷰 2,799|블로그리뷰 1,399|치킨,닭강정|충북 단양군 단양읍 도전4길 30 115호 단양흑마늘닭강정|0507-1330-2758|단양원조 흑마늘닭강정!!! (원주닭집) 전국에서 최초로 흑마늘닭강정을 만든 10년째 내려온 곳 흑마늘을 직접만들어 비법소스로 만들어지는 특색있고 맛있는 흑마늘닭강정입니다  단양에오시면 모두들 사가신다는 흑마늘 닭강정!!  항상 최선을 다하겠습니다^^  - 관찰카메라 24 방영 - Kbs 2tv 생생정보통 방영  - 6시내고향 최고를찾아라 방영
커피라끄|4.4|방문자리뷰 1,985|블로그리뷰 559|카페|충북 제천시 금성면 청풍호로 1226 커피라끄|0507-1344-9741|낙원주유소를 네비에 치시면 찾아오시기 편합니다.
스시히어로|4.52|방문자리뷰 1,549|블로그리뷰 585|초밥,롤|충북 청주시 흥덕구 대농로 33 테라스퀘어 215호|0507-1392-2221|솔밭초등학교 건너편 건물 롯데마트 방향 테라스퀘어 2층 스시히어로
의림지막국수|4.43|방문자리뷰 534|블로그리뷰 251|막국수|충북 제천시 의림대로 564|0507-1491-5513|의림지 공영 주차장 안에 있습니다 24시간 무료 주차 가능합니다 의림지 산책하시고 들려주세요~
