name|star|visit_review|blog_review|category|addr|tele|detail
의림지|0.00|0|블로그리뷰 3,273|호수,연못,저수지|충북 제천시 모산동 241|043-651-7101|경부고속도로 → 영동고속도로 → 여주분기점 → 중앙고속도로 → 제천IC → 북부순환로 → 의림대로 → 우륵길 → 의림지
법주사|4.26|방문자리뷰 973|블로그리뷰 1,915|세계문화유산|충북 보은군 속리산면 법주사로 405|043-543-3615|1. 고속도로 : 경부고속도로 - 청원IC 우회전 17번 국도 - 청주, 우회전 19번 국도 - 미원 19번 국도 - 보은 좌회전 37번 국도 이용. 2. 고속버스터미널 : 센트럴시티터미널 - 속리산행 버스 - 주차장 하차 후 매표소까지 20분 소요.
소노문 단양|4.19|방문자리뷰 2,546|블로그리뷰 1,710|콘도,리조트|충북 단양군 단양읍 삼봉로 187-17|1588-4888|서울 - 경부고속도로 - 신갈 JC - 영동고속도로 - 만종 JC - 중앙고속도로 - 북단양 IC - 한일시멘트 - 하괴, 성산삼고리 - 소노문 단양.
포레스트 리솜|4.35|방문자리뷰 3,186|블로그리뷰 3,109|콘도,리조트|충북 제천시 백운면 금봉로 365|043-649-6000|태초의 자연에서 얻은 진정한 쉼, 네이처 아트 힐링리조트 원시 자연의 생명력 위에서 이루어지는 태초의 휴식과 문화, 예술의 향기를 느껴보세요.
활옥동굴|4.33|방문자리뷰 341|블로그리뷰 1,832|관람,체험|충북 충주시 목벌안길 26|043-848-0503|* 동굴 내부는 연중 11~15도이오니 두툼한 개인 긴소매 겉옷을 꼭 지참하여 주시기 바랍니다.  충청북도 충주시 충주호변에 위치한 활옥동굴은 100여년 동안 활옥, 백옥, 활석 등을 채광하던 광산입니다. 한때 동양 최대 규모를 자랑했던 우리나라 산업화의 큰 자취 활옥동굴이 2019년 힐링과 체험의 동굴로 재탄생 하였습니다. 타 동굴보다 밝고 은은한 느낌을 주는 활옥동굴은 연중 11~15도로 언제나 시원하고 맑은 공기를 마실 수 있습니다. 또한 곳곳에서 광산의 흔적을 체험할 수 있습니다. 건강한 휴식과 힐링을 하며 체험도 할 수 있는 활옥동굴에서 특별한 여행을 즐기시길 바랍니다.
고수동굴|4.4|방문자리뷰 2,737|블로그리뷰 1,653|동굴|충북 단양군 단양읍 고수동굴길 8 고수동굴관리사무소|043-422-3072|남원주IC > 중앙 고속도로 > 매포IC > 단양시내 > 고수동굴
화양구곡|4.21|방문자리뷰 43|블로그리뷰 440|계곡|충북 괴산군 청천면 화양리|None|중부고속도로 증평 IC→592번 지방도로→질마재→도원교→화양1교→화양동 종합 주차장
만천하스카이워크|4.53|방문자리뷰 539|0|테마파크|충북 단양군 적성면 옷바위길 10 만천하스카이워크 매표소|043-421-0014|남한강 절벽 위에서 8090m 수면 아래를 내려보며 하늘 길을 걷는 스릴을 맛볼 수 있는 스카이워크로, 시내 전경과 멀리 소백산 연화봉을 볼 수 있습니다. 말굽형의 만학천봉 전망대에 쓰리 핑거(세 손가락) 형태의 길이 15m, 폭 2m의 고강도 삼중 유리를 통해 발밑에 흐르는 남한강을 내려다보며 절벽 끝에서 걷는 짜릿함을 경험하세요!  만천하 짚와이어는 길이 980m의 2개의 고정된 와이어로프를 타고 무동력으로 활강하듯이 내려가는 단양만의 이색 익스트림 스포츠입니다. 남한강 수면으로부터 120m 높이의 상공에서 시속 50km를 넘나드는 속도로 짜릿함을 더했으며, 만학천봉과 환승장을 잇는 1코스( 680m )와 환승장과 주차장까지 가는 2코스 ( 300m )로 구성 되어 있습니다.
사인암|4.41|방문자리뷰 56|블로그리뷰 1,102|자연명소|충북 단양군 대강면 사인암2길 42 청연암|043-422-1146|None
문암생태공원|4.39|방문자리뷰 151|블로그리뷰 1,185|자연,생태공원|충북 청주시 흥덕구 문암동 122-2|043-201-0732|면적은 21만500㎡로 가족공원, 웰빙공원, 생태공원으로 나누어져 있다. 가족공원은 게이트볼장, 조깅코스, 그라운드골프장, 바닥분수, 야외공연장, 바베큐장, 캠핑장 등으로 꾸며져 있고, 웰빙공원은 농구장, 배구장, 족구장, 건강숲체험장, 테마 웰빙숲으로 만들어졌으며 생태공원은 생태관찰테크, 생태습지원, 수목원, 야생원, 생태탐방로 꾸며져 있다.
소노문 단양 오션플레이|4.18|방문자리뷰 2,554|블로그리뷰 167|워터파크|충북 단양군 단양읍 삼봉로 187-17|1588-4888|※오션플레이: 매주 화수 클린데이로 휴장 예외 5/2(월)~3(화), 5/30(월)~5/31(화) 휴장
장령산자연휴양림|4.37|방문자리뷰 391|블로그리뷰 329|휴양림,산림욕장|충북 옥천군 군서면 장령산로 519 장령산산림문화휴양관|043-733-9615|경부고속도로 옥천IC(37번 국도)→옥천읍→삼양리 검문소(좌회전, 철도건널목 통과)→군서(좌회전)→자연휴양림(옥천에서 총 13km, 20분 소요)
월악산|0.00|0|블로그리뷰 885|산,고개|충북 제천시 덕산면 미륵송계로 1647|043-653-3250|서울 → 충주 → 단양방향 36번국도 → 신당 → 597번 지방도 → 월악산국립공원
포레스트 리솜 해브나인 스파|4.26|방문자리뷰 8,362|블로그리뷰 1,023|온천,스파|충북 제천시 백운면 금봉로 365|043-649-6014|해브나인 스파는 백신 접종 구분없이 이용 가능합니다.
송계계곡|0.00|방문자리뷰 4|블로그리뷰 264|계곡|충북 제천시 한수면 송계리|043-653-3250|중앙고속도로 남제천IC→82번지방도(수산방향)→36번국도(충주방향)→한수면→송계계곡
청풍호 관광 모노레일|4.39|방문자리뷰 201|블로그리뷰 861|모노레일|충북 제천시 청풍면 청풍명월로 879-17|043-653-5120|매주 월요일 및 동절기 휴장
