name|star|visit_review|blog_review|category|addr|tele|detail
맛나감자탕 홍성1호점|0.00|방문자리뷰 350|블로그리뷰 48|감자탕|충남 홍성군 홍성읍 조양로33번길 18|0507-1437-1219|저희 맛나감자탕에서는 매일매일 정성을 다해 직접 뼈를 끓여냅니다.  고객님들의 행복한 식사를 위해 최선을 다하겠습니다.
어서오시게 신불당점|4.96|방문자리뷰 207|블로그리뷰 116|게요리|충남 천안시 서북구 불당21로 67-12 퍼스트프라자 108호|0507-1360-8243|주소 : 충청남도 천안시 서북구 불당21로 67-12  연세나무병원과 참조은치과병원 사이에 자리하고 있는 퍼스트프라자 1층 시청 앞 대로변에 위치해있습니다  주차는 가능하시며, 보다 자세한 안내가 필요한 경우 전화주시면 친절히 안내드리도록 할게요 : )
장원막국수|4.3|방문자리뷰 3,318|블로그리뷰 2,225|막국수|충남 부여군 부여읍 나루터로62번길 20|041-835-6561|부소 산성 근처에 위치한 막국수 전문점입니다. 허름한 시골집을 개조하여 만든 소박한 분위기이지요. 새콤달콤한 육수와 주문하면 뽑아내는 메밀 함량이 높은 국수면에 살얼음을 띄워낸 막국수가 대표 메뉴입니다. 돼지 목삼겹으로 만든 편육도 반응이 좋지요. 줄을 서서 기다리는 손님이 많으니 식사 시간대에는 서두르는 것이 좋습니다.
더스터프커피|4.78|방문자리뷰 34|블로그리뷰 99|카페,디저트|충남 천안시 동남구 먹거리8길 9 1층|0507-1388-5519|신부동 먹자골목 천안 신세계 백화점에서 도보 6분 거리 성원게장 아래 쪽 콩그레츄 꽃집 맞은 편
딴뚝통나무집식당|4.4|방문자리뷰 2,446|블로그리뷰 5,780|게요리|충남 태안군 안면읍 조운막터길 23-22|041-673-1645|안면도 꽃지사거리에서 안면중학교 방향으로 200미터 (산밑에 위치하고 있음) 꽃지해수욕장, 안면도 자연휴양림에서 차량으로 5분거리 위치 ** 식당 주변에 딴뚝을 상호로 가진 식당이 있으니, 꼭 딴뚝통나무집식당으로 오세요
뚜쥬루 빵돌가마마을|4.49|방문자리뷰 15,608|블로그리뷰 2,478|베이커리|충남 천안시 동남구 풍세로 706|041-578-0036|빵을 기본으로 한 마을입니다. 국내 최초, 최대 규모의 빵돌가마를 도입하여 빵을 굽습니다. 빵돌가마는 높은 열로 빵을 구워 겉은 바삭하고 속은 촉촉한 것이 특징입니다. 시그니처 메뉴는 빵돌가마에서 굽고, 뚜쥬루에서 직접끓인 천안팥이 듬뿍 들어간 돌가마만주 입니다. 이외에도 천안쌀을 직접 제분하여 만든 쌀케익 매장이 따로 있으며, 전국 택배가능합니다.
이숲|4.47|방문자리뷰 1,184|블로그리뷰 1,215|카페,디저트|충남 천안시 서북구 성거읍 남창마을1길 32|0507-1344-0613|None
해어름|0.00|방문자리뷰 2,758|블로그리뷰 2,501|카페,디저트|충남 당진시 신평면 매산해변길 144|041-362-1955|*서해대교 송악ic에서 나와 38번 국도로  삽교천방향 왼쪽에 위치 4분 소요  서울,구리,성남,부천,판교 1시간 인천,안양 50분 수원,안산,동탄,오산,의왕 40분 평택,서산,천안 30분 당진,아산 15분~20분 대전,일산 1시간20분
안면도맛집 꽃지꽃게집|4.62|방문자리뷰 2,290|블로그리뷰 2,054|게요리|충남 태안군 안면읍 안면대로 3020|0507-1382-1105|서산, 홍성IC 기준점으로 꽃지해수욕장,원산도 방면으로 직진하다보면 우측편에 보이는 꽃지가든펜션 건물 1층이 저희 식당입니다. 파란색 간판 꽃지꽃게집을 참고:))
대천키조개삼합|4.35|방문자리뷰 2,372|블로그리뷰 486|조개요리|충남 보령시 해수욕장8길 51|041-932-9239|대천키조개삼합입니다!  대천 여행 중이라면 반드시 방문해봐야 하는 맛집입니다.  TV에도 많이 방영되고 맛있다고 극찬한 집입니다! 여러분들의 대천 방문이 곧 대천키조개삼합 방문이 될 수 있도록 많은 심혈을 기울이겠습니다.
우렁이박사|4.37|방문자리뷰 5,161|블로그리뷰 1,463|한식|충남 당진시 신평면 샛터로 7-1|041-362-9554|토요일, 일요일은 재료 소진으로 조기 마감될 수 있으니 7시까지 매장 방문 부탁드립니다  *우렁이박사는 당진 한 곳에만 있습니다 체인점은 없습니다.
카페피어라|0.00|방문자리뷰 3,408|블로그리뷰 1,808|카페,디저트|충남 당진시 합덕읍 합덕대덕로 502-24|0507-1492-9900|* 노키즈존 * 실내공간은 8세미만 노키즈존 입니다. (실외만 이용가능)  * 반려동물 동반* 실외공간만 반려동물 동반 가능합니다. 실내공간과 루프탑은 이용불가합니다. (목줄 필수, 배설물 처리 필수, 항상주인님과 함께)  * 피어라 베이커리* 피어라 베이커리는 수제로 만들고 있습니다. 종류는 매일 달라질 수 있습니다.  *외부음식 반입 금지*  숲속 작은카페 피어라로 놀러오세요~~~~ 감사합니다.
로드1950카페|0.00|방문자리뷰 4,294|블로그리뷰 1,673|베이커리|충남 당진시 신평면 매산로 170 로드1950카페|041-363-1950|송악ic에서 3분소요 삽교방면 (구주소) 당진시 신평면 매산리1-25 (신주소)충청남도 당진시 신평면 매산로 170
곰골식당|4.15|방문자리뷰 1,722|블로그리뷰 819|한정식|충남 공주시 봉황산1길 1-2|041-855-6481|저희 곰골식당은 생선구이 백반 전문점입니다. 여러 종류의 생선을 직접 숯불에 구워 생선의 비린내를 제거하고 담백함을 맛보실 수 있습니다.
소복갈비|4.22|방문자리뷰 1,386|블로그리뷰 564|육류,고기요리|충남 예산군 예산읍 천변로195번길 9|041-335-2401|None
