name|star|visit_review|blog_review|category|addr|tele|detail
궁남지|4.4|방문자리뷰 118|블로그리뷰 4,758|문화재|충남 부여군 부여읍 동남리|041-830-2880|사적 제135호. 충남 부여군 부여읍 동남리(東南里) 소재. ‘마래방죽’이라고도 한다. 부여읍에서 남쪽으로 약 1km 지점에 있으며, 동쪽에는 초석(礎石)이 남아 있고, 주변에 옛 기와가 많이 산재하여 있다. 또 부근에는 대리석을 3단으로 쌓아올린 팔각형의 우물이 있는데, 지금도 음료수로 사용되고 있다.   이 궁남지는 백제 무왕(武王)의 출생설화와도 관계가 있다. 무왕의 부왕인 법왕(法王)의 시녀였던 여인이 못가에서 홀로 살다 용신(龍神)과 통하여 아들을 얻었는데, 그 아이가 신라 진평왕(眞平王)의 셋째딸인 선화공주(善花公主)와 결혼한 서동(薯童)이며, 아들이 없던 법왕의 뒤를 이은 무왕이 바로 이 서동이라는 것이다.   이러한 설화는 이곳이 별궁터였고 궁남지가 백제 왕과 깊은 관계가 있는 별궁의 연못이었음을 추측하게 한다. 백제의 정원(庭園)을 연구하는 데 중요한 자료가 된다. 한편, 《일본서기(日本書紀)》에는 궁남지의 조경(造景) 기술이 일본에 건너가 일본 조경의 원류(源流)가 되었다고 전하고 있다.
스플라스 온천 워터파크|4.19|방문자리뷰 3,472|블로그리뷰 1,570|온천,스파|충남 예산군 덕산면 온천단지3로 45-7|041-330-8062|[SPLAS X TUKATA] 덕산온천에 학! 빠졌소~  600년 전 다친 학을 치료했다는 덕산온천의 전설~ 그 영험한 온천수에 28대 후손 루미가 나타났다!  스플라스는 라이프스타일 브랜드 TUKATA (뚜까따)의 학 캐릭터 루미와 함께 여름과는 또 다른 겨울온천의 즐거움을 전달합니다.  새해를 맞아 김이 펄펄~ 기운 팔팔~ 신나는 겨울온천을 즐기세요!  https://bit.ly/3pojVvk  -  덕산온천의 전설 학을 치료한 영험한 온천수  '학 한 마리가 논 한가운데 서 있기에 동네 주민들이 가까이 가서 살펴보니 날개와 다리에 상처를 입고서는 논 물을 상처에 찍어 바르고 있었다고 한다. 3일 후 상처가 나아 날아갔는데 이를 이상하게 여긴 마을 사람들이 학이 앉았던 자리를 살펴보니 따뜻하고 매끄러운 물이 솟아나고 있었다. 그 후로 이곳을 약수터로 사용하였는데 피부병, 신경통 등에 효험이 있어 이 마을을 온천골이라 부르게 되었다.' - 이율곡 <충보>
꽃지해수욕장|4.36|방문자리뷰 295|블로그리뷰 4,576|해수욕장,해변|충남 태안군 안면읍 승언리|None|서울→서해안고속도로→홍성IC →안면도→꽃지해수욕장
파라다이스스파도고|4.37|방문자리뷰 12,875|블로그리뷰 1,485|온천,스파|충남 아산시 도고면 도고온천로 176|041-537-7100|온천의 고장 충남 아산의 랜드 마크, 국민보양온천 1호인 파라다이스 스파 도고는 자연의 매력을 한껏 느낄 수 있고, 건강한 휴식을 즐길 수 있는 휴양시설입니다. 좋은 물로 효능을 인정받은 온천수, 다양한 실내외 스파풀장, 테라피 마사지, 피로가 쌓인 몸에 치유의 시간을 선물할 수 있고, 자연 속에서 지친 마음에 활력을 불어 넣을 수 있는 새로운 힐링 파라다이스공간입니다.  파라다이스 스파 도고는 온 가족이 모두 편안하고 즐거운 휴식을 마음껏 취할 수 있게 해주는 신개념 힐링 리조트로 앞으로 지속적인 레저 문화를 창조해 나가겠습니다.
소노벨 천안|4.3|방문자리뷰 2,230|블로그리뷰 994|콘도,리조트|충남 천안시 동남구 성남면 종합휴양지로 200|1588-4888|[ 대명리조트 브랜드 변경 안내문 ]  2019년 10월, 대명리조트에서 소노호텔&리조트로 새롭게 출발합니다.   대명리조트는 40년 동안 쌓아온 서비스와 경험을 바탕으로 지속성장을 위하여 새로운 출발을 하고자 합니다.   브랜드 변경을 시작으로 국내에 집중되어 있던 비즈니스 포트폴리오를 해외로 확장함은 물론, 개발 단계부터 고객 서비스까지의 매뉴얼을 체계적으로 구축하여 경쟁력 강화에 집중할 것입니다.   앞으로 소노호텔&리조트는 국내 최고를 넘어 세계 최고를 지향하는 글로벌 리딩 컴퍼니로 더 크게 도약할 것을 약속드리며, 새로운 도약을 위해 힘차게 나아갈 소노호텔&리조트에 변함없는 관심과 성원 부탁드립니다.
무창포해수욕장|4.23|방문자리뷰 133|블로그리뷰 2,083|해수욕장,해변|충남 보령시 웅천읍 열린바다1길 10 무창포해수욕장번영회사무실|041-936-3561|경부고속도로→천안 IC→21번 국도→천안→14.7km→온양→47.5km→홍성→33km→대천→대천 해수욕장 해변도로 따라 20km→무창포 해수욕장
대천해수욕장|4.22|방문자리뷰 235|블로그리뷰 7,746|해수욕장,해변|충남 보령시 신흑동|041-933-7051|경부 고속도로-천안 IC-아산-홍성-보령-대천 해수욕장
만리포해수욕장|4.39|방문자리뷰 84|블로그리뷰 2,438|해수욕장,해변|충남 태안군 소원면 모항리|041-672-9662|서해 '만리포' 해변에 펼쳐진 '캘리포니아비치' 자유로운 서퍼들의 천국, 힐링 스팟 만리포니아비치 입니다.
아산지중해마을|4.37|방문자리뷰 196|블로그리뷰 2,088|체험마을|충남 아산시 탕정면 탕정면로8번길 55-7|041-547-2246|None
천리포수목원|4.41|방문자리뷰 3,829|블로그리뷰 2,806|식물원,수목원|충남 태안군 소원면 천리포1길 187 천리포수목원|041-672-9982|서해안고속도로-서산IC-태안-만리포-천리포수목원
공산성|4.31|방문자리뷰 228|블로그리뷰 3,915|세계문화유산|충남 공주시 금성동 53-51|041-856-7700|백제시대 축성된 산성으로 백제 때에는 웅진성으로 불렸다가 고려시대 이후 공산성으로 불리게 되었다. 475년(문주왕 1) 한산성(漢山城)에서 웅진(熊津)으로 천도하였다가, 538년(성왕 16)에 부여로 천도할 때까지 5대 64년간의 도읍지인 공주를 수호하기 위하여 축조한 것으로, 당시의 중심 산성이었다. 해발 110m인 공산(公山)의 정상에서 서쪽의 봉우리까지 에워싼 포곡식(包谷式) 산성이며 성의 둘레는 2450m이다. 평면으로는 동서 약 800m, 남북이 약 400m이며 사방에 석벽이 남아 있다. 원래 토성이었는데 조선 중기에 석성으로 개축된 것이다.  동쪽과 남쪽 성벽은 돌로 쌓아 높이 약 2.5m인데, 전면만을 석축하였으며 내면은 토사·잡석으로 다져 붙였고, 너비는 3m이다. 동쪽 성벽 밖에 토성이 있는데, 높이는 무너져서 알 수 없으나 너비는 약 3m이다. 서쪽 성벽은 본래 토축(土築)된 위에 돌로 쌓아 외면만을 축조하여 높이는 4m 정도이다. 지금은 원형을 알 수 없는 서문터(현재는 통로) 남쪽은 석재로 쌓았는데, 너비 4.5m, 높이 3m이다.   성벽 안에는 7∼8m의 호(壕)가 남아 있다. 북쪽에는 조잡한 석축성벽(石築城壁)이 높이 2m, 너비 1.5m 정도로 남아 있으며, 수구(水口)도 있다. 남쪽에 남문터(현재 鎭南樓)가 있고, 그 서쪽은 높이 3m, 너비 3.7m로 석축하였고, 성내에는 너비 11m의 호가 있다. 진남루 앞의 넓은 터는 백제의 궁터이고, 공북루(拱北樓)의 윗부분은 건물터로 추정된다. 또, 이 부근에는 우물터 3개가 있다. 성내에는 후대에 세워진 영은사·광복루(光復樓)·쌍수정(雙樹亭)·연못터 등이 남아 있다.
아산 스파비스|3.97|방문자리뷰 5,049|블로그리뷰 1,292|온천,스파|충남 아산시 음봉면 아산온천로157번길 67|041-539-2000|테마온천으로 활력을, 워터파크로 스릴을!
몽산포해수욕장|4.43|방문자리뷰 60|블로그리뷰 1,759|해수욕장,해변|충남 태안군 남면 신장리|None|서울 남부터미널→태안 시외버스 이용(06:40→19:00 운행, 1일 20회, 3시간 30분 소요)
춘장대해수욕장|4.29|방문자리뷰 44|블로그리뷰 1,274|해수욕장,해변|충남 서천군 서면 춘장대길 20|041-953-3383|서울>경부고속도로>회덕 IC>호남고속도로>논산 IC~68번 지방도로>강경 29번 국도>서천>607번 지방도로>비인>춘장대 해수욕장
삼길포항|0.00|0|블로그리뷰 1,883|항구|충남 서산시 대산읍 화곡리|None|서해안 고속도로 송악 IC→가곡교차로→석문방조제→큰마섬 교차로 우회전→장고항→왜목항→대호방조제→삼길포항서해안 고속도로 해미 IC→석림사거리→삼길포항
백제문화단지|4.51|방문자리뷰 2,587|블로그리뷰 1,568|유적지,사적지|충남 부여군 규암면 백제문로 455 백제문화단지|041-408-7290|찬란했던 백제문화를 마음껏 감상하고 백제의 정취에 흠뻑 젖어 보시기 바랍니다!
소노벨 천안 오션어드벤처|3.96|방문자리뷰 9,324|블로그리뷰 901|워터파크|충남 천안시 동남구 성남면 종합휴양지로 200|1588-4888|오션어드벤처 천안! 테마여행을 스토리로 한 환타지 세상 오션어드벤처! 우리나라 중부지역권 최대의 테마워터파크를 자랑하는 소노벨 천안. 건강과 힐링, 그리고 즐거움은 물론 일상의 피로와 스트레스들을 해소할 수 있는 다양한 시설들이 준비되어 있습니다.
마곡사|4.37|방문자리뷰 3,491|블로그리뷰 2,699|세계문화유산|충남 공주시 사곡면 마곡사로 966|041-841-6221|서울IC - 천안 JCT 톨게이트 - 천안 논산간 고속도로진입 - 정안 톨게이트부터 마곡사 표지판 따라서 - 604번 지방도이용, 18km 지점에 위치.
오천항|0.00|0|블로그리뷰 1,413|항구|충남 보령시 오천면|041-932-2023|서해안고속도로 광천IC→단아래사거리→진죽사거리→오천항
온양온천랜드|4.45|방문자리뷰 875|블로그리뷰 414|온천,스파|충남 아산시 삼동로28번길 46|041-541-3700|아산시외버스터미널 앞 농협, 롯데리아 골목 들어서서 2블록 지나 왼쪽에 위치하며 5분이내입니다. 온양온천역(1호선 1번출구) 앞에서 아산시외버스터미널 버스 타고 터미널 하차합니다.
수락계곡|4.42|방문자리뷰 44|블로그리뷰 318|계곡|충남 논산시 벌곡면 수락리|041-732-3568|경부고속도로→서대전 IC.→1번 국도(논산 방향, 우회전)→연산4거리→벌곡방향(좌회전)→벌곡면소재지 3거리(우회전)→수락리 주차장
국립생태원|4.47|방문자리뷰 1,988|블로그리뷰 2,601|관람,체험|충남 서천군 마서면 금강로 1210|041-950-5300|None
청포대해수욕장|4.24|방문자리뷰 40|블로그리뷰 1,123|해수욕장,해변|충남 태안군 남면 원청리|None|서울→서해안고속도로→당진 나들목을 나와 서산으로 가는 32번 국도→서산을 지나 태안→40번 지방도로로 좌회전→ 몽산포해수욕장을 지나 길 오른쪽→청포대해수욕장
외암민속마을|4.28|방문자리뷰 55|블로그리뷰 931|관람,체험|충남 아산시 송악면 외암민속길 5|010-9019-0848|전통가옥을 활용한 체험으로 마을에는 23가구가 체험,민박을 운영하고 있습니다. 홍보, 예약, 관리는 마을법인에서 운영하고 있습니다.
남당항|4.11|방문자리뷰 133|블로그리뷰 1,406|지역명소|충남 홍성군 서부면 남당리|None|경부고속도로를 타고 가다 천안으로 나와 21번 국도를 타고 홍성에 들어선 뒤 29번 국도로 갈산까지 가서 614번 군도를 타고 25km 정도 더 가면 어항이 나온다.
현충사|4.47|방문자리뷰 82|블로그리뷰 2,431|문화재|충남 아산시 염치읍 백암리|041-539-4600|None
롯데리조트부여|4.36|방문자리뷰 2,358|블로그리뷰 1,911|콘도,리조트|충남 부여군 규암면 백제문로 400|041-939-1000|백제의 섬세한 미의식과 예술의 정수를 이어받은 부여에 위치한 롯데리조트부여는 역사 문화 탐방부터 레저와 휴식,미식과 골프까지 한번에 즐길수 있는 유기적인 여행 콘텐츠를 보유했습니다
