name|star|visit_review|blog_review|category|addr|tele|detail|tag|image
캠핑토크|4.74|413|18|캠핑용품|대구 서구 달서로 241|053-566-2290|"비산지하차도(북대구IC방향) 지나서 바로 왼편에 위치하고 있습니다."|이색체험,신나는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211214_193%2F1639464375677EWGnF_JPEG%2F20211214_154455.jpg
제라캠핑|4.58|581|91|캠핑용품|대구 북구 대불로 15|0507-1351-1516|"대구엑스코 근처"|이색체험,신나는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220708_135%2F1657267248579tkLby_JPEG%2FKakaoTalk_20220708_162825857_27.jpg
이월드|4.55|34398|6312|테마파크|대구 달서구 두류공원로 200 이월드|0507-1487-0001|"동대구역, 대구역 : 지하철1호선(대곡방면) -> 지하철2호선(문양방면) 반월당역에서 환승 -> 두류역15번 출구 ->이월드(도보5분 소요) 지하철1호선 : 지하철2호선(문양방면) 반월당역에서 환승 -> 두류역15번 출구 -> 이월드(도보5분 소요) 지하철2호선 : 두류역15번 출구 -> 이월드(도보5분 소요)"|신나는,데이트,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220702_25%2F1656760818671gvb7k_JPEG%2FKakaoTalk_20220702_201950288_01.jpg
두류공원|4.34|147|2253|테마공원|대구 달서구 공원순환로 36|053-803-7470|"대구시내에서 성당로를 경유하는 버스를 타고 문화예술회관 옆 하차."|신나는,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_159%2F1440992256331IoD48_JPEG%2F116171617752167_0.jpg
워터파크 스파밸리|4.18|4921|2053|워터파크|대구 달성군 가창면 가창로 891 워터파크 스파밸리|1688-8511|"북대구 I.C에서 대구 진입 - 서변대교 위에서 좌회전하여 신천대로 진입 - 침산교 - 성북교 - 동신교 - 수성교 - 희망교 - 상동교 네거리에서 직진 (가창,청도방면) - 강변대로 - 가창,청도 방면- 가창중석타운 - 스파밸리"|신나는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220620_266%2F16556962420847PfFl_JPEG%2Fbanner_x.jpg
호텔수성|4.31|1003|1375|3성급|대구 수성구 용학로 106-7|1899-1001|"동대구역에서 15분 거리에 위치."|분위기 있는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200814_125%2F1597336502443rXXJU_JPEG%2FszzzGU31NsOHk8p0ZwfWgXeq.jpg
스파크랜드|4.47|4261|903|테마파크|대구 중구 동성로6길 61|053-230-2010|"상상을 현실로 옮긴 대구 동성로의 랜드마크 스파크랜드!"|이색체험,신나는,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201130_269%2F160673154131146CTw_JPEG%2F600-600-2.jpg
옥연지 송해공원|4.33|121|2593|근린공원|대구 달성군 옥포읍 기세리 306|053-668-2706|"중부내륙고속도로 여주JC – 경부고속도로 김천JC – 중부내륙고속도로지선 금호JC – 서대구IC 창원 방면으로 11.8km 이동 – 화원옥포TG 중부내륙고속도로지선 직진 후 2km 이동 – 옥연지"|파릇파릇한|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180823_165%2F15350133204517PCuu_JPEG%2F3PGXJYQjs-ODFG7B73LPB1Ga.jpg
83타워|0.00|353|1289|전망대|대구 달서구 두류동|053-620-0114|"83타워는 대구 중심에 위치해 있고, 해발 312m높이로 1992년 대구시가 직할시로 승격된 기념으로 완공되었습니다. 대구 전경이 한눈에 바라다 보이는 "전망대" 78층 대구의 파노라마 뷰를 감상하면서 즐기는 정통 스테이크하우스 뉴욕뉴욕 바이 켄싱턴(회전레스토랑) 푸드폴리탄, 애슐리퀸즈, 리미니가든, 아이스링크, 매직아트(착시사진전시 체험관) 등 즐길거리, 놀거리, 볼거리, 먹거리로 가득찬 대구의 랜드마크 입니다."|든든한,신나는,데이트,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzEwMTFfMjcx%2FMDAxNTA3NzExMjcyMzI2.m3I11rQC20j3sotOLUf8ajfMn9UmXBhDTW5qUFjdAhEg.dTAhvY-4lJnTNhNxceV_oxPD59aCeDF1e_ezNF-eThIg.PNG.adorable3133%2F5975.png
화원유원지|4.37|199|978|유원지|대구 달성군 화원읍 사문진로1길 40-14|053-659-4465|"면적 약 5만여 평. 중구(中區) 남서쪽 15 km 부근에 있다. 낙동강의 푸른 물과 백사장, 그리고 깎아지른 절벽 등이 조화를 이룬다. 성산에는 신라 선덕왕이 축조한 토성이 있는데, 그 모양이 잔[杯]과 같다 하여 배성(杯城) 또는 잔뫼라고도 하며 신라군의 무기고와 군량창고가 있었고 조선시대에는 봉수대가 있었다. 본래는 신라 경덕왕이 이곳의 경치를 사랑하여 상화대(賞花臺)라고 명명했다고도 한다. 지금 상화대 위에는 팔각정이 있어 전망대의 역할을 하며, 6,000여 평의 수영장, 1만여 평의 잔디밭, 주차장, 도산서원(陶山書院)에서 옮겨온 한옥 2채, 수목 1만 2000그루 등이 조성되어 있으며 동물원도 설치되어 있다.   유원지로 개발된 것은 1928년, 찾는 이가 많아 일제강점기 말기까지 번창하다가 8 ·15광복 후에는 관리부재(管理不在) 상태로 한동안 쇠미했었다."|파릇파릇한,피크닉,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_57%2F1441014062558m8sGo_PNG%2F116977538035133_0.png
