name|star|visit_review|blog_review|category|addr|tele|detail
가양막창 죽동점|4.6|방문자리뷰 126|블로그리뷰 221|곱창,막창,양|대전 유성구 죽동로279번길 63-14|042-826-5659|죽동 푸르지오아파트와 예미지 사이에 있는 상권에 위치해 있습니다.
교촌치킨 유성점|4.26|주문자리뷰 584|블로그리뷰 321|치킨,닭강정|대전 유성구 문화원로 90|0504-2015-4124|Real Flavor, True Story 우리의 정직한 이야기가 담긴, 정직한 맛을 소비자에게 전달하겠다는 이 슬로건은 교촌치킨이 지키고 이끌어나가야 할 약속입니다.
성심당 본점|4.52|방문자리뷰 28,455|블로그리뷰 8,978|베이커리|대전 중구 대종로480번길 15|1588-8069|■주차장 안내■ *성심당 고객주차장: 대전시 중구 대종로 474 *우리들공원 주차장: 대전시 중구 중앙로138번길 30) *현대주차장(우리들공원 옆) *이안과병원 주차장: 대전 중구 대종로 468 천우빌딩   ※1만원 이상 구매시 1시간 주차권 증정(계산시 꼭 요청해주세요. 동일 매장에서 2장 발급 불가)
태평소국밥|4.46|방문자리뷰 4,896|블로그리뷰 4,959|국밥|대전 유성구 온천동로65번길 50|042-525-5820|원조태평소국밥은 태평동을 본점으로 유성구 봉명동에도 오픈된 음식점입니다. 2007년부터 쭉 영업을 해온 음식점으로써, 최상의 서비스와 맛을 손님께 전달해드리기위해 늘 노력하고있습니다. 소국밥, 내장탕, 곰탕, 소머리수육, 육사시미가 인기있는 주 메뉴입니다. 요번에 분점을 오픈했습니다.  인근에 간판과 상호가 비슷한 유사업체가 있으나, 맛과 질이 아주 다르기 때문에 혼돈하지 마세요.
오씨칼국수|4.42|방문자리뷰 3,429|블로그리뷰 2,047|칼국수,만두|대전 동구 옛신탄진로 13|042-627-9972|수타면을 이용한 칼국수 전문점입니다. 멸치 다시마를 14시간 우려낸 육수에 현지 직송의 조개를 사용하여 만든 바지락 손칼국수가 대표 메뉴이지요. 국산 검정콩을 맷돌에 갈아 만든 검정 콩국수와 묵은지를 갈아넣은 묵은지 수제비도 반응이 좋습니다. 수육과 두부 두루치기 등의 술안주도 준비되어 있지요.
커피인터뷰|4.45|방문자리뷰 1,971|블로그리뷰 1,597|카페|대전 유성구 한밭대로371번길 25-3|042-823-3712|None
태평소국밥|4.43|방문자리뷰 1,216|블로그리뷰 1,973|한식|대전 서구 둔산로31번길 52 덕삼빌딩 1층 102호|042-525-5810|원조태평소국밥은 태평동을 본점으로 유성구 봉명동,둔산동에도 오픈된 음식점입니다. 2007년부터 쭉 영업을 해온 음식점으로써, 최상의 서비스와 맛을 손님께 전달해드리기위해 늘 노력하고있습니다. 소국밥, 내장탕, 곰탕, 소머리수육, 육사시미가 인기있는 주 메뉴입니다. 인근에 간판과 상호가 비슷한 유사업체가 있으나, 맛과 질이 아주 다르기 때문에 혼돈하지 마세요. 원조태평소국밥캐릭터를 확인하세요.
땡큐베리머치|4.59|방문자리뷰 3,747|블로그리뷰 637|카페|대전 중구 중교로 49 땡큐베리머치|070-7723-0905|대전 대흥동 평생학습관 맞은편에 위치하고있습니다. 대흥동 250-2번지 1층 입니다
치앙마이방콕|4.28|방문자리뷰 1,201|블로그리뷰 1,170|태국음식|대전 동구 철갑3길 8|042-628-7890|None
대선칼국수|4.32|방문자리뷰 1,541|블로그리뷰 522|칼국수,만두|대전 서구 둔산중로40번길 28 오성빌딩 2층 대선칼국수|042-471-0317|1957년에 오픈하여 약 50여년 이상 오래된 한식당입니다. 멸치와 다시마, 바지락을 넣어 끓인 육수를 넣고 쑥갓과 들깨가루, 김가루를 올린 담백한 손칼국수 메뉴가 대표적인 메뉴인데요. 참기름과 고추장 양념을 넣은 비빔국수도 인기있는 메뉴이지요. 야들야들하게 삶아진 수육과 오징어, 두부두루치기도 별미입니다.
