name|star|visit_review|blog_review|category|addr|tele|detail
한밭수목원|4.32|방문자리뷰 489|블로그리뷰 3,927|식물원,수목원|대전 서구 둔산대로 169|042-270-8452|대전TG에서 - 동부사거리 - 한밭대로 - 한밭대교 건너 우회전 - 대전문화예술의전당 방향으로 좌회전.
대전오월드|4.45|방문자리뷰 12,979|블로그리뷰 3,561|테마파크|대전 중구 사정공원로 70|042-580-4820|도심 속에서 즐기는 놀랍고 즐거운 세상!! 주랜드+플라워랜드+조이랜드+버드랜드의 종합테마파크!! 사랑스러운 동물들과 재미넘치는 놀이기구가 가득한 대규모 테마파크 오월드로 초대합니다.  대전오월드는 안전한 관람을 위해 방역에 노력하고 있으며, 코로나19 확산 예방을 위해 마스크 착용 및 사회적거리두기, 손소독, 발열 체크에 적극 협조해 주시기 바랍니다.
엑스포 과학공원|4.21|방문자리뷰 243|블로그리뷰 624|도시,테마공원|대전 유성구 대덕대로 480|042-250-1111|대전통영도로 - 남부순환도로 - 경부고속도로 - 회덕IC - 호남고속도로 - 북대전IC.
장태산자연휴양림|4.41|방문자리뷰 233|블로그리뷰 2,522|휴양림,산림욕장|대전 서구 장안로 461|042-270-7883|호남고속도로 서대전광역시 인터체인지에서 대전광역시 시내방면 1번 국도(3km)→가수원 4거리(우회전)→639번 지방도로(8km)→흑석동 4거리(좌회전-4km)→장태산 자연휴양림
호텔오노마|4.07|방문자리뷰 557|블로그리뷰 763|5성급|대전 유성구 엑스포로 1 호텔 오노마 대전|042-259-8007|좋은날 좋은사람과 함께하기 좋은 장소~ 조금은 어두워져야 비로소 멋진뷰를 볼수있답니당~좋은시간에 추억하나 만들고갑니다
유림공원|4.41|방문자리뷰 159|블로그리뷰 1,895|도시,테마공원|대전 유성구 어은로 27|042-824-4581|굳
대전 엑스포 아쿠아리움|4.2|방문자리뷰 2,064|블로그리뷰 658|아쿠아리움|대전 유성구 엑스포로 1 대전 신세계 Art&Science 지하 1층|042-607-8852|대전 신세계 Art&Science 지하 1층
엑스포 과학공원한빛탑|0.00|방문자리뷰 7|블로그리뷰 901|부속시설|대전 유성구 대덕대로 480|None|굿
대전어린이회관|4.46|방문자리뷰 318|블로그리뷰 604|관람,체험|대전 유성구 월드컵대로 32|042-824-5500|유성구 노은동 월드컵경기장 동관 1층에 위치해있습니다. 유성 IC 맞은 편에 위치해있습니다.
만인산자연휴양림|0.00|방문자리뷰 81|블로그리뷰 724|휴양림,산림욕장|대전 동구 하소동 산47|042-270-8653|경부고속도로 비룡분기점 > 대진고속도로 추부IC(37번 국도-좌회전) > 추부(17번 국도-우회전) > 만인산푸른학습원 으로 도착
