name|star|visit_review|blog_review|category|addr|tele|detail
댕구이|0.00|방문자리뷰 85|블로그리뷰 71|요리주점|광주 광산구 임방울대로800번길 71 1층 110,111호|0507-1341-6156|첨단아크레타 1층 후문쪽에 위치해 있습니다
식당 해이리 첨단본점|4.53|방문자리뷰 875|블로그리뷰 279|한식|광주 광산구 임방울대로801번길 42 1층|0507-1329-7381|식당해이리 오시는길은 수완 맛집 거리에서 차로 10분 첨단 아크레타 맛집 거리에서 차로 3분 도보로 10분 첨단 포플레이 맛집 거리에서 차로 4분 도보로 15분 거리 입니다  네비게이션에 '식당해이리' 네이버 검색창에 '식당해이리'를 검색하시면 좀 더 쉽게 위치를 확인 하여 방문 하실 수 있습니다  자세한 위치는 첨단 병원 사거리 못 가서 위치 하여 있으며 첨단 이비가 짬뽕과 같은 건물 1층에 위치하여 있습니다 첨단에는 맛집들이 정말 많습니다 하지만 솥밥 전문점은 저희 '식당해이리' 뿐이니 어렵지 않게 찾아 방문 하실 수 있습니다 첨단 맛집 중 솥밥 맛집인 저희 '식당해이리'는 점심 맛집으로도 유명합니다 첨단 맛집 상권이 인정한 맛집 해이리를 방문 하셔서 즐거운 점심식사, 저녁 식사를 권합니다
나나방콕|0.00|방문자리뷰 2,393|블로그리뷰 689|태국음식|광주 서구 상무자유로 180 대선빌딩 1F|0507-1349-7501|가게 위치는상무지구 치평동 스타벅스 맞은편 이며, 상무 자유로 180 혹은 대선빌딩 1층 입니다. -
본디소|4.58|방문자리뷰 378|블로그리뷰 424|퓨전음식|광주 남구 양촌길 29-2 1층|0507-1350-1661|차량을 이용하실 경우에는 골목길 진입이 어렵기 때문에 많은 불편함을 겪을 수 있습니다. 주차는 공영주차장을 이용하시고 걸어오시는 것을 권장합니다.
Lounge OIC|4.34|방문자리뷰 1,320|블로그리뷰 571|양식|광주 광산구 임방울대로826번길 42 포플레이첨단 Lounge OIC|0507-1475-9912|[주차안내] 포플레이첨단 지하 1층 무료 주차 ※ 만차일 경우, 맞은 편 아우어베이커리 건물 (더시너지첨단) 무료 주차 가능
솔밭솥밥|4.5|방문자리뷰 1,001|블로그리뷰 819|한정식|광주 동구 동명로 9-5 1층|070-8844-2998|카페 system 옆길. 주차공간 X
애슐리퀸즈 광주유스퀘어점|4.15|방문자리뷰 2,688|블로그리뷰 772|패밀리레스토랑|광주 서구 무진대로 904 유스퀘어 2층|0507-1449-1063|※ 주차는 터미널, 문화관, 신세계 주차장에서 2시간 이용 가능하며, 이마트 주차장 이용은 불가능합니다.
정동|0.00|방문자리뷰 91|블로그리뷰 62|돈가스|광주 광산구 수완로74번길 11-68 1층 정동|0507-1381-3507|수완지구 한 적 한 골목길에 위치한 우드톤의 돈카츠 전문점  수완지구 파출소에서 300m가량 수완지구 열병합 발전소 쪽으로 올라 오시면 찾을 수 있으시구요 . 광주 광천고속터미널로 부터 차량으로 20분거리에 있습니다.  차량으론 운남동에서 부터 10분 거리 이구요 , 수완지구 국민은행 사거리에서 5분거리입니다.  감사합니다.
맥문동|4.4|방문자리뷰 2,627|블로그리뷰 793|카페|광주 서구 마륵로 24|062-373-0895|김대중컨벤션센터 맞은편 갤러리 303아파트에서 직진하여 청수민물장어 맡은편 흰색건물입니다.
유향|4.41|방문자리뷰 1,757|블로그리뷰 668|중식당|광주 광산구 용아로400번길 33|None|홍합과 꽃게, 조개, 오징어 한 마리를 통째로 넣어 얼큰하면서 시원한 국물의 해물 짬뽕이 유명한 중식당입니다. 간판에는 쟁반짜장 전문점이라 표기되어 있으나 해산물이 가득 담겨 나오는 짬뽕으로 유명한 곳인데요. 짬뽕은 한 가지 종류로 주문 시 면과 밥 중 하나를 선택하여 즐기는 사천탕이 대표 메뉴지요.
숙성도 광주점|0.00|방문자리뷰 195|블로그리뷰 185|육류,고기요리|광주 광산구 임방울대로826번길 30 1층 109호|0507-1368-7739|첨단지구대 맞은 편에 위치해 있습니다.
퍼니스 카페앤라운지|4.31|방문자리뷰 1,115|블로그리뷰 611|카페,디저트|광주 서구 천변좌하로 192|062-374-8187|광주 서구 천변좌하로 192
맛집현아네|0.00|방문자리뷰 150|블로그리뷰 138|한식|광주 서구 운천로204번길 9|062-373-8012|쌍촌동 연탄구이 골목에 위치해 있습니다.
쑥스 초코파이|4.61|방문자리뷰 744|블로그리뷰 182|베이커리|광주 광산구 송정로8번길 27 1층|0507-1362-1913|KTX 광주송정역에서 도보5분 거리입니다. 1913송정역시장 중간에 있으며, 주차는 간단한 픽업은 매장 앞 가능합니다. 장시간 주차는 1913송정역시장주차타워에 가능합니다.
솔솥 상무점|0.00|방문자리뷰 169|블로그리뷰 96|한식|광주 서구 상무중앙로 101 1층 107호 솔솥 광주 상무점|0507-1373-1188|상무지구 웨이팅 솥밥 맛집 솔솥!  대한민국 대표 프리미엄 솥밥 '솔솥' 입니다  [추천메뉴]  - 스테이크솥밥 고기와 노른자를 톡 터트려 비벼먹는 고소 담백 스테이크솥밥  - 도미관자 솥밥 부드러운 도미살과 관자가 함께 어우러진 프리미엄 솥밥  이 외에도 다양한 솥밥이 있으니 방문하여 솥밥의 매력에 빠져보세요 솔솥의 누룽지는 일반적인 돌솥누룽지가 아닌,  뜨겁지 않고 구수한 솔솥만의 특별한 일식풍 누룽지입니다.  식사마지막에 누룽지를 3~4스푼 넣어서 입가심해보세요.  [*] 항상 고품질의 재료를 사용하여 깊은 맛을 내고 있는 저희 솔솥은 늘 푸른 소나무처럼 한결같이 맛있는 한 끼를 대접하기 위해 노력하도록 하겠습니다
상무초밥 상무점|4.41|방문자리뷰 2,858|블로그리뷰 1,458|초밥,롤|광주 서구 운천로 253|0507-1427-9201|경영이념  바르게 최고가 된다.  목표와 비전 2025년까지 전국최고 최다 초밥 브랜드가 된다.  상무(上無)  초밥집중 상무초밥보다 위는 없다는 생각으로 경영이념과 같이 진실되게 최고가 되겠습니다.   상무초밥의 다섯가지 약속 1. 건강하고 안전한 식재료만 쓰겠습니다.  2. 최상급 쌀로만 밥을 짓겠습니다.  3. 음식에 가격 이상의 가치를 담아내겠습니다.  4. 대한민국 초밥 대중화를 선도하겠습니다.  5. 전국 최고의 초밥브랜드가 되기 위해 목숨걸고 노력하겠습니다.
왕산|4.78|방문자리뷰 822|블로그리뷰 424|덮밥|광주 동구 동계천로 163 2층|0507-1364-8901|동명식빵 에서 도보 1분 거리에 있습니다. ALCC 학원 마주보는 건물 2층 입니다. 주차는 ACC(부설주차장)에 주차하시면 1시간 무료주차 가능합니다.
라라브레드 송정점|4.5|방문자리뷰 2,359|블로그리뷰 1,426|브런치|광주 광산구 광산로19번길 24|1800-2785|광주광역시 광산구 송정동 837-14
제줏간 첨단점|4.66|방문자리뷰 821|블로그리뷰 445|육류,고기요리|광주 광산구 첨단중앙로106번길 42 제줏간|0507-1334-2819|엠파이어 사거리 먹자골목
뽀뽀통닭 전산여고후문|0.00|방문자리뷰 5|블로그리뷰 157|치킨,닭강정|광주 광산구 내상로15번길 86|062-944-9033|None
