name|star|visit_review|blog_review|category|addr|tele|detail
큰기와|0.00|방문자리뷰 323|블로그리뷰 294|한식|경북 경주시 첨성로49번길 22 1층|0507-1399-3005|*****주차장있음***** (주차장은 도보1분 에위치한 큰기와 서쪽 대로변 대화주유소내 주차장 테이블당 1시간 이용권을 드립니다.) 황리단길 신상 고기 맛집 대표 인기 메뉴로 수원왕갈비 .큰기와꽃갈비 이며 와인 콜키지 가없고 매장에서 판매하는 와인가격이 아울렛 가격 으로 착하게 제공 되고잇어 부담없이 드실수 있습니다.
외바우 안강본점|4.34|방문자리뷰 437|블로그리뷰 336|소고기구이|경북 경주시 안강읍 구부랑3길 12|0507-1420-7733|1. 양동민속마을과 옥산서원 중간지점. 풍산금속 맞은편 우방아파트 입구. 모텔 근처. 2.. 우방아파트 진입해서 S-OIL 보이면, S-OIL끼고 좌회전 50m 지점 오른쪽편 위치. 3. 화단이 많은집..그린색 목조건물.
향화정|4.4|방문자리뷰 3,985|블로그리뷰 3,239|한식|경북 경주시 사정로57번길 17|0507-1359-8765|주차 : 매장 앞 주차장 없음  - 공용 주차장 이용 혹은,  - 경주공업고등학교 갓길에 주차하시고 걸어오세요, 도보 2~3분 거리)
소옥|4.37|방문자리뷰 2,894|블로그리뷰 2,023|한식|경북 경주시 포석로1050번길 29 1층|0507-1390-3545|경주 황리단길 내 황남초등학교 뒷편 옥색 대문집입니다!
올리브|4.53|방문자리뷰 1,762|블로그리뷰 2,062|베이커리|경북 경주시 사정로57번길 7-6|0507-1366-4191|주차 : 매장 앞 주차장 없음  - 경주공업고등학교 갓길에 주차하시고 걸어오세요, 도보 2~3분 거리)  - 양지다방 옆에 위치 해 있습니다.
료코|4.62|방문자리뷰 1,944|블로그리뷰 1,613|돈가스|경북 경주시 첨성로99번길 27|0507-1409-7477|골목안에 있는 가게라 주차공간이 협소합니다 근처 주차공간: 대릉원공영주차장, 숭혜전근처, 가게 옆 대릉원 돌담길, 경주남부교회 옆 공영주차장
아덴|4.37|방문자리뷰 4,978|블로그리뷰 2,546|카페,디저트|경북 경주시 보문로 424-34|0507-1431-2029|None
교리김밥 본점|3.87|방문자리뷰 7,724|블로그리뷰 3,747|김밥|경북 경주시 탑리3길 2|054-772-5130|경주IC에서 가까운 오릉 근처에 위치한 50년 전통 교리김밥은 전국 3대 김밥중 하나로 불립니다. 과거 팔도에서 온 요정들의 주린 배를 채우기위해 담치기로 넘겨준 김밥이 입소문을 타고 알려지게 되었지요. 두툼한 두께와 김밥속 대부분을 채운 잘게 썬 계란지단이 특징입니다. 간의 조화로 부드럽고 담백한 맛이 차별화됩니다.
환여횟집|4.39|방문자리뷰 5,428|블로그리뷰 2,930|생선회|경북 포항시 북구 해안로 189-1|054-251-8847|포항시 북구 두호동 북부해수욕장에서 해맞이공원 가기 전에 위치함.
엘로우|4.42|방문자리뷰 2,903|블로그리뷰 1,614|카페|경북 경주시 경감로 375-16|0507-1436-1151|[노키즈존 안내] 엘로우는 계단과 유리난간이 많은 건물 특성으로 아이들의 안전을 위해 내,외부 모두 노키즈존(14세미만)으로 운영되고 있습니다.  LLOW는 Lean Low의 줄임말로 나른하고 여유롭게 기대쉴 수 있는 공간이라는 의미를 담고 있습니다. 한옥과 현대식 건축이 어우러져 있는 건축물로, 호수를 바라보도록 설계되어있습니다.  * 매장 상황에 따라 운영시간이 변경될 수 있습니다. 인스타그램을 확인해주세요. @llow_official
황남빵|4.46|방문자리뷰 11,049|블로그리뷰 1,773|베이커리|경북 경주시 태종로 783|054-749-7000|80년을 거슬러 올라가는 유례없는 유래, 경상북도 지정 명품, 경주빵의 원조 황남빵
마라도회식당|4.36|방문자리뷰 2,876|블로그리뷰 1,770|생선회|경북 포항시 북구 해안로 217-1|054-251-3850|반갑습니다. 마라도회식당 입니다. 최상의 식재료와 맛으로 정성을 담겠습니다. 감사합니다.
이가대게|0.00|방문자리뷰 1,052|블로그리뷰 803|대게요리|경북 영덕군 강구면 강구대게길 52 이가대게|0507-1409-5556|강구대교를 건너 우회전하셔서 강구항쪽으로 내려오시면 오른쪽 첫번째 이가대게 본점이있으며 강구대교 건너서 직진해서 오시면 강구새마을 금고 옆 이가대게전용 주차장이 있으며 이가대게 앞으로 오시면 발렛파킹도 가능하니 오시면 친절하게 안내해드립니다
영덕대게 맛집 슛돌이 경우네집|4.85|방문자리뷰 733|블로그리뷰 1,143|대게요리|경북 영덕군 강구면 강구대게길 5 슛돌이경우네집|0507-1341-0995|강구 신대교를 지나자마자 바로 우회전 하시면 자갈치수산 / 슛돌이 경우네 집이라고 크게 보이실 겁니다.
어마무시 황남점|0.00|방문자리뷰 128|블로그리뷰 66|카페,디저트|경북 경주시 첨성로99번길 25-6 어마무시 황남점|0507-1378-6930|시즈닝 옆 골목으로 들어오시면 있습니다
스컹크웍스|4.48|방문자리뷰 1,325|블로그리뷰 1,180|카페|경북 경주시 포석로 1058-3|054-746-9300|None
서민식당|4.36|방문자리뷰 1,837|블로그리뷰 1,107|육류,고기요리|경북 경주시 경감로 633|0507-1417-8281|경주 엑스포 GEM센터 맞은 편.
