name|star|visit_review|blog_review|category|addr|tele|detail
백경한우 판교본점|4.73|방문자리뷰 156|블로그리뷰 39|육류,고기요리|경기 성남시 수정구 창업로 42 경기기업성장센터 지하1층 B117호|0507-1310-0533|1. 판교 제2테크노밸리 경기 기업성장센터 지하1층 에스컬레이터 옆 2. 버스정류장 기업성장센터에서 50M
오징어청춘프리미엄 다산점|0.00|방문자리뷰 31|블로그리뷰 7|오징어요리|경기 남양주시 다산중앙로123번길 22-80 121호, 122호, 123호|0507-1327-0771|오징어회의 1등 브랜드 오징어청춘이 프리미엄으로 새롭게 단장했습니다.  더욱 좋은 퀄리티와 맛으로 가족/연인 끼리 편하게 즐길수 있도록 달려가겠습니다.
카자구루마|4.47|방문자리뷰 729|블로그리뷰 508|일식당|경기 수원시 팔달구 신풍로23번길 61 1층|0507-1348-7303|수원 선경도서관 밑
고기리막국수|4.36|방문자리뷰 5,881|블로그리뷰 5,228|막국수|경기 용인시 수지구 이종무로 157|0507-1334-1107|지하철 미금역 7번출구 14번 마을버스  (20분 간격으로 배차됩니다.)  자동차 1. 분당에서 오실때 미금역에서 수지방향으로 직진후 동원터널지나서 대장 IC로 나온후 고기리유원지로 진입 2. 서울에서 오실때 서울 용인고속도로 타고 서분당 IC로 빠져서 고기리 유원지로 진입, 첫번째 갈림길은 직진. 두번째 갈림길(고기2교 다리) 하나부동산보이면 관음사쪽으로 좌회전해서 직진하면 왼쪽편에 보입니다.
더티트렁크|4.25|방문자리뷰 14,569|블로그리뷰 6,146|브런치|경기 파주시 지목로 114|0507-1495-9285|FROM 합정역 2200번 문발동 아랫말 하차 & 도보 10분  FROM 금촌&금릉 078, 073 버스 탑승 & 문발동 아랫말 하차  FROM 운정, 교하 200번 2200Q번  BY CAR(자동차)   내비게이션에 '더티 트렁크' 또는 '경기도 파주시 지목로 114' 입력 후, 안전한 DRIVE PLEASE!
말똥도넛 디저트타운 파주점|0.00|방문자리뷰 3,678|블로그리뷰 2,418|카페,디저트|경기 파주시 지목로 137 말똥도넛|None|더티트렁크와 가까운 곳에 위치하고 있습니다. 주차 가능합니다.
카페 대너리스|4.36|방문자리뷰 6,403|블로그리뷰 4,228|카페,디저트|경기 남양주시 조안면 북한강로 914|031-521-9700|- 브런치는 평일에만 판매합니다 브레이크 타임- 15:30-17:00 (브런치 메뉴는 네이버 블로그에서 확인해주세요) - 브런치는 재료소진으로 조기 마감할 수 있습니다! - 애견동반 입장은 안됩니다 - 주차 공간 170대
목향원|4.3|방문자리뷰 6,558|블로그리뷰 9,530|한식|경기 남양주시 덕릉로1071번길 34-11|031-527-2255|연중무휴 영업 수요미식회, VJ특공대, 생생정보통, 생생정보(장사의신), 찾아라 맛있는 TV, 생방송 오늘저녁,수락산 맛집, 남양주 맛집, 별내 맛집 방송,  SBS 주말드라마 내사랑나비부인 촬영 세트장 국내산 , 유기농 쌈야채 석쇠불고기 쌈밥정식 전문점 입니다.  명절포함 연중무휴이며 브레이크 타임없습니다 성수기(3월~10월)까지 예약이 없습니다
모퉁이참숯갈비|4.44|방문자리뷰 70|블로그리뷰 33|육류,고기요리|경기 김포시 고촌읍 고송로 36|031-986-1066|None
팔당초계국수본점|4.1|방문자리뷰 4,318|블로그리뷰 2,559|국수|경기 남양주시 와부읍 다산로 43|031-576-0330|1층 팔당초계국수
수타우동 겐 본점|4.38|방문자리뷰 1,593|블로그리뷰 1,062|카페,디저트|경기 파주시 오도로 91|031-937-8612|애견 동반 X 앤드테라스 식사점 / 앤드테라스 파주점 / 앤드테라스 내유점  애견동반 O 앤드테라스 & 피터팻츠 내유점 / 앤드테라스 스타필드하남점   브런치 라스트 오더 19시 50분  ※ 마스크착용필수  * 불편하시겠지만, 많은 양해 부탁드립니다.
