name|star|visit_review|blog_review|category|addr|tele|detail
에버랜드|4.55|방문자리뷰 55,659|블로그리뷰 23,147|테마파크|경기 용인시 처인구 포곡읍 에버랜드로 199|031-320-5000|*온라인 구매 후 입장 가능 시점까지는 약 5분정도 소요되므로, 사전 구매 후 이용바랍니다.  마음 속에 품고 있는 소중한 가치를 담아 모두와 함께 나눌 행복이 머무는 곳, 그 곳이 바로 에버랜드입니다.
캐리비안베이|4.5|방문자리뷰 27,891|블로그리뷰 3,591|워터파크|경기 용인시 처인구 포곡읍 에버랜드로 199|031-320-5000|서울 - 판교IC - 분당 - 분당요한성당 - 태재고개 - 광주 방면 57번 국도 - 능원교차로 (P턴) - 43번 국도 - 용인 방면 문형교차로 - 45번 국도 - 321번 도로 우회전 (전대리 방면) - 에버랜드 리조트.  수원 - 수원IC - 신갈오거리 (용인 방면) - 42번 국도 - 용인시청 - 선봉대 입구 삼거리 (좌회전) -  에버랜드 리조트.
헤이리 예술마을|4.21|방문자리뷰 1,103|블로그리뷰 4,504|체험마을|경기 파주시 탄현면 헤이리마을길 70-21 헤이리 갈대광장|031-946-8551|자유로~성동IC~첫번째 사거리 좌회전~마을 입구
두물머리|4.16|방문자리뷰 813|블로그리뷰 14,132|자연명소|경기 양평군 양서면 양수리|031-775-8700|강변북로 양평방면 -> 6번 국도 -> 양수대교 -> 양수 사거리 우회전 -> 두물머리
서울랜드|4.46|방문자리뷰 13,448|블로그리뷰 5,681|테마파크|경기 과천시 광명로 181|02-509-6000|운영시간은 홈페이지에서 꼭 확인해주세요!
서울대공원|4.44|방문자리뷰 7,096|블로그리뷰 6,694|테마파크|경기 과천시 대공원광장로 102|02-500-7335|나들이의 명소! 희망과 삶의 활력이 느껴지는 힐링 동 식물원
아침고요수목원|4.43|방문자리뷰 5,592|블로그리뷰 10,222|식물원,수목원|경기 가평군 상면 수목원로 432|1544-6703|현재 아침고요에서는 약 5,000여 종의 식물을 관람할 수 있고, 총10만평의 면적에 하경정원, 에덴정원, 아침광장, 하늘길, 분재정원, 한국정원 등 22여개의 특색 있는 주제정원으로 이루어져 있습니다. 산수경온실, 초화온실, 알파인온실 총 3곳의 실내 전시시설을 보유하고 있으며 계절별로 열리는 축제와 야생화・수국・국화 전시회 등의 전시행사를 진행합니다. 이밖에 시가 있는 산책로, 아침고요산책길, 아침계곡, 탑골, 천년향 등의 수려한 자연경관을 감상할 수 있습니다.
한국민속촌|4.49|방문자리뷰 17,049|블로그리뷰 7,400|관람,체험|경기 용인시 기흥구 민속촌로 90 한국민속촌|031-288-0000|대한민국을 대표하는 전통문화 테마파크 한국민속촌. 전통문화 속의 가치와 즐거움을 새롭게 발견하고 즐기며 우리의 전통이 얼마나 아름답고 소중한지 공감할 수 있는 곳. 선조들의 지혜와 슬기를 체험할 수 있는 국내 유일의 전통문화 테마파크 한국민속촌으로 초대합니다.
광명동굴|4.51|방문자리뷰 8,731|블로그리뷰 6,262|동굴|경기 광명시 가학로85번길 142|070-4277-8902|상세페이지 內 교통수단별 이용방법 참고바랍니다.
세미원|4.32|방문자리뷰 4,627|블로그리뷰 5,135|식물원,수목원|경기 양평군 양서면 양수로 93|031-775-1835|6번 국도 - 양평방향 - 신양수대교 - 양수리방향 - 양서 문화 체육공원  월요일 공휴일 개관 익일 휴관
