name|star|visit_review|blog_review|category|addr|tele|detail
곳간504 본점|4.85|방문자리뷰 913|블로그리뷰 314|육류,고기요리|경남 거제시 아주1로2길 39 곳간504|0507-1314-1677|아주동 농협하나로마트 맞은편 입니다. 거제 소노캄에서 10분거리 입니다^^
창원회센타|4.48|방문자리뷰 286|블로그리뷰 235|생선회|경남 창원시 성산구 상남로 113 지하 1층|0504-2015-3431|창원 롯데백화점 후문 맞은편, 상남수협은행 건물 지하1층 지상주차장, 지하주차장 시설 완비 차량으로 이동해서 오시면 더욱 편리합니다.
완벽한인생|4.21|방문자리뷰 2,602|블로그리뷰 1,050|독일음식|경남 남해군 삼동면 독일로 30 완벽한인생|055-867-0108|대중교통 이용 시 남해읍에서 오실 경우 : 남해시외버스터미널-물건리 버스정류장 하차  진주에서 오실 경우 : 진주시외버스터미널-남해시외버스터미널 하차-물건리방면 버스로 환승-물건리 버스정류장 하차  자가차량 이용 시 사천에서 오실 경우 : 삼천포대교-늑도대교-창선대교-창선교-지족삼거리 좌회전-독일마을 진입로
하연옥|4.19|방문자리뷰 4,088|블로그리뷰 2,759|냉면|경남 진주시 진주대로 1317-20|055-746-0525|None
온더선셋|4.44|방문자리뷰 5,901|블로그리뷰 2,216|카페|경남 거제시 사등면 성포로 65|055-634-2233|거제시 성포로 65
외도널서리|4.34|방문자리뷰 4,059|블로그리뷰 2,131|카페|경남 거제시 일운면 구조라로4길 21|055-682-4541|환영합니다. 여기는 한 차원 높은 정원 문화를 선보이고자 구조라 해수욕장에 지어진 외도 널서리입니다.  본래 '널서리(nursery)'란 식물을 가꾸는데 필요한 가드닝 용품, 화병, 씨앗, 꽃 등을 파는 원예점을 의미합니다. 그러나 저희 외도 널서리는 단순한 원예점에 만족하지 않고 한 걸음 더 나아간 프리미엄 문화 생활을 선보입니다. 고객님의 섬세한 오감을 만족시키기 위해 스페셜티 원두를 사용한 최고급 커피와 프랑스 폴 보퀴즈(Institut Paul Bocuse)출신의 파티쉐가 선보이는 다양한 디저트를 준비했습니다. 또한 문화 전문 클래스와 로컬 푸드를 이용한 건강한 먹거리 제공을 통해 거제와의 지역 상생을 위해서도 노력하고 있습니다. 저희 외도 널서리는 수준 높은 고객님을 위해 한 차원 높은 문화를 선보이려고 최선을 다해 준비하고 있습니다.  주차장을 이용하실분은 네비게이션에서 ''외도널서리 주차장''이라고 입력하고 오세요.
해녀해물다찌|4|방문자리뷰 241|블로그리뷰 361|해물,생선요리|경남 통영시 항남2길 25-50|0507-1397-3345|통영다찌거리, 다찌 전문 맛집입니다. 애주가들의 파라다이스~ 해녀해물다찌로 다찌 맛보러 오세요~
쿤스트라운지|4.23|방문자리뷰 2,242|블로그리뷰 1,296|맥주,호프|경남 남해군 삼동면 독일로 34|0507-1401-4058|None
수정궁|4.58|방문자리뷰 494|블로그리뷰 1,250|소고기구이|경남 김해시 대청계곡길 186 수정궁|055-312-2004|만족스러운 식사와 더불어 아름다운 풍경이 함께 하는 수정궁 입니다. 과일로 숙성시킨 정성들인 정갈한 반찬들이 명품한우의 맛을 더욱 빛나게.해줍니다.
천황식당|4.4|방문자리뷰 946|블로그리뷰 1,030|한식|경남 진주시 촉석로207번길 3|055-741-2646|갤러리아백화점 진주점으로부터 도보로 4분 거리에 있습니다. 273m 횡단보도 2개
인사이드커피|4.67|방문자리뷰 396|블로그리뷰 326|카페,디저트|경남 창원시 의창구 퇴촌로25번길 10-20 인사이드커피|070-7576-4474|창원대학교 정문 쪽, GS편의점 뒤 두번째 골목 붉은 벽돌집 사이 하얀 카페입니다 :)
마소마레|4.75|방문자리뷰 4,352|블로그리뷰 939|카페,디저트|경남 거제시 일운면 거제대로 1828-5 마소마레|0507-1404-4300|네비게이션 >> 경남 거제시 일운면 거제대로 1828-5 또는 일운면 망치리 79번지 넓은 주차장(100대) 완비되어 있습니다^^ (대형버스 주차 가능)
바이사이드|4.7|방문자리뷰 501|블로그리뷰 382|카페,디저트|경남 통영시 항남1길 12 2층 바이사이드|010-3133-8661|항남동 포트극장 옆 히딩크 가라오케 2층 바이사이드 카페&펍
힙한식|0.00|방문자리뷰 665|블로그리뷰 412|한식|경남 남해군 미조면 동부대로 2|0507-1354-1966|남해군 미조면 초전삼거리 지중해 펜션 앞
심해|4.69|방문자리뷰 2,896|블로그리뷰 728|카페,디저트|경남 거제시 장목면 옥포대첩로 1252|0507-1343-2972|매미성 주차장에서 오시면 입구로 바로 들어 오실수 있습니다.
동피랑전복마을|4.55|방문자리뷰 1,619|블로그리뷰 631|한식|경남 통영시 통새미길 21|055-648-4406|오이소꿀빵에서 11시 방향 뒷편으로 찾아보시면 있어요~(1분이내 거리)
대풍관|4.44|방문자리뷰 2,013|블로그리뷰 1,037|해물,생선요리|경남 통영시 해송정2길 29|0507-1325-4446|통영 남망산 조각공원 입구에 위치.
만선칼국수|4.46|방문자리뷰 1,047|블로그리뷰 548|칼국수,만두|경남 거제시 연초면 소오비길 43|055-636-0066|중곡동 소오비 다리 건너 30m 직진거리에 있습니다!
오브셀라|4.53|방문자리뷰 710|블로그리뷰 796|브런치|경남 창원시 의창구 용동로57번길 18 시그니처M 2층 204호|0507-1306-4334|한아름 약국 바로 2층에 위치하고 있습니다.
하주옥진주냉면|4.34|방문자리뷰 4,057|블로그리뷰 1,607|냉면|경남 사천시 사남면 하동길 8-11|055-853-9005|None
W181|4.43|방문자리뷰 619|블로그리뷰 656|카페,디저트|경남 거제시 장목면 거제북로 2707 2층|055-636-5030|그동안 개방되었던 북카페를 주말에만 개방하게 되었습니다.  - 19세 이하 사용 금지 - 책 터치 금지 - 181 음료만 반입가능 (외부음식 반입금지)
동굴집|4.54|방문자리뷰 852|블로그리뷰 729|오리요리|경남 창원시 마산합포구 가포해안길 35|055-221-0668|창원시 마산합포구 가포동 가포고에서 좌회전 100m. 가포동사무소 옆.
미조식당|4.46|방문자리뷰 839|블로그리뷰 214|쌈밥|경남 남해군 미조면 미조로 232|0507-1401-7837|미조수협 바로 뒤에 있습니다.  남해 독일마을 과는 약 10분 거리에 위치하고 있습니다.  설리해수욕장, 상주해수욕장 모두 10분 거리에 위치하고 있습니다.
인산인해|4.92|방문자리뷰 421|블로그리뷰 72|카페,디저트|경남 남해군 미조면 동부대로 57|0507-1366-8033|남해군 미조면 동부대로 57 인산인해
토도스|4.49|방문자리뷰 1,486|블로그리뷰 1,336|멕시코,남미음식|경남 창원시 성산구 용호로 116|0507-1404-4100|창원가로수길에 위치한 타코앤그릴 레스토랑입니다.
범어집|4.77|방문자리뷰 362|블로그리뷰 362|육류,고기요리|경남 양산시 물금읍 화합6길 9-1|055-386-3546|양산 물금 범어 택지 內 양산 부산대학병원 택지 內
쌤김밥|4.24|방문자리뷰 568|블로그리뷰 737|종합분식|경남 거제시 일운면 지세포로 101|None|None
황포냉면|4.3|방문자리뷰 1,212|블로그리뷰 664|냉면|경남 진주시 호탄길34번길 10|055-762-7433|None
더세하|4.42|방문자리뷰 1,997|블로그리뷰 984|카페,디저트|경남 김해시 대청계곡길 257-39|0507-1371-1633|장유 폭포 상단
대동할매국수|4.38|방문자리뷰 3,446|블로그리뷰 1,113|국수|경남 김해시 대동면 동남로45번길 8|0507-1306-6439|대동화명대교 - 대동면종합복지회관 - 대동중학교 초정리 안막마을에 위치 신규개통된 부산산성터널을 이용하시면 빠릅니다
하면옥 본점|4.4|방문자리뷰 1,450|블로그리뷰 762|냉면|경남 거제시 연초면 연하해안로 320|0507-1415-1242|한내방향 해와나루골프 연습장을 오른쪽 편 으로 두시고 한 블럭만 더 오시면 있습니다
한꼬막두꼬막|4.23|방문자리뷰 1,902|블로그리뷰 2,454|해물,생선요리|경남 거제시 일운면 지세포로 122|055-681-5556|28년 경력의 장인이 손수 만든 게장, 꼬막, 가리비 정찬 을 푸짐하게 드실 수 있습니다. (국내산 꼬막, 가리비 만 사용하는 거제도 원조집 입니다.) (도시어부 촬영지)  우리 가족이 먹는다는 생각으로 재료부터 하나하나 신경쓰고 있으며,  음식에 들어가는 장 종류는 전부 직접 담가서 사용하기 때문에 어머니의 손맛을 제대로 느끼실 수 있습니다.  (단체 예약 가능) (전화예약 필수)
트리폰즈|0.00|방문자리뷰 626|블로그리뷰 215|카페,디저트|경남 양산시 하북면 삼감리 14|0507-1329-9825|진성종합터미널 내 우측 카페 트리폰즈
