name|star|visit_review|blog_review|category|addr|tele|detail
롯데워터파크|4.31|방문자리뷰 15,970|블로그리뷰 1,904|워터파크|경남 김해시 장유로 555|1661-2000|국내 최고의 익사이팅 스케일!  규모도 최대! 즐거움도 최대!  이국적인 테마 폴리네시안 컨셉의 시원하게 펼쳐진 김해 롯데워터파크에서 다양하고 아찔한 재미까지!
욕지도|4.39|방문자리뷰 143|블로그리뷰 1,550|섬|경남 통영시 욕지면|055-649-9905|남해고속도로→서마산IC(14번 국도)→고성→통영→여객선터미널,통영항여객터미널에서 여객선이용, 1)선명→나폴리호(055-645-3717) 2)선명→욕지호(055-643-6771) 3)선명→금영호(055-643-8973)
지리산|4.41|방문자리뷰 161|블로그리뷰 3,143|국립공원|경남 함양군 마천면 추성리|055-970-1000|함양JCT - 88고속도로 - 함양IC 또는 지리산IC
동피랑 벽화마을|4.39|방문자리뷰 326|블로그리뷰 6,837|체험마을|경남 통영시 동피랑1길 6-18|None|서울 → 경부고속도로 대전 JC → 통영대전중부고속도로 → 통영 IC → 통영해안로 미늘삼거리 → 동피랑마을
바람의언덕|4.38|방문자리뷰 360|블로그리뷰 5,084|지역명소|경남 거제시 남부면 갈곶리 산14-47|None|None
소노캄 거제|4.43|방문자리뷰 1,779|블로그리뷰 2,650|콘도,리조트|경남 거제시 일운면 거제대로 2660|1588-4888|[ 대명리조트 브랜드 변경 안내문 ]  2019년 10월, 대명리조트에서 소노호텔&리조트로 새롭게 출발합니다.   대명리조트는 40년 동안 쌓아온 서비스와 경험을 바탕으로 지속성장을 위하여 새로운 출발을 하고자 합니다.   브랜드 변경을 시작으로 국내에 집중되어 있던 비즈니스 포트폴리오를 해외로 확장함은 물론, 개발 단계부터 고객 서비스까지의 매뉴얼을 체계적으로 구축하여 경쟁력 강화에 집중할 것입니다.   앞으로 소노호텔&리조트는 국내 최고를 넘어 세계 최고를 지향하는 글로벌 리딩 컴퍼니로 더 크게 도약할 것을 약속드리며, 새로운 도약을 위해 힘차게 나아갈 소노호텔&리조트에 변함없는 관심과 성원 부탁드립니다.
장유대청계곡|4.31|방문자리뷰 125|블로그리뷰 561|계곡|경남 김해시 대청계곡길 170-27|055-350-1931|남해제2고속도로→장유 IC→창원터널 전 우회전→창원터널 3.6km 지점→장유폭포로 우회전 3km 지점에 위치.
진주성|4.42|방문자리뷰 2,091|블로그리뷰 2,839|성곽명|경남 진주시 본성동|055-749-5171|1963년 1월 21일 사적 제118호로 지정되었다. 일명 촉석성(矗石城)이라고도 한다. 본래 백제 때의 거열성지(居烈城址)였다고 하며, 고려 말 공민왕(恭愍王) 때 7차례 중수되고 왜구 방비의 기지로 사용되었다. 내성의 둘레1.7km, 외성의 둘레 약 4km이다.  임진왜란 때는 김시민(金時敏) 장군이 왜군을 대파하여 임란3대첩(壬亂三大捷) 중의 하나가 벌어진 곳이며, 1593년 6월 왜군의 재침시에는 군관민 6만이 최후까지 항쟁, 장렬한 최후를 마쳤으며, 이때 논개(論介)는 적장을 안고 남강(南江)에 투신하였다.  기록에 보면 1605년(선조 38) 병사(兵使) 이수일(李守一)이 진(鎭)을 성내로 옮기고 성이 너무 넓어 수비가 곤란하다 하여 내성을 구축하게 되었는데, 성은 자연 촉석루를 중심한 현 진주공원 일대의 외성과 현재의 성내동(城內洞) 주변 내성의 둘로 나눠지게 되었다. 그뒤 병사 김태허(金太虛)가 1607년 포루(砲樓) 12개를 증축하였고, 18년(광해군 10) 병사 남이흥(南以興)이 성 수축에 많은 노력을 기울여 지금의 진주성은 대략 이때 완성된 것으로 추정된다.
다랭이마을|4.34|방문자리뷰 248|블로그리뷰 4,439|체험마을|경남 남해군 남면 남면로679번길 21 다랭이두레방|0507-1355-7608|서울 --> 남해고속도로 진교IC --> 남해대교 --> 남해읍 -->남면 해안도로 -->가천마을 --->다랭이마을
매미성|4.37|방문자리뷰 115|블로그리뷰 4,117|지역명소|경남 거제시 장목면 복항길|None|None
한화리조트 거제 벨버디어|4.43|방문자리뷰 2,862|블로그리뷰 3,326|콘도,리조트|경남 거제시 장목면 거제북로 2501-40|1670-9977|거가대교를 지나온 후, 관포교차로에서 통영/장목방면으로 빠져 거제 벨버디어 안내판을 따라 오시면됩니다.
구조라해수욕장|4.38|방문자리뷰 20|블로그리뷰 870|해수욕장,해변|경남 거제시 일운면 구조라리 500-1|055-639-3000|부산에서 여객선타고→장승포 (1시간 소요)→구조라해수욕장
학동흑진주몽돌해수욕장|4.44|방문자리뷰 174|블로그리뷰 2,749|해수욕장,해변|경남 거제시 동부면 학동리|None|남해고속도로 서마산IC(14번 국도)→고성→통영→거제대교→사등(삼거리)→거제→동부→학동몽돌
내원사계곡|0.00|방문자리뷰 4|블로그리뷰 262|계곡|경남 양산시 하북면 용연리|055-380-4826|경부고속도로 통도사 IC→35번국도→1025 지방도→통도사, 내원사도착
남해독일마을|4.4|방문자리뷰 300|블로그리뷰 5,482|체험마을|경남 남해군 삼동면 물건리 1074-2|None|삼일로요금소 → 중부고속도로35번고속도로 → 남해고속도로 사천IC → 삼천포대교 → 삼동면 → 독일마을
거제씨월드|4.19|방문자리뷰 8,990|블로그리뷰 1,125|아쿠아리움|경남 거제시 일운면 지세포해안로 15|0507-1400-1551|※입장(관람) 프로그램 안내  - 2층 돌핀 프레젠테이션 (야외 돌고래&벨루가 공연)  - 돌핀 프레젠테이션 관람 후 벨루가 기념 사진 촬영 (타임당 50인 한정)  - 1층 실내 돌고래&벨루가 수족관 관람  - 파충류 학습관 관람  - 3층 테마관 관람 - 테마사진관 / 추억여행관 등 멋진 인생샷도 남기고, 교복대여, 옛날과자 등으로 옛 추억에 빠질 수 있는 곳  ※체험 프로그램 안내 (*체험료 별도 요금 발생 / 시즌별 체험 진행 여부 상이할 수 있음)  - 물 밖 체험: 돌핀 교감 체험 / 벨루가 교감 체험  - 물 속 체험: 돌핀 아쿠아 체험 / 벨루가 아쿠아 체험 / VIP 아쿠아 체험 / 돌핀 스윔 체험 / VIP 라이드 체험  ※ 돌핀 프레젠테이션(야외 공연) * 7월 1일 ~ 8월 31일 - 공연 3회 ( 11:00 / 14:00 / 16:30 )  ※ 벨루가 수중 공연 * 6월 1일 ~ 7월 22일  -매일 - 공연 1회 (13:30 )  ※ 벨루가 수중 공연 * 7월 23일 ~ 8월 31일  -매일 - 공연 1회 (10:00 )
합천영상테마파크|4.37|방문자리뷰 1,755|블로그리뷰 3,214|테마파크|경남 합천군 용주면 합천호수로 757 촬영세트|055-931-9303|서울남부터미널 > 합천읍 시외버스정류장(4시간30분소요)
신선대|4.7|방문자리뷰 11|블로그리뷰 929|지역명소|경남 거제시 남부면 갈곶리 산21-23|055-639-3196|None
진해해양공원|4.36|방문자리뷰 1,761|블로그리뷰 1,122|테마공원|경남 창원시 진해구 명동로 62|055-712-0425|서울 - 경부, 중부고속도로 - 대구 - 구마고속도로 - 서마산IC - 2번 국도 - 진해 - 진해시청 - 명동 - 음지교 - 해양공원.
이순신공원|4.5|방문자리뷰 261|블로그리뷰 2,957|테마공원|경남 통영시 정량동 688-1|055-650-1410|연중무휴(24시간운영), 입장료무료(주차요금 별도)
소매물도|4.31|방문자리뷰 63|블로그리뷰 1,724|섬|경남 통영시 한산면 매죽리|None|남해고속도로 서마산IC(14번 국도)→고성→통영→여객선터미널
우포늪|4.33|방문자리뷰 39|블로그리뷰 2,105|자연명소|경남 창녕군 유어면 대대리|055-530-1553|서울 → 경부고속도로 → 중부내륙고속도로 → 구마고속도로 창녕 I.C → 교리삼거리 → 소목버스정류장 좌회전 → 우포늪
김해가야테마파크|4.4|방문자리뷰 5,981|블로그리뷰 1,528|테마파크|경남 김해시 가야테마길 161|055-340-7900|김해 경전철 인제대역 하차 > 버스 or 택시 이용
김해연지공원|4.16|방문자리뷰 175|블로그리뷰 1,624|도시,테마공원|경남 김해시 금관대로1368번길 7|055-330-4415|경상남도 김해시 내동에 위치한 연지공원은 대단지 아파트 가운데 인공호수를 조성하여 자연미와 조형미가 잘 어우러진 김해의 명소로 발전했다. 호수에는 연꽃과 어리연 등이 심어져 있고 꽃 상자를 띄워 계절에 따라 공원 이용객들에게 다양한 경관을 느끼게 하고 있다. 호수와 연꽃광장·산책로·체육관·종합놀이시설·미로공원·동산·잔디밭 등의 여러가지 시설이 있으며 4월에는 벚꽃터널에 벚꽃이 만발하여 장관을 이룬다.  연지공원에는 여기저기 분수가 많이 있는데 특히 음악분수는 길이 50m, 높이 30m의 부력체에 태양분수·안개분수·공작분수·물결분수 등을 연출할 수 있는 시설과 워터스크린, 레이져 쇼를 연출할 수 있는 시설을 갖추고 있다. 3월부터 11월까지 매주 월요일과 목요일을 제외한 저녁 8시부터 40분간 가동한다. 매년 4월 중 연지공원에서는 연지봄축제가 열린다. 체험위주의 프로그램으로 운영하여 시민들이 부담없이 참여하고 즐길 수 있는 축제마당으로 자리매김하고 있다. 주변에 가야의 거리·김해 문화원과 박물관·수로왕릉·허왕후의 능이 있어 함께 둘러보기 좋다.
로봇랜드|4.39|방문자리뷰 5,779|블로그리뷰 973|테마파크|경남 창원시 마산합포구 구산면 로봇랜드로 250|055-214-6000|로봇랜드  꿈 환상 로봇의나라 즐거움이 터지는곳!  항상 고객님들의 안전을 최우선으로 생각하는 로봇랜드가 되겠습니다.
화왕산|0.00|0|블로그리뷰 874|산,고개|경남 창녕군 창녕읍|055-530-2497|경부고속도로 → 구마고속도로 → 창녕IC → 화왕산군립공원
배달성전삼성궁|4.47|방문자리뷰 1,923|블로그리뷰 1,802|문화재|경남 하동군 청암면 삼성궁길 2|055-884-1279|청학동 도인촌이 있는 골짜기 서쪽 능선 너머 해발 850m에 있다. 정식이름은 지리산청학선원 삼성궁으로, 묵계 출신 강민주(한풀선사)가 1983년부터 33만㎡의 터에 고조선 시대의 소도(蘇塗)를 복원하였다. 궁의 이름은 환인, 환웅, 단군을 모신 궁이라는 뜻으로 지어졌다. 도인촌과 달리 외부인의 출입을 제한하고 한풀선사를 중심으로 수행자들이 선도(禪道)를 지키고 신선도를 수행하는 도장(道場)이다.   수행자들은 새벽에 일어나 삼법수행을 하고 해맞이 경배를 드린 뒤 선식으로 아침을 먹고 활쏘기·검술 등 전통무예와 선무를 익히며, 오후에는 솟대를 세우거나 밭을 일구고, 저녁에는 법문을 공부한다. 한풀선사와 수행자들이 이곳이 소도라는 것을 알리기 위해 쌓고 있는 솟대는 1000개가 넘는다. 한반도와 만주를 상징하여 조성한 연못, 한낮에도 햇빛 한점 들지 않는 토굴, 전시관, 전통찻집 아사달, 천궁, 숙소 등이 여기저기 흩어져 맷돌·절구통·다듬잇돌 등으로 꾸며진 길과 담장과 함께 짜임새 있게 가꾸어져 있다.  관광을 하려는 탐방객이 궁 입구에 있는 징을 세 번 치면 안에서 수행자가 나와 맞이한다. 탐방객 가운데 한 사람은 고구려식 도복으로 갈아입어야 안내를 받을 수 있다. 1년에 한 번 가을 단풍철이 되면 일반인에게 개방해 개천대제라는 행사를 여는데, 이때 한풀선사와 수행자들이 닦은 무예를 구경할 수 있다.   주변에 청학동·하동호·청암계곡 등 관광명소가 많다. 찾아가려면 하동 시외버스터미널에서 청학동행 버스를 타고 궁 앞에서 하차한다. 승용차로는 하동읍에서 횡천면 방면 2번국도에서 청암면 청학동 방면 지방도를 탄다.
황산공원|4.28|방문자리뷰 98|블로그리뷰 1,992|도시,테마공원|경남 양산시 물금읍 물금리 162-1|055-392-2823|자가용 이용시 - ( 중부내륙고속도로 - 대구부산고속도로 - 상동IC - 대동JC - 황산문화체육공원 ) - ( 경부고속도로 - 양산IC - 황산문화체육공원 )   버스 이용시 - ( 21번 탑승 - 증산마을 역 하차 - 증산지하도를 거쳐 도보이동 )   지하철 이용시 - ( 부산지하철 2호선 - 호포역, 증산역 하차 )
남일대해수욕장|4.2|방문자리뷰 49|블로그리뷰 714|해수욕장,해변|경남 사천시 모례2길 11-19|055-832-7896|남해고속도로 사천IC(3번 국도-사천 방면)→사천시(옛 삼천포, 77번 국도, 58번 지방도 병용 구간-고성 방면)→향촌동 남일대해수욕장
외도 보타니아|4.32|방문자리뷰 2,502|블로그리뷰 3,641|식물원,수목원|경남 거제시 일운면 외도길 17 외도해상농원|055-681-4541|외도로 향하는 항구는 7개에 이르며, 코스에 맞추어 탑승시간, 항구의 위치를 미리 확인해 두시는 것이 좋습니다. 유람선을 타고 외도에 도착 후 가능한 자유관람시간은 2시간입니다.  외도 내에서는 숙식 및 차량이용이 불가합니다.
가야랜드|4.29|방문자리뷰 6,000|블로그리뷰 641|테마공원|경남 김해시 인제로 368 가야랜드|055-346-6000|다양한 놀이문화가 가득하고 아이들의 웃음이 끊이질 않는 김해 가야랜드로 놀러오세요~!
통영해저터널|4.42|방문자리뷰 56|블로그리뷰 894|관람,체험|경남 통영시 도천길 1|055-650-4683|1년 4개월에 걸쳐 1932년에 건립한 동양 최초의 바다 밑 터널이다. 길이 483m, 폭 5m, 높이 3.5m 규모이다. 바다 양쪽을 막는 방파제를 설치하여 생긴 공간에 거푸집을 설치하고 콘크리트를 타설(打設)하여 터널을 만든 뒤 다시 방파제를 철거하여 완공했다. 터널 입구는 목조 기둥에 왕대공 트러스 구조이다. 예전에는 통영과 미륵도를 연결하는 주요 연결로였지만 충무교와 통영대교가 개통되면서 지금은 거의 사용하지 않고 있다.   양쪽 터널 입구에 한자로‘용문달양(龍門達陽)’이라고 쓰여 있는데‘용문을 거쳐 산양(山陽)에 통하다’라는 뜻이다. (용문은 중국 고사에 나오는 물살이 센 여울목으로 잉어가 여기를 거슬러 오르면 용이 된다고 한다) 여기서 말하는 산양은 바로 미륵도이다.
상림공원|4|방문자리뷰 13|블로그리뷰 2,277|도시,테마공원|경남 함양군 함양읍 교산리 1073-1|055-960-5756|None
소노캄 거제 오션어드벤처|4.35|방문자리뷰 3,483|블로그리뷰 364|워터파크|경남 거제시 일운면 거제대로 2660|1588-4888|미지의 세계로 떠나는 환상여행!! 대명리조트 거제 오션베이
영남루|4.17|방문자리뷰 93|블로그리뷰 1,588|보물|경남 밀양시 중앙로 324 영남루|None|1963년 1월 21일 보물 제147호로 지정되었다. 정면 5칸, 측면 4칸의 팔작지붕이다. 조선시대의 밀양군 객사(客舍)였던 밀양관(密陽館)의 부속건물로서 밀양 강가의 절벽 위에 위치한다. 건물 기둥이 높고 사이를 넓게 잡아 웅대하다. 좌우의 부속건물들과는 층계로 된 월랑(月廊)과 헌랑(軒廊)으로 연결하여 건물 전체 배치에 변화를 주었으며 규모도 더 커졌다. 누마루 주위에는 난간을 돌렸고, 기둥 사이는 모두 개방하여 사방을 바라볼 수 있게 하였으며 연회를 베풀기에 알맞은 넓은 공간을 마련하였다.   공포(栱包)는 기둥 위에만 있고, 그 사이사이에는 귀면(鬼面)을 표현한 화반(花盤)을 하나씩 배치하였다. 내부 둘레의 고주(高柱) 위에 이중량(二重樑)을 짜고, 외부 둘레의 기둥들과는 퇴량(退樑)과 충량(衝樑)으로 연결하였는데, 그 가운데 충량은 용신(龍身)을 조각하였다. 천장은 지붕 밑이 그대로 보이는 연등천장이다. 창건 연대는 고려 말이라고 하나, 현재의 건물은 조선 헌종 때 불탄 것을 2년 후인 1844년에 재건하였다고 한다. 밀양시에서 관리하고 있다.
여좌천로망스다리|4.22|방문자리뷰 144|블로그리뷰 2,492|관람,체험|경남 창원시 진해구 여좌동 217|None|진해역에서 도보 10분 소요
경상남도수목원|4.45|방문자리뷰 678|블로그리뷰 1,866|식물원,수목원|경남 진주시 이반성면 수목원로 386 경상남도수목원|055-254-3811|국내외의 다양한 수종을 전시해 자연학습, 학술연구, 유전자 보존 및 건전한 산림 문화공간을 제공할 목적으로 1993년 4월 5일 도립 반성수목원으로 개원한 뒤, 2000년 2월 지금의 이름으로 바꾸었다. 전체 면적은 56㏊이며, 총 1,500여 종에 10만여 본의 식물이 식재되어 있다. 경상남도산림환경연구원에서 관리한다.  산림박물관·전문수목원과 부대시설로 이루어져 있다. 2001년 7월 개관한 산림박물관은 지하 1층, 지상 3층 건물에 4개의 전시실과 자연표본실·생태체험실을 갖추고 있다. 전문수목원은 침엽수원·낙엽활엽수원·상록활엽수원·화목원·야생초화류원·수생식물원·생울타리원·선인장원·장미원·유실수원 등 16개 원(園)으로 구성되어 있다.  부대시설로는 팔손이·월계수·커피나무 등 120여 종이 식재된 돔형 온실을 비롯해 야생동물원·전망대·임간학교·산림욕장·주차장·체력단련장 등이 있다. 그 밖에 자연을 체험하고 숲을 배울 수 있는 숲속의 교실, 명상의 숲, 이야기 숲 등이 있다.  관람 시간은 3~10월에는 9시부터 18시, 11~2월에는 9시부터 17시까지이다. 산림박물관은 매주 월요일과 1월 1일, 설날·추석에 휴관한다.  주변 볼거리로는 기대봉(旗臺峰:520m), 오봉산(五峰山:525m), 용암리(龍岩里) 고분, 오봉산 성전암(聖殿庵), 장안리(長安里) 선사유적, 작당산성(鵲堂山城), 사충비각(四忠碑閣), 김준민(金俊民) 신도비(金俊民神道碑), 대천리 입석(선돌), 장안리 지석묘 등이 있다. 경상남도 진주시 이반성면 대천리에 있다.
진해루|4.34|방문자리뷰 214|블로그리뷰 728|문화,유적|경남 창원시 진해구 진희로 150|None|None
거제식물원|4.34|방문자리뷰 892|블로그리뷰 2,134|식물원,수목원|경남 거제시 거제면 거제남서로 3595 거제식물원|0507-1412-6997|고현버스터미널에서 거제식물원(거제향교방향)  - 거제시농업개발원 하차(약1시간) 71, 71-1(일반버스)  - 굿뉴스병원 하차(약30분) 50, 51, 52, 53, 53-1, 54, 54-1, 55, 55-1, 56, 57, 67-1(일반버스) 신촌(거제대교)에서 거제식물원  -거제시농업개발원 하차(약37분) 71, 71-1(일반버스)  -굿뉴스병원 하차(약37분) 58(일반버스)
원예예술촌|4.16|방문자리뷰 3,857|블로그리뷰 1,480|체험마을|경남 남해군 삼동면 예술길 39 원예예술촌|055-867-4702|하동IC - 남해대교(노량대교) - 지족 - 동천 - 독일마을 - 원예예술촌. 사천IC - 삼천포, 창선대교 - 지족 - 동천 - 독일마을 - 원예예술촌. 1. 남해대교(노량대교) 이용시. 남해대교(노량대교) - 남해읍(15분) - 이동면(5분) - 삼동면(5분) - 남해유스호스텔(3분) - 삼동초등학교(3분) - 독일마을 진입 - 원예예술촌. 2. 삼천포, 창선대교 이용시. 삼천포, 창선대교 - 창선대교(10분) - 삼동면소재지(1분) - 남해유스호스텔(3분) - 삼동초등학교(3분) - 독일마을 진입 - 원예예술촌.
광암해수욕장|0.00|방문자리뷰 5|블로그리뷰 671|해수욕장,해변|경남 창원시 마산합포구 진동면 요장리|055-225-6861|None
임경대|4|방문자리뷰 24|블로그리뷰 483|자연명소|경남 양산시 원동면 원동로 285|None|양산시외버스터미널에서 물금행 버스 이용.
금호통영마리나리조트|4.35|방문자리뷰 2,649|블로그리뷰 1,026|콘도,리조트|경남 통영시 큰발개1길 33 금호통영마리나리조트|055-643-8000|전망이 뛰어난 통영바닷가에 위치한 콘도미니엄은 어느 객실에서나 쪽빛 바다와 아름다운 통영항을 감상하실수 있으며, 지상 15층 규모, 총 272실과 각종 부대시설까지 마련한 남해안 유일의 콘도미니엄입니다.
