name|star|visit_review|blog_review|category|addr|tele|detail|tag|image
을왕리해수욕장|4.25|706|5605|해수욕장,해변|인천 중구 용유서로302번길 16-15|None|"서울→경인고속도로→월미도 가는 표지판→이를 따라 공장지대를 지나쳐 월미도 선착장→영종도행 카페리(용주호)는 오전 5시 30분부터 저녁 9시 30분까지 20~30분 간격으로 운행."|분위기 있는,데이트|
송도 센트럴파크|4.38|1376|5926|근린공원|인천 연수구 컨벤시아대로 160|None|None|파릇파릇한,피크닉,데이트|
동막해변|4.16|774|3217|해수욕장,해변|인천 강화군 화도면 해안남로 1481|032-937-4445|"울외곽순환고속도로 김포나들목→김포시(48번 국도)→강화대교→강화읍(84번 지방도)→전등사 앞→정수사 입구→동막리(또는 강화대교→갑곶리→해안도로→광성보→전등사→동막리)"|분위기 있는,야경,데이트|
네스트호텔|4.45|2329|6367|5성급|인천 중구 영종해안남로 19-5|032-743-9000|"* 자가용 이용 시  인천공항고속도로 용유~무의도 방향 진출 후 영종해안남로를 따라 약 5km 주행 후 경정훈련원 방면으로 진입  * 공항철도 이용 시  서울역에서 인천공항까지 직통열차 이용 시 43분, 일반열차 이용 시 53분이 소요됩니다. 공항에서 하차 후 1층 여객터미널   도착장 14C게이트에서 셔틀버스를 이용  * 네스트호텔 무료 셔틀버스 이용안내  인천국제공항 도착 후 1층 여객터미널 도착장 14C 게이트에서 매 45분 간격 운행  - 공항 -> 호텔: 첫차 06:15 / 막차 22:45  - 호텔 -> 공항: 첫차 06:00 / 막차 22:30  - 공항에서 호텔까지 소요시간 약 15분 소요"|분위기 있는|
계양산|0.00|0|2432|산,고개|인천 계양구 계산동|032-450-5654|"계양구청앞 도로 부평역방향 우측 경인여전에서 100m거리 계양공원(미개발)관리소에서 해발 395.4m 거리"|파릇파릇한|
파라다이스시티|4.59|3319|7905|5성급|인천 중구 영종해안남로321번길 186|1833-8855|"‘파라다이스시티(PARADISE CITY)’는 관광, 문화체험, 휴식, 쇼핑, 엔터테인먼트 등을 융합한 동북아 최초 복합리조트입니다. 3천여 점의 아트워크가 선사하는 문화예술의 감동과 다채로운 즐거움이 공존하는 엔터테인먼트의 융합을 통해 ‘아트테인먼트(Art-tainment) 리조트’라는 새로운 패러다임을 제시했습니다.   파라다이스시티는 ▲ 최고급 럭셔리 호텔 ‘파라다이스 호텔&리조트’ ▲ 국내 최대 규모 외국인 전용 카지노 ‘파라다이스 카지노’ ▲ 국내 특급호텔 기준 최대 규모 ‘컨벤션’ ▲ 럭셔리 부티크 호텔 ‘아트파라디소’, ▲고품격 힐링 스파 ‘씨메르’, ▲ 동북아 최대 규모 클럽 ‘크로마’ ▲ 아시아 컨템포러리 컬처의 명소 ‘파라다이스 아트 스페이스’ ▲ 이벤트형 쇼핑 아케이드 ‘플라자’ ▲ 신개념 다목적 스튜디오 ‘스튜디오 파라다이스’ ▲ 패밀리 엔터테인먼트 테마파크 ‘원더박스’ 등으로 구성돼 있습니다.   파라다이스세가사미는 K-컬처, K-뷰티, K-푸드, K-라이프스타일 등 차별화된 한류 콘텐츠와 관광 인프라 확충을 통해 동북아 랜드마크 ‘파라다이스시티’의 입지를 강화하고, 전세계인에게 사랑받는 K-Style Destination으로 발전시켜 나가겠습니다."|분위기 있는|
청라호수공원|4.29|236|1580|도시,테마공원|인천 서구 청라대로 204|032-456-2749|"청라국제도시 호수공원은 다면적 도시구조, 다양한 문화행태를 담아내는 3개의 섬, 다양한 물의 이용을 통한 친수공간으로 조성된 공원입니다. 호수공원 전체를 연결하는 순환동선으로 4개 공간(에코존, 전통존, 레져존, 아트존)으로 결합하여, 과거·현재·미래를 잇는 새로운 패러다임을 제시합니다."|신나는|
왕산해수욕장|4.25|252|1775|해수욕장,해변|인천 중구 을왕동|None|"서울→영종대교(신공항고속도로)→용유.무의(이정표)쪽→해안도로→무의도→왕산해수욕장"|분위기 있는,야경,데이트|
영종도 마시안 해변|4.06|64|1422|해수욕장,해변|인천 중구 마시란로 118|None|None|분위기 있는,야경|
하나개해수욕장|4.11|94|1563|해수욕장,해변|인천 중구 무의동|032-751-8833|"공항고속도로→공항입구 용유, 무의방면 IC→ 해안도로→잠진도 선착장→20분 소요→ 큰무리 선착장→15분 소요→하나개 해수욕장 인천연안부두→샘꾸미선착장→마을버스→하나개해수욕장"|분위기 있는,신나는|
인천대공원|4.24|334|6013|테마공원|인천 남동구 장수동 산79|032-466-7282|"관모산(162m) 일대에 걸쳐 있으며 소래산 줄기의 상아산과 거마산을 끼고 있다. 관모산은 산의 모습이 관(冠)과 같아서, 거마산은 말이 서 있는 형상을 닮았다 하여 붙여진 이름이다. 주위가 개발제한구역으로 지정되어 도심 속에서 농촌 풍경을 만끽할 수 있는 곳이기도 하다.  주요시설로는 92과 332종 6550본의 식물을 보유하고 있는 식물원과 1만 300여 주의 다양한 장미가 심어져 있는 장미원, 58종 231마리를 보유하고 있는 어린이동물원, 23만㎡의 수목원, 환경미래관, 자전거광장, 관모산등산로, 사계절 썰매장 등이 있다. 이밖에 백범광장과 전망대, 궁도장, 조각원, 야외음악당, 산림욕장, 인라인스케이트장 등을 갖추고 있으며, 인조잔디 운동장과 풋살장을 비롯한 운동시설도 마련되어 있다.  시민들이 공원을 효과적으로 이용할 수 있도록 생태도우미라는 모임을 만들어 식물교실과 자연학습프로그램을 운영하고 있다."|파릇파릇한,피크닉,신나는|
파라다이스시티 씨메르|4.75|2935|1288|워터파크|인천 중구 영종해안남로321번길 186|02-1833-8855|"힐링과 짜릿함을 모두 충족시켜주는 씨메르는 유럽 스타일의 공간과 여유로운 한국 고유의 찜질방 문화를 접목한 신개념 스파입니다. 수영부터 풀파티, 짜릿한 워터 슬라이드, 아름다운 석양을 즐길 수 있는 인피니티 풀과 노천 스파, 여유로운 찜질 스파 존에 더해 각국의 시그니처 푸드를 만나 볼수 있는 2개의 식당과 스낵부터 칵테일까지 즐길 수 있는 4개의 바(bar)를 모두 즐겨보세요."|이색체험,신나는,든든한|
