name|star|visit_review|blog_review|category|addr|tele|detail|tag|image
에코랜드 테마파크|4.46|23763|5698|테마파크|제주 제주시 조천읍 번영로 1278-169|064-802-8000|"에코랜드 테마파크는 1800년대 증기기관차인 볼드윈 기종을 모델화하여 영국에서 수제품으로 제작된 링컨 기차로 30만평의 곶자왈 원시림을 기차로 체험하는 테마파크입니다.  저희 에코랜드 테마파크는 자연의 섭리를 어기지 않고 풀 한포기도 소중히 여기며 인간과 자연을 하나로 이어주는 다리가 되고자 합니다.  돌과 바위의 화산땅에 뿌리를 길게 내리고 한줄기 빛을 찾기 위해 가지를 하늘로 뻗어 질긴 생명력을 이어가는 나무를 보며 자연의 위대함을 배웠습니다.  그 위대함을 표현하기에 아직도 저희들의 표현력이 부족하다는 것을 잘 알고 있습니다. 하지만 저의 에코랜드 테마파크는 자연과 인간의 공존이라는 대명제를 향하여 멈추지 않고 달려가겠습니다."|신나는,이색체험,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220621_185%2F1655795528735XFVyJ_JPEG%2F1.jpg
이호테우해수욕장|4.31|117|7076|해수욕장,해변|제주 제주시 이호일동|064-728-3994|"제주시→이호행 버스(10분 간격으로 운행, 좌석버스는 15분 간격)→이호해수욕장 입구"|신나는,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_99%2F1440992298094SL7W0_JPEG%2F157155537127588_0.jpg
함덕해수욕장|4.35|563|10827|해수욕장,해변|제주 제주시 조천읍 조함해안로 525|064-728-3989|"제주도 시외버스터미널→함덕 해수욕장 일조도로 동회선 시외버스 이용(30분 소요), 시내버스,좌석버스 이용(30분 소요)"|분위기 있는,야경,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_16%2F1440992303436YUYKt_JPEG%2F11491805_0.jpg
쇠소깍|0.00|0|5630|강,하천|제주 서귀포시 쇠소깍로 104|064-732-9998|"제주국제공항 → 서부관광도로 → 제주월드컵경기장 → 서귀포시내 → 효돈동 → 쇠소깍"|분위기 있는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_76%2F1441025139566jlxeJ_JPEG%2F126362588156648_0.jpg
비자림|4.58|7419|6710|휴양림,산림욕장|제주 제주시 구좌읍 비자숲길 55|064-710-7912|"1993년 8월 19일 천연기념물 제374호로 지정되었다. 문화재청에서 소유하고 있다. 구좌읍 평대리에서 서남쪽으로 6km 되는 지점에 448,165㎡ 면적에 500∼800년생 비자나무 2,570그루가 밀집하여 군락을 이루고 있는데, 단순림으로는 세계 최대 규모이다. 나무의 높이는 7∼14m, 지름은 50∼110cm, 수관폭은 10∼15m에 이른다.  이곳에 비자나무 숲이 이루어진 유래는 마을의 무제(巫祭)에 쓰이던 비자 종자가 사방으로 흩어져 자라 식물상을 이룬 것으로 추정된다. 예로부터 섬의 진상품으로 바쳤던 비자나무의 열매인 비자는 구충제로 많이 쓰였고, 음식이나 제사상에 오르기도 하였다. 지방분이 있어 비자유를 짜기도 하는데, 기관지 천식이나 장 기능에 효험을 있는 것으로 알려졌다. 나무는 재질이 좋아 고급 가구나 바둑판을 만드는 데 사용되어왔다.  숲 가운데에는 제주특별자치도에서 최고령목이라고 하는 800년 이상 된 비자나무가 있는데, 높이 25m, 둘레 6m로 비자나무의 조상목이라고도 한다. 나도풍란, 콩짜개난, 흑난초, 비자란 등 희귀한 난과식물도 자생하며, 이외에도 천선과나무, 자귀나무, 아왜나무, 머귀나무, 후박나무 등 여러 종류의 나무들이 있다. 1992년 이곳에 산책로를 만들었다."|기분 전환,파릇파릇한,피크닉|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_115%2F1441015829482aatdh_JPEG%2F116963507552852_0.jpg
카멜리아힐|4.33|47757|9729|식물원,수목원|제주 서귀포시 안덕면 병악로 166|0507-1340-0175|"제주 자연을 담은 동백 정원 카멜리아 힐은 30년 열정과 사랑으로 제주의 자연을 담은, 동양에서 가장 큰 동백 수목원입니다."|파릇파릇한,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220426_92%2F1650945247681skw5b_JPEG%2FKD5A8971.jpg
김녕해수욕장|4.79|21|4021|해수욕장,해변|제주 제주시 구좌읍 김녕리|064-728-3988|"제주도→김녕해수욕장행 버스 이용 (20∼40여분 소요)"|분위기 있는,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_251%2F1441045632841nja34_JPEG%2F157155537127418_0.jpg
금능해수욕장|4.32|35|4306|해수욕장,해변|제주 제주시 한림읍 금능리|064-728-3983|"제주공항 → 하귀 → 애월 → 곽지 → 한림 → 협재 → 금능해수욕장"|분위기 있는,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_87%2F14410455661031A1pg_JPEG%2F157155537130281_0.jpg
헬로키티아일랜드|4.29|12918|2322|테마파크|제주 서귀포시 안덕면 한창로 340|064-792-6114|"헬로키티아일랜드에서의 '세상에서 가장 행복한 하루 여행'에 여러분을 초대합니다.  헬로키티의 역사, 가족, 음악과 공연교육, 전시, 3D영상관, 체험활동, 기획작품 갤러리 등 다채롭고 풍성한 문화 공간이자,  다양한 헬로키티상품을 만날 수 있는 Brand shop, 헬로키티와 향기롭고 따뜻한 Coffee와 Desert를 함께 할 수 있는 헬로키티카페까지!  이 모든 것을 함께 공감하고 소통할 수 있는 곳이 바로 헬로키티아일랜드입니다.    헬로키티아일랜드는 아이들에게는 꿈과 희망, 창의성을 키워주는 다양한 프로그램과  어른들에게는 추억을 선물하는 따뜻한 공간으로 기획되어 있으며,  이를 통해 가족, 연인, 친구들과의 사랑을 더욱 키워가는 아름다운 공간이 될 것입니다.    귀엽고 사랑스러운 헬로키티의 모든 것을 함께 할 수 있는 헬로키티아일랜드를 통해  국내뿐 아니라 해외에서 찾는 많은 고객님들까지. 아름답고 깨끗한 섬, 제주도에서 낭만과 사랑,  환경과 문화가 공존하는 헬로키티아일랜드와 함께 고객님들의 소중한 꿈과 희망, 추억을 키워갈 수 있기를 소원합니다."|신나는,이색체험|https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191002_105%2F1569995954158Vh4Kl_JPEG%2F%25BD%25C3%25BC%25B3%25B9%25B0%25C0%25CC%25B9%25CC%25C1%25F61.jpg
곽지해수욕장|4.39|95|4459|해수욕장,해변|제주 제주시 애월읍 곽지리|064-728-3985|"제주시→서회선일주도로(12번 국도)→애월→곽지"|분위기 있는,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20140407_245%2F1396856747835pYXXE_JPEG%2F%25C1%25A6%25C1%25D6_%25B0%25FB%25C1%25F6%25C7%25D8%25BC%25F6%25BF%25E5%25C0%25E5_1.JPG%3Ftyp
