name|star|visit_review|blog_review|category|addr|tele|detail
오복성황제짬뽕|4.22|방문자리뷰 303|블로그리뷰 41|중식당|전북 완주군 봉동읍 완주산단8로 13 오복성황제짬뽕|0507-1347-8027|언제나 고객님과 함께 하겠습니다 오복성황제짬뽕 은 고객님께서 계시기에 존재합니다
리리프|0.00|방문자리뷰 19|블로그리뷰 15|카페,디저트|전북 군산시 미장안5길 11 미장안5길 11. 1층|010-8846-1056|미장 코아루아파트 후문 맞은편
이성당|4.39|방문자리뷰 32,434|블로그리뷰 7,088|베이커리|전북 군산시 중앙로 177 이성당|063-445-2772|구시청 사거리에 위치.
한일옥|4.29|방문자리뷰 4,047|블로그리뷰 2,425|한식|전북 군산시 구영3길 63|063-446-5502|None
지린성|4.28|방문자리뷰 5,426|블로그리뷰 4,765|중식당|전북 군산시 미원로 87|063-467-2905|대표메뉴 : 고추짜장(매움 주의) 휴무일 : 매주 화요일 휴무  재료 소진시 조기종료할 수 있음을 양해 부탁드립니다. 주말은 재료가 일찍 소진될 수 있으니 3시 전에 방문해주시면 감사하겠습니다.^^
마시랑게|4.69|방문자리뷰 1,042|블로그리뷰 940|카페,디저트|전북 전주시 완산구 전동성당길 100 2층|0507-1460-0235|전북 전주시 완산구 전동성당길 100 2층
베테랑 칼국수|4.2|방문자리뷰 6,149|블로그리뷰 1,187|종합분식|전북 전주시 완산구 경기전길 135|063-285-9898|전주 성심여고 앞, 한옥마을 내.
조점례남문피순대|4.31|방문자리뷰 6,871|블로그리뷰 3,856|순대,순댓국|전북 전주시 완산구 전동3가 2-246|063-232-5006|약 100여석의 좌석 마련되어 있습니다.
상하농원|4.22|방문자리뷰 1,077|블로그리뷰 1,977|테마공원|전북 고창군 상하면 상하농원길 11-23|1522-3698|안녕하세요. 상하농원입니다.   도시에 살고있는 우리에게 거리마다 가득찬 식당의 화려한 음식과 슈퍼마켓에 진열되어 있는 수많은 인스턴트 식품은 어머니가 해주신 한 그릇의 따뜻한 된장찌개 보다 익숙합니다.  넘쳐나는 먹거리 속에 담긴 우리의 불만은 이 잃어버린 멀건 된장찌개에서 비롯된 것은 아닐까요?  쌀이 슈퍼마켓에서 나온다는 우리 아이들에게 먹거리에 대한 소중함과 어머니의 맛을 알려주기 위해 저희는 상하를 찾았고, 마을을 꾸렸습니다.   사계절, 이십사절기 풍요로운 자연에 순응하고, 안심할 수 있는 먹거리를 생상하며, 된장찌개 한 그릇의 소박한 즐거움을 누리며 살아가는 상하농원 젊은 농부 한 사람, 한 사람의 마음을 그대로 담아 여러분들께 전달하는 그날까지,,,,,,  따뜻한 햇살과 청정한 바람  그리고 푸르른 대지가 하나 되어 숨 쉬고 있는,,, 상하농원에서 드림
서래애 물총칼국수|4.51|방문자리뷰 311|블로그리뷰 372|칼국수,만두|전북 군산시 구암3.1로 71-9|063-445-4454|가게 앞 주차공간이 협소한 관계로, 가게에서 50M 떨어진 공영주차장을 이용해주시기 바랍니다 :)
