name|star|visit_review|blog_review|category|addr|tele|detail
곡성가든|4.26|방문자리뷰 2,343|블로그리뷰 487|스테이크,립|전남 곡성군 옥과면 배감길 16-19|061-362-9085|@@@@꼭 읽어주세요@@@@ * 주말/공휴일 네이버 예약 필수  네이버 예약 우선제 * 창가자리는 매장 상황에 따라 어려울 수 있는 점 양해 부탁드립니다.  네이버 예약 시 치즈케이크를 서비스로 드립니다 :) * 알립니다 * 1. 저희 곡성가든은 시간과 정성을 들여 맛있는 스테이크를 구워냅니다. 기본 조리시간은 30~40분 정도 소요되오니 여유있게 기다려주시면 최고의 스테이크를 내어드리겠습니다.  2. 야외테이블 이용시 추위, 혹은 더위 또는 꽃가루와 곤충 등 자연적인 불편함이 생길수도 있으니 예민하신 분들은 쾌적한 실내 좌석 이용을 추천드립니다!  3. 저희는 보다 많은 분들이 최고의 스테이크를 대접할수 있도록 하기 위하여 다음 예약자가 있을 시 야외테이블 2시간의 제한을 두고 있습니다. 다른 이용객들을 위하여 너그러운 양해 부탁드립니다.  4.평일 브런치 메뉴는11:30~15:00 까지 제공 주말,공휴일 주문X 스페셜BBQ는 평일 저녁 주문가능(주말,공휴일X) 15:00이후로는 평일브런치 메뉴 주문이 안된다는점 참고 부탁 드리겠습니다.(재료 소진시 조기 마감)  5. 반려견 소형견만 입장 가능합니다(6kg 이하)  마지막으로.. 저희 임직원 모두가 곡성가든을 찾아주시는 모든 분들이 최상의 만족을 느낄수 있도록 최선의 노력을 다할것을 약속 드리며 조금 미흡하고 부족한 부분이 있더라도 계속해서 보완하여 발전해 나갈수 있도록 냉정한 충고와 피드백 주시면 감사한 마음으로 경청하도록 하겠습니다.   아무쪼록 프리미엄 차콜 스테이크 전문점 곡성가든에서 좋은 사람들과 좋은 시간 늘 함께 하시길 바라겠습니다.
궁전횟집|4.37|방문자리뷰 90|블로그리뷰 71|생선회|전남 여수시 남산로 16 궁전횟집|0507-1386-9024|전남 여수시 남산동 75-1 궁전횟집 / 061-644-9007
명동게장|4.46|방문자리뷰 4,864|블로그리뷰 3,595|한식|전남 여수시 봉산남4길 23-26|0507-1353-0593|여수시봉산남4길23-26(구:봉산동272-17번지) 여수 봉산동 게장 골목 내 청정해수탕(구:명동해수탕) 옆집에 명동게장 (봉산동 마늘시장근처 터미널 엑스포역과 차로 7분~10분정도)
바다김밥|4.64|방문자리뷰 12,110|블로그리뷰 1,389|한식|전남 여수시 통제영5길 10-4 바다김밥|061-664-9734|진남관밑으로 조금만 내려오시면 파리바게트골목 안쪽에 바로 보입니다
모이핀|4.43|방문자리뷰 3,841|블로그리뷰 3,158|카페,디저트|전남 여수시 돌산읍 무술목길 50|061-644-9313|위치 : 전남 여수시 돌산읍 평사리 1273-5 / 여수시 돌산읍 무술목길 50 (’핀란드의 아침’리조트 바로 밑에 위치)
꽃돌게장1번가|4.46|방문자리뷰 4,366|블로그리뷰 2,728|한식|전남 여수시 봉산2로 36|061-644-0003|여수시 봉산동 210-2에 위치하고 있습니다~!
여수당|4.34|방문자리뷰 7,921|블로그리뷰 2,813|베이커리|전남 여수시 중앙로 72|0507-1356-0222|위치 : 여수시 중앙동 779번지. 이순신 광장 앞.
낭만카페|4.72|방문자리뷰 3,970|블로그리뷰 1,356|카페,디저트|전남 여수시 고소5길 11|0507-1461-1189|[찾아오시는 길] 여수 경찰서 오른쪽 작은 골목으로 올라오시면 - 우회전하실 경우 500m 직진하시면 왼쪽 언덕에 낭만카페가 있습니다. - 좌회전하실 경우 300m 직진하시고 정자 앞 갈림길에서 우회전 후 300m 더 오시면 낭만카페가 있습니다.
메밀빛초계국수막국수|4.38|방문자리뷰 202|블로그리뷰 357|국수|전남 여수시 동문로 1|061-685-5800|여수시 중앙동 이순신광장로타리 (여수에 유일한 초계국수 막국수 전문점 )
뜰채|4.15|방문자리뷰 1,021|블로그리뷰 873|낙지요리|전남 목포시 해양대학로 229|061-244-9995|목포에 신선한 재료들로만 선정하여 바다의 맛을 느낄수있는 뜰채입니다. 산낙지에 진정한 맛을 느껴보시고 가세요.
