name|star|visit_review|blog_review|category|addr|tele|detail
오동도|4.37|방문자리뷰 1,023|블로그리뷰 6,336|섬|전남 여수시 수정동 산1-11|061-659-1819|호남고속도로 순천IC(17번 국도) → 여수 → 여수역 → 오동도
죽녹원|4.47|방문자리뷰 4,631|블로그리뷰 7,709|휴양림,산림욕장|전남 담양군 담양읍 죽녹원로 119|061-380-2680|담양군이 성인산 일대에 조성하여 2003년 5월 개원한 대나무 정원으로, 약 16만㎡의 울창한 대숲이 펼쳐져 있다. 죽림욕을 즐길 수 있는 총 2.2km의 산책로는 운수대통길·죽마고우길·철학자의 길 등 8가지 주제의 길로 구성된다. 죽녹원전망대로부터 산책로가 시작되는데, 전망대에서는 담양천을 비롯하여 수령 300년이 넘은 고목들로 조성된 담양 관방제림과 담양의 명물인 메타세쿼이아 가로수길 등이 한눈에 내려다보인다. 생태전시관, 인공폭포, 생태연못, 야외공연장이 있으며 밤에도 산책을 할 수 있도록 대숲에 조명을 설치했다.
아쿠아플라넷 여수|4.33|방문자리뷰 17,250|블로그리뷰 5,081|아쿠아리움|전남 여수시 오동도로 61-11 아쿠아리움|1833-7001|자연과 인간이 함께 할 수 있는 공간을 만들기 위해 아쿠아플라넷이 바다보다 넓은 꿈의 항해를 시작합니다. 아쿠아는 바다의 웅장함, 그리고 해양과학과 인간의 만남을 뜻하며, 플라넷은 아쿠아플라넷에서만 느낄 수 있는 첨단과학의 콘셉트를 관람객이 직접 우주 행성을 탐험하듯 즐기게 한다는 의미를 가지고 있습니다.
순천만국가정원|4.6|방문자리뷰 7,021|블로그리뷰 6,969|도시,테마공원|전남 순천시 국가정원1호길 47|061-749-3114|순천만국가정원 네이버예약페이지 입니다.
쏠비치 진도|4.5|방문자리뷰 2,414|블로그리뷰 3,543|콘도,리조트|전남 진도군 의신면 송군길 30-40|02-1588-4888|[ 대명리조트 브랜드 변경 안내문 ] 2019년 10월, 대명리조트에서 소노호텔&리조트로 새롭게 출발합니다. 대명리조트는 40년 동안 쌓아온 서비스와 경험을 바탕으로 지속성장을 위하여 새로운 출발을 하고자 합니다. 브랜드 변경을 시작으로 국내에 집중되어 있던 비즈니스 포트폴리오를 해외로 확장함은 물론, 개발 단계부터 고객 서비스까지의 매뉴얼을 체계적으로 구축하여 경쟁력 강화에 집중할 것입니다. 앞으로 소노호텔&리조트는 국내 최고를 넘어 세계 최고를 지향하는 글로벌 리딩 컴퍼니로 더 크게 도약할 것을 약속드리며, 새로운 도약을 위해 힘차게 나아갈 소노호텔&리조트에 변함없는 관심과 성원 부탁드립니다.
디오션리조트|4.25|방문자리뷰 1,992|블로그리뷰 786|콘도,리조트|전남 여수시 소호로 295|1588-0377|다도해의 보물선, 여수 리조트를 대표하는 디오션! 천혜의 축복받은 아름다운 다도해가 펼쳐진 이곳에서 아침햇살이 보석처럼 부서지는 장관을 만끽하시기 바랍니다. 호텔 , 콘도, 워터파크, 골프장, 컨벤션, 세미나, 웨딩, 가족연회까지 모든 것을 누릴 수 있는 곳. 여기는 여수의 랜드마크 디오션리조트 입니다.
순천만습지|4.37|방문자리뷰 4,988|블로그리뷰 7,437|자연,생태공원|전남 순천시 순천만길 513-25|061-749-6052|1. 서울, 경기 : 서울 - 순천 (소요시간:8시간). 서울(한남동) - 서초 - 양재 - 수원 - 천안 - 청주 - 남이 - 회덕분기점 - 호남고속도로 - 순천IC - 전라선 22번 국도 - 남교오거리 - 순천만. 2. 강원 : 강원도(춘천) - 순천 (소요시간:7시간). 춘천IC - 중부고속도로 홍천IC - 횡성IC - 증평IC - 경부고속도로 오창IC - 대전IC - 남부순환고속도로 비룡JC - 서진주IC - 남해고속도로 진주JC - 진월IC - 호남고속도로 옥곡IC - 순천IC - 전라선 22번국도 - 남교오거리 - 순천만. 3. 충천남도(대전) : 충청남도(대전) - 순천 (소요시간:4시간10분). 남부순환고속도로 판암IC - 대전통영간고속도로 - 남대전IC - 함양IC
섬진강기차마을|4.35|방문자리뷰 1,442|블로그리뷰 3,586|체험마을|전남 곡성군 오곡면 기차마을로 232|061-363-9900|호남 고속도로를 타고 곡성IC에서 곡성읍 진입.
메타세쿼이아 가로수길|4.4|방문자리뷰 470|블로그리뷰 4,251|도보코스|전남 담양군 담양읍 학동리 633|061-380-3149|담양읍에서 도보 10분
다산초당|4.32|방문자리뷰 39|블로그리뷰 712|문화재|전남 강진군 도암면 만덕리|061-430-3911|다산 정약용이 유배생활을 했던 다산초당은 전남 강진군 도암면 만덕리, 만덕산 기슭에 자리하고 있다. 다산은 황사영 백서 사건으로 강진에 유배되어 18년간의 유배생활을 했는데 그중 1808년부터 1818년까지 약 10년간을 이곳 다산초당에서 보냈다.  다산 선생은 다산초당에서 후학들을 가르치고 또 목민심서, 경세유표 등 500여 권의 저서를 집필했다. 다산의 위대한 업적인 실학의 완성이 이곳에서 이루어진 셈이다.  현재 다산초당에는 다산초당, 동암, 서암, 천일각 등의 건물이 있으며, 다산4경이라 불리는 정석바위, 약천, 다조, 연지석가산이 있다. 유적의 중심이 되는 다산은 초당이 있는 뒷산을 지칭하며 차나무가 많이 자생하였다. 다산초당은 원래 작은 초가집이었고 세월이 지나면서 허물어진 것을 1958년 해남윤씨 후손들이 다산유적보존회를 조직하여 기왓집으로 새롭게 지었다. 특히 해남 윤씨 행당파인 윤재원씨의 노력이 컸다고 전한다. 다산초당이 있던 곳에 세워진 기왓집은 5칸 도리단층으로 지어져 있다. 2칸은 뒤가 거실이며, 앞이 마루로 된 소박한 남향집인데, 처마밑에는 원판이 없어져 뒤에 완당의 글씨를 집자한 茶山草堂이라는 현판이 달려 있다. 만덕산에 자리잡고 강진만을 한눈으로 굽어보는 이곳에서 적거하는 동안에 실학을 집성함으로써 빛을 더하게 되었다. 또, 정석, 다조, 약천, 연지 등 이른바 다산사경이 있는데, 정석은 다산이 석벽에 친히 글씨를 새긴 것이고, 다조는 뒷담 밑 약천의 석간수를 손수 떠다가 앞뜰에서 차를 달이던 청석이며, 연지는 초당 동쪽 앞에 수양을 늘어뜨린 아담한 못으로, 그 안에 몇 개의 괴석을 쌓아 석가산을 쌓았다. 1801년(순조 1년)의 신유박해 때 유배된 다산은 강진에서의 유배생활 18년 가운데 11년간을 이곳에서 살면서 현재의 정다산전서와 동 보유에 보이는 방대한 실학체계의 대부분을 구상하고 집필하였다.
