name|star|visit_review|blog_review|category|addr|tele|detail
부강옥 세종부강본점|4.49|방문자리뷰 1,481|블로그리뷰 372|순대,순댓국|세종 부강면 부강외천로 103 1층 부강옥|0507-1339-3365|부강면사무소에서 자가용으로 1분거리에 위치하고 있습니다. 세종하이텍고등학교 부근 노고봉등산로, 부강약수터 맞은편 입니다. 세종버스터미널 또는 정부세종청사에서 오실경우 430번 버스 탑승후 문곡1리 정류장에서 하차 하신뒤 맞은편에 위치하고 있으며 도보로 30미터 입니다. 조치원역에서 오실경우 300번 버스 탑승후 부강면생활체육관 에서 하차 하신뒤 남청주 IC방향으로 도보로 300미터 입니다. 대전 신탄진역 정류장에서 오실경우, 300번 버스 탑승후 부강면생활체육관 에서 하차 하신뒤 남청주 IC방향으로 도보로 300미터 입니다. 청주 육거리에서 오실경우, 412번 버스 탑승후 문곡1리 정류장에서 하차 하신뒤 맞은편에 위치하고 있으며 도보 30미터 입니다. 주소: 세종시 부강면 부강외천로 103 부강옥
라멘코티지|4.88|방문자리뷰 141|블로그리뷰 44|일식당|세종 한누리대로 2165 호려울마을7단지세종대방디엠시티상가 C동 1층 106호|070-8028-1702|상가 건물 C동 1층 106호에 위치해 있습니다. (지하에 주차하신 다음, 스타벅스에서 하이마트 방향으로 가셔서 모서리에서 왼편으로 꺾으시면 C 동 라인입니다!)
빠스타스|4.42|방문자리뷰 1,053|블로그리뷰 688|스파게티,파스타전문|세종 달빛로 43 금강빌딩 1층 & 4층|0507-1401-1992|종촌동 가재마을 1003동 앞 건너편 금강빌딩 건물 왼쪽 지하주차장 입구로 들어오시면 무료주차 가능합니다. 종촌동공영주차장 이용하시면 걸어서 3분거리
산장가든|4.36|방문자리뷰 4,193|블로그리뷰 1,370|육류,고기요리|세종 연서면 도신고복로 1131-7|044-867-3333|1995년 개업이래 비법 양념에 숙성시킨 국산 돼지갈비를 숯불에 구워냅니다.  저희 매장을 찾아주시는 고객님들께 자연의 싱그러움이 있는 넓고 쾌적한 공간에서 행복하고 즐거운 시간이 될 수 있도록 맛의 정성과 아름다운 마음을 다하겠습니다. (대기 손님분들이 많으셔서 예약은 따로 받을 수 없습니   다.) [ ※ 휴무일은 없습니다.  명절(설날, 추석)에만 쉽니다.  명절 휴무기간은 업체 상황에 따라 달라질 수 있습니다.  (명절휴무 3일중 명절휴무 하루전날과 명절 당일날까지   포함)  ※ 쉬는 시간이 없습니다.  ※ 마감시간은 21:00이며 마지막 주문시간 및 입장은   20:00까지 입니다.  ※ 야채와 추가 반찬은 셀프바 이용으로 편하게 즐기실   수 있습니다.   (20:10부터 셀프바 정리가 들어갑니다. 부족한 반찬은   직원에게 문의하시면 됩니다.)  ※ 포장가능, 배달은 안됩니다.  (포장은 전화주문으로 예약가능하시며, 기본 2인분이상   부터 포장됩니다.) ]
메타45카페|0.00|방문자리뷰 834|블로그리뷰 419|카페,디저트|세종 나성북1로 51 601동 45층|044-862-4502|나릿재마을6단지 아파트 입구로 진입한 이후 좌회전하여 상가주차장으로 내려갑니다. 상가전용 지하주차장에 주차한 다음 1층으로 이동하여 상가전용 엘리베이터를 타고 45층 메타45카페 방문합니다.
리틀그레이프|4.53|방문자리뷰 194|블로그리뷰 170|카페|세종 연서면 도신고복로 605|0507-1474-8102|리틀그레이프는 보라색, 자연, 포도를 키워드로 세종시에는 볼 수 없는 미국 하이틴 컨셉을 인테리어와 디자인 그리고 메뉴로 표현했습니다.
온기|4.78|방문자리뷰 196|블로그리뷰 174|브런치|세종 나성북로 47 119호, 120호, 137호|0507-1469-6577|None
세컨디포레스트 세종점|4.75|방문자리뷰 1,915|블로그리뷰 308|스파게티,파스타전문|세종 새롬중앙로 62-15 1층 132, 133호|0507-1464-2402|새뜸중학교 정문 바로 앞에 위치하였으며 해피라움w 건물 뒷편입니다 ^^ 주차는 해피라움w 건물 지하주차장에  하셔야 인식이 가능하여 스타벅스 건물에다 주차하시는일이 없도록 유의 부탁드립니다 :)
아우어베이커리 세종나성점|4.51|방문자리뷰 2,824|블로그리뷰 582|베이커리|세종 나성로 38 어반아트리움|044-863-4019|아우어베이커리는 국내 최고의 파티쉐, 바리스타 진으로 구성된 서울 최고의 베이커리 전문 카페입니다. 매일 최고의 재료만을 엄선해 최고의 빵을 구워냅니다.
피제리아지알로|4.52|방문자리뷰 266|블로그리뷰 88|이탈리아음식|세종 시청대로 137 리버피크닉 2F 피제리아지알로|044-865-6641|세종시청 옥외주차장 맞은편 금강수변쪽 리버피크닉 2층에 위치해 있습니다.( 올라오실 때 주차장 입구쪽 엘레베이터를 이용하여 2층으로 올라오시면 됩니다.) 주차장은 건물 내 지하에 위치해 있습니다. 리버피크닉, 강남프라자 두 건물이 연결되어 있으며 주차장 입,출구가 따로있습니다.
카페용담|4.47|방문자리뷰 905|블로그리뷰 588|카페,디저트|세종 금남면 안금로 257|0507-1382-0104|세종에서 오실 때는 32사 방면으로 국도길 따라 들어 오시면 됩니다.  대중교통으로는 655번 용담리 하차하시면 됩니다.
테라로사 세종지점|4.5|방문자리뷰 3,027|블로그리뷰 546|카페|세종 가름로 143 KT&G 세종타워B, 1층|033-648-2760|버스:세종청사남측정류장 도보 5분 주차 : AK몰 B동(보건복지부별관) 지하주차 후 ESAT와WEST사이 중간에있는 상가엘리베이터 이용. 가름로 143으로 검색하시면 더욱 정확합니다.
헤이믈|4.43|방문자리뷰 1,586|블로그리뷰 743|카페,디저트|세종 고운한옥1길 3|070-8825-1004|고운동 한옥마을 (세종시 시립도서관 건너편)
TACO15 세종나성점|0.00|방문자리뷰 82|블로그리뷰 38|멕시코,남미음식|세종 한누리대로 292 행복의아침 207호|0507-1427-7001|나성동 먹자골목 내에 위치해 있습니다. 세종시 한누리대로 292 2층(나성동 행복의아침) 투썸플레이스 맞은편 건물
큰집뼈대있는짬뽕|0.00|방문자리뷰 1,036|블로그리뷰 708|중식당|세종 노을3로 19 첫마을2단지 201동 1층상가|044-868-5955|2014년 1월 오픈
아리에떼|4.6|방문자리뷰 811|블로그리뷰 276|카페|세종 장군면 덕고개길 12|0507-1340-0684|세종시 고운동 가락마을 9단지신동아파밀리에아파트와 10단지이지더원2차아파트 사잇길로 들어오셔서 쭉 오시다가 삼거리에서 우회전하시면 아리에떼 건물이 보입니다~  네비 업데이트 안 되어 있을 시 '대교2리 마을회관' 치고 오시면 됩니다!
복누룽지삼계탕|4.48|방문자리뷰 985|블로그리뷰 160|백숙,삼계탕|세종 장군면 산학리길 16-19 복누룽지삼계탕|044-865-0044|None
이웃|4.38|방문자리뷰 151|블로그리뷰 29|한식|세종 보듬4로 9 카림애비뉴2층13호|044-868-2502|주차는 도램마을11단지 (반도유보라) 상가 주차장 (지하1층)을 이용하시면 됩니다.일요일 영업
신안골분식|4.18|방문자리뷰 696|블로그리뷰 1,272|종합분식|세종 조치원읍 신안새동네길 56-1|044-864-1839|None
