name|star|visit_review|blog_review|category|addr|tele|detail
민벅 건대본점|4.3|방문자리뷰 2,858|블로그리뷰 1,703|양식|서울 광진구 능동로13길 39 한아름쇼핑센타|0507-1429-4455|건대입구역 2번출구로 나와서 어린이대공원역 세종대 방향으로 150m직진 , 룩옵티컬안경점 좌측 골목으로 약100m오시면 한아름쇼핑센터 1층에 위치. 주차가능하며 2시간 무료입니다.
사천요리기와집|4.3|방문자리뷰 209|블로그리뷰 90|중식당|서울 영등포구 디지털로37길 25 사천요리기와집|0507-1364-3055|대림역12번출구 나와서 왼쪽 시장들어가서 직진 300m
도산분식 도산공원점|4.23|방문자리뷰 1,092|블로그리뷰 1,691|종합분식|서울 강남구 도산대로49길 10-6 젤로빌딩|02-514-5060|CNP FOOD 에서 운영하는 '도산분식' 입니다.
난포|0.00|방문자리뷰 2,329|블로그리뷰 2,288|한식|서울 성동구 서울숲4길 18-8 지층|0507-1425-1540|아주 작은 바닷가마을, 푸르디 푸른 난포 그 옛날 손녀만을 위해 만들어 주시던 할머니의 음식들을 많은 손자손녀들에게 소개하려 합니다 성수동에서_
달래해장|0.00|방문자리뷰 336|블로그리뷰 261|한식|서울 강남구 압구정로2길 46 강남시장 1층 달래해장|0507-1480-5969|신사역 7번출구 도보 200m
카멜로연남|4.73|방문자리뷰 1,347|블로그리뷰 1,181|양식|서울 마포구 연희로1길 57 1.5층|0507-1485-3838|홍대입구역 3번출구 - 연남동미로길 - 미로길3거리(gs25편의점_연남호호점 방면) - 50m직진 - 카멜로연남
광화문미진|4.39|방문자리뷰 3,997|블로그리뷰 2,380|국수|서울 종로구 종로 19|02-730-6198|르메이에르 종로타운 1층(정문 옆) 종각역 1번출구 교보문고 방향 30m 부근
미미면가|4.27|방문자리뷰 1,449|블로그리뷰 1,880|일식당|서울 강남구 강남대로160길 29|0507-1413-5466|도보: 3호선 신사역 8번 출구로 나와 걸어서 10분 소요  자가용: 신사가로수길 주차장에(서울 강남구 도산대로15길 35) 주차 후 (1시간: 4,000원) 매장까지 도보 5분 거리
명동교자 본점|4.42|방문자리뷰 18,021|블로그리뷰 9,352|칼국수,만두|서울 중구 명동10길 29|0507-1366-5348|4호선 명동역 8번 출구로 나온 후 뚜레주르와 올리브영 사이의 골목으로 약 200미터 직진 2호선 을지로입구역 외환은행 본점방향으로 나온 후 명동역 쪽으로 약 150미터 직진하여 TOP10과 새원약국 사이의 골목으로 약 30미터 직진 현재 명동교자 자체 주차장은 마련되어 있지 않으므로, 인근 유료 주차장을 이용해 주십시오.
땀땀|4.39|방문자리뷰 4,255|블로그리뷰 4,855||서울 강남구 강남대로98길 12-5|02-554-8892|강남역 11번 출구로 나오셔서 ABC마트와 성성식당 사이 골목길로 오시면 땀땀 을 만나실수 있습니다.
서울앵무새|4.49|방문자리뷰 2,868|블로그리뷰 2,047|카페,디저트|서울 성동구 서울숲9길 3 B1~2F|0507-1466-2049|뚝섬역 도보로 4분 거리 뚝섬역 1번, 8번 출구 로 나와서 서울숲 방면으로 직진
진주회관|4.31|방문자리뷰 5,335|블로그리뷰 2,493|국수|서울 중구 세종대로11길 26|02-753-5388|삼성본관 뒤 지하철 2호선 시청역 9번 출구 우측 언덕 위에 위치.
