name|star|visit_review|blog_review|category|addr|tele|detail|tag|image
롯데월드 어드벤처|4.47|39751|13045|테마파크|서울 송파구 올림픽로 240|1661-2000|"365일 즐거움이 가득한 공간, 롯데월드! (영업시간은 홈페이지 확인 바랍니다)"|데이트,이색체험,신나는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220607_152%2F1654589099269gUzuR_PNG%2F%25BF%25A9%25B8%25A7%25C3%25E0%25C1%25A6
덕수궁|4.58|3364|7413|궁궐|서울 중구 세종대로 99 덕수궁|02-771-9951|"서울 지하철 1, 2호선 시청역."|야경,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_69%2F14409977335812dfDU_JPEG%2F11571730_3.jpg
여의도 한강공원|4.32|304|10728|시민공원|서울 영등포구 여의동로 330 한강사업본부 여의도안내센터|02-3780-0561|"여의도한강공원 5호선 여의나루역 2,3번출구, 샛강생태공원 9호선 샛강역 4번출구"|피크닉,파릇파릇한|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_42%2F1441033962212ocm6V_JPEG%2F13416869_0.jpg
올림픽공원|4.3|932|12941|도시,테마공원|서울 송파구 올림픽로 424|02-410-1114|"전체면적은 43만 8000평이다. 서울특별시가 1,823억 원의 사업비를 들여 1984년 4월에 착공해 1986년 4월에 완공하였다. 운영은 서울올림픽기념국민체육진흥공단과 한국체육산업개발(주)이 맡고 있다. 원래는 1986년 서울아시아경기대회와 1988년 서울올림픽대회를 목적으로 건설되었으나, 지금은 체육·문화예술·역사·교육·휴식 등 다양한 용도를 갖춘 종합공원으로 이용되고 있다.  3개 테마공원으로 구분되는데, 첫째는 산책·조깅 코스, 건강지압로, 인라인스케이팅, 레포츠 킥보딩, 엑스게임경기장으로 이루어진 건강올림픽공원이고, 둘째는 몽촌역사관, 몽촌토성, 평화의 성지, 조각작품공원, 올림픽미술관으로 이루어진 볼거리 올림픽공원, 셋째는 호돌이 관광열차, 음악분수, 웨딩사진 찍기, 이벤트 광장 등으로 구성된 재미있는 올림픽공원이 그것이다.  주요 시설은 다음과 같다. ① 올림픽 회관:면적은 1만 7305㎡(지하 2층, 지상 15층)이며, 사무실·회의실·전시실·자료보관실·대연회실 등을 갖추었다. 서울 아시아경기대회와, 서울올림픽경기대회 때는 조직위원회 사무실로 사용하고, 그후에는 대한체육회 회관으로 사용되고 있다. ② 경륜장:면적은 5,148㎡이며, 수용인원은 6,000명이다. 타원형에 지붕이 없고, 트랙은 너비 7m, 길이 333.3m이고, 경사는 7∼38°이다. 서울올림픽 때는 사이클 경기장으로 사용되었으나, 1994년부터는 경륜장으로 사용되고 있다. ③ 역도경기장:면적은 5,617㎡(지상 3층), 수용인원은 3,500명이다. 14×14×0.9m의 무대가 설치되어 있고 3x3m의 연습포디움 10개가 있다.  ④ 펜싱경기장:면적은 8,750㎡(지하 1층, 지상 3층)이며, 수용인원은 7,000명이다. 마루는 70×55m, 전광판은 78×5m이며, 원형 지붕은 실리콘 파이버글라스로 덮었다. ⑤ 체조경기장:면적은 1만 1800㎡(지하 1층, 지상 3층), 수용인원 1만 5000명이다. 일부 좌석(5,600석)을 전동식으로 설치하여 이동이 가능하며 다용도로 사용된다. 마루 면적은 67×43m이다. ⑥ 테니스경기장:면적은 2만 9064㎡(지상 3층)이며, 총 18면의 경기장과 2면의 전광판을 갖추었다. 수용인원은 1만 명이다. ⑦ 수영장:면적은 1만 2742㎡(지하 1층, 지상 3층)이며, 수용인원은 1만 명이다. 경영풀, 다이빙용·연습용 풀, 다이빙 준비풀 등으로 구성되어 있다.  이 밖에 몽촌토성지(夢村土城址:사적 297)가 복원되었고, 세계 110개국 200여 조각가들의 작품으로 조성된 올림픽 조각공원, 세계평화의 문, 88놀이마당, 산책로, 올림픽문화센터, 야생화단지, 야외미술관 등 다양한 시설이 있다."|이색체험,피크닉,파릇파릇한|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_229%2F1441015210203fNWvY_JPEG%2F12268494_0.jpg
북촌 한옥마을|4.28|917|5540|지역명소|서울 종로구 계동길 37|02-2133-1372|"경복궁과 창덕궁, 금원(비원) 사이 북악산 기슭에 있는 한옥 보존지구로 청계천과 종로의 윗동네라는 뜻으로 북촌이라고도 한다. 북촌은 고관대작들과 왕족, 사대부들이 모여서 거주해온 고급 살림집터로 한옥은 모두 조선시대의 기와집이다.원래 이 지역에는 솟을대문이 있는 집 몇 채와 30여 호의 한옥만이 있었으나 일제강점기 말부터 한옥이 많이 지어졌고, 1992년 가회동한옥보존지구에서 해제되고, 1994년 고도제한이 풀리면서 일반 건물들이 많이 들어섰다. 총 2,297동의 건물이 있는데, 이 가운데 1,408동이 한옥이고 나머지는 일반 건물이다. 북촌 거리에는 북촌양반생활문화전시관과 북촌 한옥촌 상징조형물을 설치되어 있고, 옛 선조의 생활모습을 구경할 수 있는 가회동 전통 마을축제가 열린다. 주변에 경복궁 창덕궁 덕수궁 금원 삼청공원 국립중앙박물관 등의 관광지가 있다."|데이트,야경|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_237%2F1441052913775yOXKu_JPEG%2F13034552_0.jpg
하늘공원|4.28|597|10139|자연,생태공원|서울 마포구 하늘공원로 95|02-300-5501|"면적은 5만 8000평이다. 2002년 제17회 월드컵축구대회를 기념해 도시의 생활폐기물로 오염된 난지도 쓰레기매립장을 자연생태계로 복원하기 위해 1999년 10월부터 사업에 들어가 2002년 5월 1일 개원하였다. 평화공원·난지천공원·난지한강공원·노을공원과 함께 월드컵경기장 주변의 5대 공원을 이룬다.  월드컵경기장에서 볼 때 난지도의 2개 봉우리 가운데 왼쪽에 조성된 공원으로, 오염된 침출수 처리와 함께 지반안정화 작업을 한 뒤 초지식물과 나무를 심어 자연생태계를 복원하였다. 전체적인 형태는 정사각형이며, 테마별로 억새 식재지, 순초지, 암석원, 혼생초지, 시설지 연결로, 해바라기 식재지, 메밀 식재지, 전망휴게소, 전망대, 풍력발전기 등으로 구성되어 있다.  생태환경을 복원할 목적으로 조성되었기 때문에 인공적인 편의시설은 거의 없고, 간이상점도 없어 음료수나 간식은 미리 준비해야 한다. 화장실은 탐방객 안내소와 주요 지점에 간이 화장실이 배치되어 있고, 장애인들도 쉽게 이용할 수 있도록 탐방객 안내소 등에는 장애인 램프와 전용 화장실이 갖추어져 있다.  이러한 특징 외에 하늘공원이 다른 공원과 특히 구별되는 것은 자연에너지를 사용한다는 점이다. 이곳에는 5개의 거대한 바람개비를 이용한 30m 높이의 발전타워에서 100㎾의 전력을 생산해 자체 시설의 에너지원으로 사용하고, 또 쓰레기 더미에서 발생하는 풍부한 메탄가스를 정제 처리해 월드컵경기장과 주변 지역에 천연가스 연료를 공급한다.  가는 길은 월드컵경기장 평화공원에서 월드컵공원 육교를 건너 환경친화적인 통나무 원목으로 만든 계단을 통하거나, 월드컵경기장과 하늘공원 사이를 순환하는 셔틀버스를 통하는 2가지 방법이 있다. 난지도에서 가장 높은 곳으로, 북쪽으로는 북한산, 동쪽으로는 남산과 대한생명63빌딩, 남쪽으로 한강, 서쪽으로는 행주산성이 보인다."|파릇파릇한,피크닉|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_196%2F1441008582641DCS2k_JPEG%2F106976517150928_0.jpg
서울숲|4.33|334|18105|근린공원|서울 성동구 뚝섬로 273|02-460-2905|"분당선 서울숲역 4번 출구에서 도보로 2분, 2호선 뚝섬역 8번 출구에서 도보로 10분"|파릇파릇한,피크닉,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200728_296%2F1595899415265D5A3d_JPEG%2F%25B0%25A1%25C1%25B7%25B8%25B6%25B4%25E71.jpg
창덕궁|4.59|2562|5857|세계문화유산|서울 종로구 율곡로 99|02-3668-2300|"서울 지하철 종로3가 역에서 6번 출구에서 도보로 10분 거리에 위치. 안국역 3번출구"|야경,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_186%2F1441015173592vvta5_JPEG%2F116268483930416_0.jpg
서울어린이대공원|4.57|4865|8828|테마파크|서울 광진구 능동로 216|02-450-9311|"서울어린이대공원놀이동산 (온라인 15% 할인)\n서울어린이대공원은 넓은 공간 속에 동물원, 식물원, 놀이동산 및 다양한 공연시설과 체험공간이 가득한 어린이 가족테마공원입니다.\n연중무휴 [대공원] 05:00 ~ 22:00\n\n[동물나라]\n하절기(3.16~10.15) : 09:30 ~ 17:30\n동절기(10.16~3.15) : 09:30 ~ 17:00\n\n[재미나라]\n평일 10:00 ~ 18:30\n주말/공휴일 10:00 ~ 19:30\n[자연나라]\n성수기(4~10월) 09:00 ~ 18:00\n비수기(11~3월) 09:00 ~ 17:00"|데이트,이색체험,신나는|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_33%2F14410395901705VHYR_JPEG%2F11796387_1.jpg
서울식물원|4.47|4820|10752|식물원,수목원|서울 강서구 마곡동로 161 서울식물원|02-2104-9716|None|파릇파릇한,데이트|https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220123_284%2F1642934275862Merf3_JPEG%2F20220123_132022.jpg
