name|star|visit_review|blog_review|category|addr|tele|detail
게스트로|4.67|방문자리뷰 1,838|블로그리뷰 750|양식|울산 남구 삼산중로84번길 11-13 1층|070-4032-7775|울산 남구 삼산중로 84번길 11-13 1층
생생쭈꾸미 울산본점|4.52|방문자리뷰 581|블로그리뷰 175|주꾸미요리|울산 북구 당수골15길 4 1층|0507-1409-5680|에일린의뜰 2차 후문(주차장입구) 바로 앞에 위치해 있습니다.
나사리식당|4.4|방문자리뷰 1,285|블로그리뷰 825|한식|울산 울주군 서생면 나사해안길 15 1~2층|052-238-7001|나사해수욕장 앞에 위치하고있습니다. 옆에는 호피폴라 커피숍이 있습니다
이중생업|4.45|방문자리뷰 905|블로그리뷰 621|퓨전음식|울산 남구 삼산로266번길 5-1 1층|0507-1314-8267|비싸지 않은 가격에 고급진 퓨전음식들을 경험해보세요! 기분좋게 웃으며 식사하고 나가실 수 있도록 늘 최선을 다하고 있습니다!
AOP|0.00|방문자리뷰 1,191|블로그리뷰 536|카페,디저트|울산 울주군 서생면 해맞이로 1097-2|052-238-1100|차량 이동 시 울주군 간절곶에서 3분 내외 입니다. 입구는 '울주군 해연사'(절) 앞쪽에 위치해 있습니다.
언양기와집불고기|4.37|방문자리뷰 3,288|블로그리뷰 1,768|소고기구이|울산 울주군 언양읍 헌양길 86|052-262-4884|언양읍성 남문사거리, 김약국과 파리바게트 근처에 위치.
그릿비 서생점|4.55|방문자리뷰 795|블로그리뷰 1,006|카페|울산 울주군 서생면 신암해안1길 4|0507-1475-7021|None
농도|4.52|방문자리뷰 1,622|블로그리뷰 1,396|카페,디저트|울산 울주군 상북면 명촌길천로 23 농도|0507-1477-1703|자연과 함께합니다. 우리는 고즈넉하고 편한 분위기를 지향합니다. 모두에게 짙은 곳으로 기억되길 바랍니다.
보리꽃|4.3|방문자리뷰 1,276|블로그리뷰 699|한식|울산 동구 해수욕장10길 74|0507-1382-4004|None
메이즈메이즈|0.00|방문자리뷰 191|블로그리뷰 290|카페,디저트|울산 남구 돋질로302번길 11 1층|0507-1426-1219|메이즈메이즈는 미로라는 뜻으로 당신이 길을 잃었다는 느낌이 들때(maze) 잠시 가던길을 멈춰서(!) 쉬어갈수 있는(,) 공간입니다. ma!ze에서 크림과 커피 그리고 달콤한 여유를 가져가길 바랍니다.  메이즈만의 시그니처 크림레시피로 쫀득하고 부드러운 크림을 선사합니다
섬섬옥수|4.5|방문자리뷰 955|블로그리뷰 687|돈가스|울산 남구 삼산로278번길 8|052-275-2777|울산 삼산동 롯데백화점 후문.
소코아 삼산점|0.00|방문자리뷰 802|블로그리뷰 520|카레|울산 남구 왕생로62번길 16 1층|0507-1370-9737|현대백화점 사거리에서 207m
가마메시야 송빈|0.00|방문자리뷰 48|블로그리뷰 85|일식당|울산 남구 왕생로66번길 15|052-265-0513|제철 솥밥을 기반으로 한 가마메시 전문점입니다.
아키라|4.42|방문자리뷰 1,365|블로그리뷰 1,081|우동,소바|울산 남구 왕생로62번길 15-1|0507-1421-0840|울산 삼산동 현대백화점 옆, 하나은행, 현대증권, 대우증권, 건물 뒷편
아웃백스테이크하우스 울산삼산점|0.00|방문자리뷰 8,080|블로그리뷰 761|패밀리레스토랑|울산 남구 삼산로 231 센트럴자이 더테라스가든 3층|0507-1302-1491|아웃백 스테이크하우스는 전 세계 21개국 1,000여 개 매장을 보유한 세계적인 캐주얼 다이닝 스테이크 레스토랑 브랜드입니다. 호주 대 자연의 아름다움과 따뜻함을 느낄 수 있는 매장 인테리어와 함께 홈메이드 방식으로 조리되는 신선하고 풍부한 메뉴를 만날 수 있습니다. 호주산 소고기만을 사용하는 아웃백의 대표 메뉴 스테이크는 육즙이 풍부하고 부드러운 부위만을 엄선하여 고기가 가장 맛있는 따뜻한 온도의 플레이트 위에 제공하여 최상의 맛을 경험할 수 있도록 합니다.
아니마|4.5|방문자리뷰 948|블로그리뷰 737|이탈리아음식|울산 남구 왕생로66번길 13|052-903-0106|현대백화점쪽 구암문구에서 뉴코아 방향 100미터 직진 오른쪽 하얀가게 입니다.
한가위|4.45|방문자리뷰 4,327|블로그리뷰 727|소고기구이|울산 북구 진장유통로 43|052-245-9200|울산 우편 집중국 도보 2분거리
게스트로|4.67|방문자리뷰 1,838|블로그리뷰 750|양식|울산 남구 삼산중로84번길 11-13 1층|070-4032-7775|울산 남구 삼산중로 84번길 11-13 1층
헤이다이닝|4.62|방문자리뷰 2,965|블로그리뷰 923|양식|울산 남구 돋질로312번길 7|070-8777-7776|울산 남구 삼산동 업스퀘어 근처 맥도날드 뒤편, 함양집 맞은편   자세한 길은 네이버지도를 참고해주세요 :)
라 메르 판지|4.49|방문자리뷰 3,228|블로그리뷰 881|카페,디저트|울산 북구 판지1길 30|0507-1496-8791|Open 9am- Close 10pm Promontoire rocheux dans la mer 이 곳을 닮고, 이곳을 빛나게 하는 바다와 암석이 있는 풍경과 공간
콜프로스터스|4.87|방문자리뷰 157|블로그리뷰 181|카페,디저트|울산 남구 신복로46번길 42 1층|052-221-0529|None
쿠지라|0.00|방문자리뷰 454|블로그리뷰 388|일식당|울산 중구 학성로 85-2 1층 쿠지라|0507-1314-5046|시계탑 방향 일방통행길 시계탑 가기전 좌측편
다이닝펍 비그레이|4.82|방문자리뷰 165|블로그리뷰 295|양식|울산 남구 돋질로306번길 25 3층 다이닝펍 비그레이|0507-1326-8332|삼산동 공용주차장과 업스퀘어 중간 위치에 있습니다
