name|star|visit_review|blog_review|category|addr|tele|detail
진하해수욕장|4.2|방문자리뷰 164|블로그리뷰 1,267|해수욕장,해변|울산 울주군 서생면 진하리|052-238-1438|경부고속도로 언양 IC→울산광역시→남부순환도로→14번, 31번 국도 이용
태화강 국가정원|4.39|방문자리뷰 323|블로그리뷰 4,651|도시,테마공원|울산 중구 태화강국가정원길 154|052-229-3147|None
일산해수욕장|4.32|방문자리뷰 293|블로그리뷰 1,313|해수욕장,해변|울산 동구 일산동|None|경부고속도로 언양 IC→8번 국도→울산광역시 시내→울산광역시 시외 버스터미널→1027번 지방도로→일산 해수욕장
대왕암공원|4.39|방문자리뷰 1,130|블로그리뷰 5,026|도시,테마공원|울산 동구 일산동 산907|052-209-3738|1. 공업탑에서 울산역 방향 - 아산로 - 미포조선 방향 - 대왕암공원 - 공원 입구에서 주차 - 도보 20분 - 대왕암. 2. 버스 101, 102, 103, 104, 106, 111, 1114, 112, 117, 123, 127, 401번 일산해수욕장 하차.
슬도|4.35|방문자리뷰 45|블로그리뷰 1,558|섬|울산 동구 방어동 산5-3|None|None
장생포고래문화마을|4.53|방문자리뷰 1,056|블로그리뷰 1,360|체험마을|울산 남구 장생포고래로 244|052-226-0980|None
간절곶|4.31|방문자리뷰 495|블로그리뷰 5,358|자연명소|울산 울주군 서생면 대송리|052-204-1000|경부고속도로 - 언양, 울산고속도로 - 남부순환로 - 진하해수욕장
주전몽돌해변|4.41|방문자리뷰 33|블로그리뷰 1,061|해수욕장,해변|울산 동구 주전동|None|None
선암호수공원|4.18|방문자리뷰 130|블로그리뷰 1,300|자연,생태공원|울산 남구 선암동 490-2|052-226-4853|시내버스  동구 106번 꽃바위-남목-효문사거리-학성공원-태화교-공업탑-수암동사무소-야음롯데캐슬 정류장 하차  북구 206번 농소-북구청-학성공원-태화교-공업탑-야음시장 정류장 하차 울주군 426번 율리-울산대-태화로-중앙로-공업탑-수암로-야음시장 정류장 하차 울주군 415번 율리-울산대-신복로터리-법원-공업탑-수암동사무소-야음롯데캐슬 정류장 하차 마을버스 926번 현대백화점-고속버스터미널-태화중학교-롯데인벤스-대현동주민센터-야음초등학교 하차 976번 현대백화점-고소버스터미널-신화마을-sk스포츠센터-호수공원 축구장 정류장 하차
자수정동굴나라|4.33|방문자리뷰 125|블로그리뷰 1,283|관람,체험|울산 울주군 상북면 자수정로 212 자수정동굴나라|052-254-1515|경부고속도로 > 서울산IC > 양산 방면으로 약 5분 소요
