,spot_name,address,region,detail,tel,spot_image,tag,star,visit_review,blog_review,category
0,광안리해수욕장,부산 수영구 광안해변로 219,부산,경부고속도로→부산광역시 도시고속도로→대연램프→수영구청→광안리 해수욕장,051-622-4251,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_291%2F1440992293098C6Wut_JPEG%2F157155537130145_0.jpg,"신나는,데이트",4.34,758,16975,"해수욕장,해변"
1,해운대해수욕장,부산 해운대구 우동,부산,"부산광역시 역-해운대 해수욕장 139, 140, 239, 240, 302번 시내버스, 2001, 2002번 특급좌석 이용",051-749-7601,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_219%2F1440992305953sjrCF_JPEG%2F157155537056075_0.jpg,"신나는,데이트",4.28,505,10770,"해수욕장,해변"
2,민락수변공원,부산 수영구 민락수변로 129 수변공원(2호) 공중화장실,부산,"길이 543m, 너비 60m, 면적 약 3만 3000㎡이다. 바다에 접한 국내 최초의 수변공원으로 해운대와 광안리 중간 지점에 있다.   이곳은 원래 바다였으나 지역개발 촉진과 지역주민의 편의를 위해 공원으로 조성되었다. 1992년 공사를 시작하여 1997년 완공되었다. 4만 명을 수용할 수 있으며, 화단과 그늘집·벤치 등의 편의시설이 갖추어져 있다. 바다를 바라보며 행사를 관람할 수 있는 넓이 3,040㎡의 스탠드는 만조 때면 바닷물이 들어와 발을 담글 수 있다.",051-610-4742,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_62%2F1441005477475qaRjj_JPEG%2F106875543652790_0.jpg,"신나는,데이트",4.39,90,2229,"도시,테마공원"
3,태종대,부산 영도구 전망로 24,부산,경부고속도로 → 부산 도시고속도로 → 대연터널 → 문현교차로 → 부산대교 → 영도구청 → 태종대교차로 → 태종대,051-405-8745,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_219%2F1441013738292yt4Mw_JPEG%2F12079965_0.jpg,"분위기 있는,데이트",4.33,4404,4989,유원지
4,다대포해수욕장,부산 사하구 다대동,부산,"부산역→다대포 해수욕장 2번, 98번 버스 이용",051-220-5895,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_186%2F1441045691672l7Oqd_JPEG%2F13491855_0.jpg,"이색체험,데이트",4.4,284,5769,"해수욕장,해변"
5,부산송도해수욕장,부산 서구 암남동,부산,경부고속도로 → 삼락IC → 구평동 → 암남동 → 부산 송도해수욕장,051-240-4000,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150206_203%2F1423209954671fV9fE_JPEG%2F%25BA%25CE%25BB%25EA_%25BC%25DB%25B5%25B5%25C7%25D8%25BC%25F6%25BF%25E5%25C0%25E5_1.JPG%3Ftyp,"이색체험,데이트",4.41,230,3324,"해수욕장,해변"
6,아난티 힐튼 부산,부산 기장군 기장읍 기장해안로 268-32,부산,"부산의 아름다운 해변을 품은 기장에 위치한 아난티 힐튼 부산에서 도심 속 완벽한 휴식처라는 차별화된 컨셉과 규모, 서비스를 자랑합니다. 탁 트인 오션뷰를 마음껏 감상 할 수 있는 약 21평의 넓고 여유로운 객실에는 프라이빗 발코니가 마련되어, 휴식을 즐기기에 더 없이 좋은 시설을 자랑합니다. 특히 해안경관이 파노라믹 뷰로 펼쳐지는 야외 인피니티 풀, 성인 전용 인피니티풀, 키즈 풀, 자쿠지 등 해외 리조트 못지 않은 럭셔리 수영장과 피트니스와 사우나, 테라피 룸 등의 부대시설들이 함께 마련되어 있어 사계절 내내 완벽한 휴식을 선사합니다.",051-509-1111,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171122_141%2F1511315215581YHnRo_JPEG%2FUF0KaGvHhk9vq9vsQkqqF7hO.jpg,"분위기 있는,야경",4.56,3072,7127,5성급
7,흰여울문화마을,부산 영도구 영선동4가 605-3,부산,"지하철 : 1호선 남포역 6번 출구 → 버스 6, 9, 82, 85, 7, 71, 508 흰여울문화마을 하차  버　스 : 영도다리 입구 → 6, 9, 82, 85, 7, 71, 508 흰여울문화마을 하차  자가용 : 별도의 주차공간이 없습니다 공영주차장을 이용하시기 바랍니다.  1. 절영해안산책로 입구(영도구 영선동 반도보라 아파트 앞) 공영주차장 2. 신선3동 공영주차장",051-419-4067,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171228_197%2F1514451096257hdrvJ_JPEG%2FEUDU5oOqcz00HIt4wJD5lVp2.jpg,데이트,4.43,122,6709,지역명소
8,파라다이스호텔 부산,부산 해운대구 해운대해변로 296,부산,해운대역에서 도보 8분 거리에 위치.,051-742-2121,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181224_70%2F1545625673184Fc2Sx_JPEG%2FsRDdK_ScDinmJS2-oGXI8wUj.jpg,분위기 있는,4.55,3567,5850,5성급
9,감천문화마을,부산 사하구 감내2로 203 감천문화마을안내센터,부산,None,051-204-1444,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_296%2F1441106775581HW1Yv_JPEG%2F137160528543605_0.jpeg,"데이트,이색체험",4.4,431,6940,체험마을
