,spot_name,address,region,detail,tel,spot_image,tag,star,visit_review,blog_review,category
0,한밭수목원,대전 서구 둔산대로 169,대전,대전TG에서 - 동부사거리 - 한밭대로 - 한밭대교 건너 우회전 - 대전문화예술의전당 방향으로 좌회전.,042-270-8452,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_76%2F1441007266841iAabl_JPEG%2F11622659_0.jpg,"파릇파릇한,데이트",4.32,489,3927,"식물원,수목원"
1,대전오월드,대전 중구 사정공원로 70,대전,"도심 속에서 즐기는 놀랍고 즐거운 세상!! 주랜드+플라워랜드+조이랜드+버드랜드의 종합테마파크!! 사랑스러운 동물들과 재미넘치는 놀이기구가 가득한 대규모 테마파크 오월드로 초대합니다.  대전오월드는 안전한 관람을 위해 방역에 노력하고 있으며, 코로나19 확산 예방을 위해 마스크 착용 및 사회적거리두기, 손소독, 발열 체크에 적극 협조해 주시기 바랍니다.",042-580-4820,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_165%2F1657860677088M44ux_JPEG%2F%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25B3%25AA%25C0%25AF_%25C0%25CC%25B9%25CC%25C1%25F6_1.jpg,"신나는,데이트,이색체험",4.45,12979,3561,테마파크
2,엑스포 과학공원,대전 유성구 대덕대로 480,대전,대전통영도로 - 남부순환도로 - 경부고속도로 - 회덕IC - 호남고속도로 - 북대전IC.,042-250-1111,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_109%2F1441007004036THbKz_JPEG%2F116359528661902_0.jpg,"이색체험,데이트",4.21,243,624,"도시,테마공원"
3,장태산자연휴양림,대전 서구 장안로 461,대전,호남고속도로 서대전광역시 인터체인지에서 대전광역시 시내방면 1번 국도(3km)→가수원 4거리(우회전)→639번 지방도로(8km)→흑석동 4거리(좌회전-4km)→장태산 자연휴양림,042-270-7883,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_265%2F1440992222814lmqua_JPEG%2F11491053_0.jpg,파릇파릇한,4.41,233,2522,"휴양림,산림욕장"
4,호텔오노마,대전 유성구 엑스포로 1 호텔 오노마 대전,대전,None,042-259-8007,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220504_211%2F165165263485539tHY_JPEG%2F%25BF%25DC%25B0%25FC.jpg,분위기 있는,4.07,557,763,5성급
5,유림공원,대전 유성구 어은로 27,대전,None,042-824-4581,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzEwMjhfNzMg%2FMDAxNTA5MTg0NTg5NzI3.5Y26Y7t4joLBt_iZJHcXguT89NT6Nh-5QYs95qRzcqgg.SDO0ay3lEiNumG_4FBcI68V2gr1Mg660FbWtPR17eFsg.JPEG.jeju8253%2FDSC09557.jpg,"파릇파릇한,데이트,분위기 있는",4.41,159,1895,"도시,테마공원"
6,대전 엑스포 아쿠아리움,대전 유성구 엑스포로 1 대전 신세계 Art&Science 지하 1층,대전,대전 신세계 Art&Science 지하 1층,042-607-8852,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220527_286%2F1653641862508PQFnf_JPEG%2F%25BF%25EE%25BF%25B5%25BD%25C3%25B0%25A3_%25BA%25AF%25B0%25E6.jpg,"이색체험,데이트,신나는",4.2,2064,658,아쿠아리움
7,엑스포 과학공원한빛탑,대전 유성구 대덕대로 480,대전,None,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F16099731%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658206421708%26md%3DtTACDJka1eN7eu304I0JLqGmeGc%253D,이색체험,0.0,7,901,부속시설
8,대전어린이회관,대전 유성구 월드컵대로 32,대전,유성구 노은동 월드컵경기장 동관 1층에 위치해있습니다. 유성 IC 맞은 편에 위치해있습니다.,042-824-5500,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190308_142%2F1552011812920WYBbw_JPEG%2Fw3BYrHa6a8ibDmDTzDxC7o3Q.JPG.jpg,"이색체험,신나는",4.46,318,604,"관람,체험"
9,만인산자연휴양림,대전 동구 하소동 산47,대전,경부고속도로 비룡분기점 > 대진고속도로 추부IC(37번 국도-좌회전) > 추부(17번 국도-우회전) > 만인산푸른학습원 으로 도착,042-270-8653,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_186%2F1595573371421cMnCK_JPEG%2Fsp_kGzzJzdCgOb63lzzNVsbR.jpg,"파릇파릇한,데이트",0.0,81,724,"휴양림,산림욕장"
