,spot_name,address,region,detail,tel,spot_image,tag,star,visit_review,blog_review,category
0,진하해수욕장,울산 울주군 서생면 진하리,울산,"경부고속도로 언양 IC→울산광역시→남부순환도로→14번, 31번 국도 이용",052-238-1438,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_118%2F1440992301050tFfGR_JPEG%2F157155537056918_0.jpg,"야경,분위기 있는,데이트",4.2,164,1267,"해수욕장,해변"
1,태화강 국가정원,울산 중구 태화강국가정원길 154,울산,None,052-229-3147,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220611_68%2F16549294234677PRdN_JPEG%2FDJI_0306.,"분위기 있는,데이트",4.39,323,4651,"도시,테마공원"
2,일산해수욕장,울산 동구 일산동,울산,경부고속도로 언양 IC→8번 국도→울산광역시 시내→울산광역시 시외 버스터미널→1027번 지방도로→일산 해수욕장,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_209%2F1441045653001A8Hne_JPEG%2F157155537057932_0.jpg,"야경,분위기 있는",4.32,293,1313,"해수욕장,해변"
3,대왕암공원,울산 동구 일산동 산907,울산,"1. 공업탑에서 울산역 방향 - 아산로 - 미포조선 방향 - 대왕암공원 - 공원 입구에서 주차 - 도보 20분 - 대왕암. 2. 버스 101, 102, 103, 104, 106, 111, 1114, 112, 117, 123, 127, 401번 일산해수욕장 하차.",052-209-3738,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_198%2F1441013741958dYeI8_JPEG%2F107073498471066_0.jpg,이색체험,4.39,1130,5026,"도시,테마공원"
4,슬도,울산 동구 방어동 산5-3,울산,None,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAyMjBfMTkz%2FMDAxNTE5MDg5NDYyNjY3.7qyHdbTiPJBB69hcLyr4hTB18dYDjIPWysWHDMSeO4sg.bE8cWE5eVPAFkWmG3k--Je2OZEx9jj7WezSriCdWF-0g.JPEG.cafe_blue%2F20180217_143901.jpg,파릇파릇한,4.35,45,1558,섬
5,장생포고래문화마을,울산 남구 장생포고래로 244,울산,None,052-226-0980,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAxMjlfMjMx%2FMDAxNTE3MTYwMTY0NzQw.A5ULhgDTCEwxFByRwlBXk2u8nU1C60Q7F3yumGafMt8g.KJfkyZR08LIz5rsbt6ph64KX9ALgWPNhI3oKhDi-q5Ig.JPEG.gold_yull%2FDSC00520.jpg,"신나는,이색체험",4.53,1056,1360,체험마을
6,간절곶,울산 울주군 서생면 대송리,울산,"경부고속도로 - 언양, 울산고속도로 - 남부순환로 - 진하해수욕장",052-204-1000,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_169%2F1441045677635VpsLn_JPEG%2F13491761_0.jpg,"야경,분위기 있는,데이트",4.31,495,5358,자연명소
7,주전몽돌해변,울산 동구 주전동,울산,None,None,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170720_238%2F1500511027308yYLa2_JPEG%2F20170716_135646.jpg,"야경,분위기 있는,데이트",4.41,33,1061,"해수욕장,해변"
8,선암호수공원,울산 남구 선암동 490-2,울산,시내버스  동구 106번 꽃바위-남목-효문사거리-학성공원-태화교-공업탑-수암동사무소-야음롯데캐슬 정류장 하차  북구 206번 농소-북구청-학성공원-태화교-공업탑-야음시장 정류장 하차 울주군 426번 율리-울산대-태화로-중앙로-공업탑-수암로-야음시장 정류장 하차 울주군 415번 율리-울산대-신복로터리-법원-공업탑-수암동사무소-야음롯데캐슬 정류장 하차 마을버스 926번 현대백화점-고속버스터미널-태화중학교-롯데인벤스-대현동주민센터-야음초등학교 하차 976번 현대백화점-고소버스터미널-신화마을-sk스포츠센터-호수공원 축구장 정류장 하차,052-226-4853,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210125_284%2F16115387928802hvVh_JPEG%2F5VLrtVYHoqPBAXXIZotEtV7r.JPG.jpg,"분위기 있는,파릇파릇한,야경",4.18,130,1300,"자연,생태공원"
9,자수정동굴나라,울산 울주군 상북면 자수정로 212 자수정동굴나라,울산,경부고속도로 > 서울산IC > 양산 방면으로 약 5분 소요,052-254-1515,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_22%2F1441045617310qoIh9_JPEG%2F13491390_3.jpg,이색체험,4.33,125,1283,"관람,체험"
