,store_name,address,tel,category,star,detail,visit_review,blog_review,image
0,None,None,None,None,None,None,None,None,None
1,None,None,None,None,None,None,None,None,None
2,장충동왕족발보쌈,대구 서구 고성로15길 17,053-357-3339,"족발,보쌈",4.59,None,29,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_233%2F1586092945715igRoc_JPEG%2FpPq20ZIqwZVLtLb85vaWtR9e.jpg
3,굽네치킨 대구지산점,대구 수성구 용학로 250,0504-3143-8370,"치킨,닭강정",4.49,"튀기지 않고 오븐에 구워 치킨 본연의 맛을 선보이겠다는 도전적인 발상은 기름은 쏙 빼고 그 자리에 맛과 건강을 채워 넣는 치킨 혁신으로 이어졌습니다.
더 맛있고, 더 건강한 치킨을 만들기 위한 굽네치킨의 고집,
대한민국을 넘어 세계에서 새로운 치킨 문화를 이끌어가고 있습니다!",105,4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220317_114%2F1647488200832jgTcD_JPEG%2F%25B1%25C1%25B3%25D7_%25B7%25CE%25B0%25ED_%2528RED%2529.jpg
4,None,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None,None
6,풍미식당,대구 서구 달서로54길 6,None,한식,None,None,3,None,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F19679335%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1658063050173%26md%3DNHxQuhd87pwAOVkVoFq%252BWs6%252B9U4%253D
7,신정분식손칼국수,대구 동구 방촌로15길 6-1,02-982-3159,"칼국수,만두",None,None,2,1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200808_170%2F1596827645060ywvGI_JPEG%2FCmdkINvJrop_EoU3eP9oA7aM.jpg
8,None,None,None,None,None,None,None,None,None
9,황금돼지국밥,대구 수성구 들안로32길 104,053-767-7322,국밥,4.27,None,47,6,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191107_292%2F1573098875048sXbl6_JPEG%2FQC3b1pXC4MVQMgfr1VnGGOlW.jpg
