,store_name,address,tel,category,star,detail,visit_review,blog_review,review_sum,tag,image
4354,본전돼지국밥,부산 동구 중앙대로214번길 3-8,051-441-2946,국밥,4.4,None,4207,3415,7622,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_107%2F14431609930901BjP3_JPEG%2F166875553329534_0.jpg
2569,스타벅스 서면중앙대로R점,부산 부산진구 중앙대로 672,1522-3232,카페,4.57,1.주차가능 2.주차장위치-입점건물지하주차장 3.주가차능대수-100대이상 4.주차조건-조건부무료(1만원이상 1시간 무료/3만원이상 2시간 무료) 5.주차요금정산방법-파트너에게 등록요청/추가요금은 출차시 결제,6176,255,6431,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210901_133%2F1630442727183xJVz2_JPEG%2F3768_20210831102533_vckaz.jpg
1878,아웃백스테이크하우스 동래점,부산 동래구 온천장로 20 신화타워상가 3층,0507-1306-5041,패밀리레스토랑,0,"아웃백 스테이크하우스는 전 세계 21개국 1,000여 개 매장을 보유한 세계적인 캐주얼 다이닝 스테이크 레스토랑 브랜드입니다. 호주 대 자연의 아름다움과 따뜻함을 느낄 수 있는 매장 인테리어와 함께 홈메이드 방식으로 조리되는 신선하고 풍부한 메뉴를 만날 수 있습니다. 호주산 소고기만을 사용하는 아웃백의 대표 메뉴 스테이크는 육즙이 풍부하고 부드러운 부위만을 엄선하여 고기가 가장 맛있는 따뜻한 온도의 플레이트 위에 제공하여 최상의 맛을 경험할 수 있도록 합니다.",5606,808,6414,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211216_58%2F1639622526384pUb9q_JPEG%2F%25BE%25F7%25C3%25BC_%25BA%25ED%25B7%25A2%25B6%25F3%25BA%25A7.jpg
1490,맥도날드 원동점,부산 동래구 충렬대로 486,070-7017-0473,햄버거,4.47,None,6134,51,6185,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA1MDhfNzgg%2FMDAxNjUxOTg5NDY2MzUx.Rwm3xwCoJwYo5smSUW9_ZUgQ3fJ-OBG6Ec84tGhzhaIg.d5zZx6_QYjnX81qILZX5-2iCL90RQMcTnVKD-aGcre0g.JPEG.ghksgus79%2F20220507%25A3%25DF141822.jpg
4620,맥도날드 부산구서DT점,부산 금정구 중앙대로 1957,070-7209-0587,햄버거,4.47,None,5417,104,5521,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA2MDRfMTY2%2FMDAxNTI4MDM4MDQ5Mjg5.X9POlbdWBJLqljLgJ7KmtSZKRc0VcUHrX5V56DVxYR0g.yN-ruXa2Rwxh8OJs_S36USyiL-HmfWS5_k6AT2d9jY0g.JPEG.foodtime11111%2F20180603_181931.jpg
4983,테라로사 수영점,부산 수영구 구락로123번길 20 F1963,033-648-2760,카페,4.53,"F1963 제1, 2주차장 / 고려제강 본사 주차장 1, 2층 
테라로사 고객 3시간 무료
매장에서 주차도장 날인, 출차 시 영수증 제시",4788,608,5396,"커피 맛집, 디저트 맛집, 분위기 있는",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_9%2F1587356087804N3UR5_JPEG%2FZPNEW1_Fd7tJ4aAL536QYBJe.JPG.jpg
1143,해운대기와집대구탕,부산 해운대구 달맞이길104번길 46,051-731-5020,"매운탕,해물탕",4.33,"해운대 해수욕장과 광안대교가 내려다보여 전망이 좋은 곳. 메뉴는 대구탕 한 가지뿐이다. 대구탕 안에는 대구도 많이 들어가 있으며, 국물이 시원하다. 기와집을 고쳐 만든 식당으로, 해운대 달맞이길 부근에 있다.",3206,1233,4439,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_189%2F1443162218312e8OhL_JPEG%2F166875555354588_6.jpg
3634,파리바게뜨 부산덕천점,부산 북구 만덕대로 16,051-335-8215,베이커리,4.39,파리바게뜨 PB부산덕천점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,4290,68,4358,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220307_101%2F1646631564881DSznh_JPEG%2F1646630815832-2.jpg
2503,스타벅스 사상역점,부산 사상구 사상로 211,1522-3232,카페,4.54,1.주차불가능,4211,128,4339,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
753,모모스커피 본점,부산 금정구 오시게로 18-1,051-512-7034,"카페,디저트",4.49,"우리는 
커피회사입니다. 

아무것도 모르고 시작한 4평짜리 작은 테이크아웃
몇 안되는 단골손님들과 진지한 커피 이야기로, 때로는 살아가는 인생 이야기로 하루 종일 웃고 떠들며 커피에 빠져든지도 벌써 10년차가 되었습니다. 

모든게 서툴던 시절, 기본만 잘 지켜나가자는 다짐으로 시작한 회사는 
직원 모두가 그 마음으로 커피 공부에 매진하고 전 세계 커피인들과 교류하며 대한민국을 대표하는 스페셜티커피 전문회사로 성장하였습니다. 
수많은 시행착오를 거치면서도 지치지 않고 끊임없이 에너지를 발산할 수 있었던 이유는 무엇일까요? 

잘하고 싶은 마음. 그 마음이었던 것 같습니다.

시설 설비를 갖추는데 욕심내고 직원들의 복지사항을 우선으로 생각합니다. 
당장의 수익보다는 시간의 흐름과 같이 하나의 명품을 만들어가는 것을 고집하는 회사, 우리는 모모스입니다.",2488,1711,4199,"커피 맛집, 디저트 맛집, 분위기 있는",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190713_219%2F1562954475147oWEEe_JPEG%2Fdk334ZS_mYyi_qfVl8r4L3l0.jpeg.jpg
1565,송정3대국밥,부산 부산진구 서면로68번길 33 송정3대국밥,051-806-5722,국밥,4.33,"돼지 국밥, 순대 및 내장 국밥, 삼겹살, 항정살 암뽕 수육 등 메뉴 안내.",2449,1713,4162,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_244%2F1443160537287RILCR_JPEG%2F166875548552858_6.jpg
1605,엔제리너스 김해공항점,부산 강서구 대저2동 2551-86,051-832-5162,카페,4.36,None,4089,30,4119,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190917_168%2F15686506266192pHkE_JPEG%2FMPGyFitUntchKA8b9HcAihJy.jpg
2682,버거킹 부산대연GS점,부산 남구 수영로 288,051-626-0332,햄버거,4.54,None,3989,42,4031,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA4MjVfNzUg%2FMDAxNjI5ODY2NDIyOTQy.s0w-EGrYExB9WKVpJrVyl-xs61pHyOkwbQSKWJ2YCl4g.BASglfYGaJp5Lx9wtfOPe3lz6X1Ouy2_kS2u2jZZF80g.JPEG.rkxmahs99%2FIMG_0878.jpg
2544,스타벅스 경성대점,부산 남구 수영로 312,1522-3232,카페,4.55,"1.주차가능 2.주차장 위치 - 건물 지하 주차장 3.주차가능대수 - 20~50대 4.주차조건 - 조건부 무료( 8천원이상 구매시 30분,1만2천원이상 구매시 1시간 무료/ 최대 1시간무료) 5.주차정산방법 - 파트너에게 요청(영수증제시시 주차권 증정)",3830,166,3996,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
