,store_name,address,tel,category,star,detail,visit_review,blog_review,tag,image,review_sum
1244,빕스 대구수성교점,대구 중구 달구벌대로 2232 빕스,053-427-2997,패밀리레스토랑,4.28,"* 8인이상 단체 예약은 유선으로 부탁드립니다

*예약시간 15분 경과시 자동취소 됩니다.

*지정자리는 예약되지 않으니 참고 부탁드리며,
 예약 수정 있을 시 053-427-2997로 연락해주시면 감사하겠습니다.

* 네이버 예약이 불가할 경우엔 현장 방문하시면 입장가능 합니다.

* 예약 인원수는 영유아 포함 인원수대로 예약 후 방문 부탁드립니다.

* 문의 전화 : 053)427-2997",5357,827,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211116_156%2F1637043921614wdVnO_JPEG%2F%25BA%25F7%25BD%25BA_%2528%25B9%25E9%25C1%25F6%25BC%25B1%25B4%25D4%2529_%25BA%25F7%25BD%25BA-%25B7%25CE%25B0%25ED-524X524_1.jpg,6184
2131,맥도날드 대구시지DT점,대구 수성구 달구벌대로 3199,070-7017-4410,햄버거,4.39,None,4213,84,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190901_97%2F1567320185404Lrl2S_JPEG%2FQ6JckL6dxpboXWASJ0x4HBDv.jpg,4297
2345,맥도날드 본리DT점,대구 달서구 와룡로 134,070-7209-1064,햄버거,4.42,None,4179,61,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191208_219%2F15758043205449mNhl_JPEG%2FIwDD0Nwrn9SVMope51lAQbhS.jpeg.jpg,4240
1173,스타벅스 대구동촌유원지점,대구 동구 효동로2길 45,1522-3232,카페,4.52,1.주차가능 2.주차장위치-건물 앞 공용주차장 3.주차가능대수-70대 4.주차조건-매장이용시2시간무료,4053,180,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,4233
2172,스타벅스 신세계대구8FR점,대구 동구 신천동 329-3,1522-3232,카페,4.55,1.주차가능 2.주차장위치-신세계백화점 지하주차장 3.주차가능대수-100대이상 4.주차조건-매장이용시 1시간 무료주차 5.주차요금정산방법-파트너 시스템 전산등록,3823,127,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,3950
462,삼송빵집 본점,대구 중구 중앙대로 397,053-254-4064,베이커리,4.27,대구에서는 오래된 전설적인 빵집. 투박한 느낌의 옛날 스타일의 빵 맛이 좋다. 빵 종류는 많은 편은 아니지만 자체 개발한 구운고로케와 통옥수수빵(마약빵)이 인기 있다. 구운고로케는 기름에 튀기지 않고 구워내어 느끼하지 않고 담백한 맛이다. 60여 년의 역사를 자랑한다.,2551,1358,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160121_171%2F14533653876492AyDp_JPEG%2F176071576647523_0.jpeg,3909
993,청진동해장국,대구 수성구 유니버시아드로 336,053-792-7927,감자탕,4.4,"해장국은 꼭 해장만이 아닌
 한끼식사로 충분합니다.
시원한 국물맛의 선지해장국,
돼지목뼈의 부드러운 살코기와 푹익은 우거지가 들어간 깊은 국물맛의 뼈해장국,
오랜시간 사골을 푹 우려내어
구수하고 진한 설렁탕,
직접 삶아서 깨끗이 손질한 소 양과 곱창이
들어간 칼칼한 내장탕,
국물이 담백하고 푹 고와서 부드러운
우거지가 일품인 감자탕,
매콤달콤한 뼈찜(추천메뉴^^)

대구에도 청진동 상호를 쓰는 가게가 많습니다.
저희가게가 프랜차이즈인줄 아시는분들이 많은데 저희가게는 프랜차이즈가 아닙니다^^
2004년 3월2일 오픈후 자체적으로 양념하고 김치 깍두기도 직접 담습니다.",3024,192,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210802_259%2F1627890803170VzPJ3_JPEG%2F2cY4mIBoHLX1NMI7ZDKVOgn4.jpg,3216
2653,조조칼국수,대구 남구 현충로15길 13-1,0507-1429-5343,"칼국수,만두",4.53,"동죽칼국수 포장 택배 가능!!
깨끗하게 손질된 신선한 재료로 준비된 포장과 택배로 만나보세요!!
끓이기만 하면 동죽칼국수 맛집의 진국을 집에서도 느낄 수 있어요:)",2157,1020,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170820_283%2F1503161680480KWJWR_JPEG%2FShptfj-Edpduy2EuiZs_2AQR.JPG.jpg,3177
2584,버거킹대구평리DT점,대구 서구 국채보상로 298,053-566-0332,햄버거,4.47,None,2978,52,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_148%2F1592390240615FEbIT_JPEG%2F6UN88GqwoA0aImHIpltzCwR5.jpeg.jpg,3030
2306,KFC황금동점,대구 수성구 동대구로 155,053-768-1838,햄버거,4.47,None,2546,85,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200709_181%2F1594298993275rHccz_JPEG%2Fkecc-ZxTc3sMkn7uE52Zt1cQ.jpg,2631
