,store_name,address,tel,category,star,detail,visit_review,blog_review,review_sum,tag,image
14954,성심당 DCC점,대전 유성구 엑스포로 107,1588-8069,베이커리,4.52,None,16903,1432,18335,데이트,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220519_224%2F1652944335052vQ9iw_JPEG%2F3.DCC%25C1%25A1.jpg
13093,성심당 케익부띠끄,대전 중구 대종로 480,1588-8069,베이커리,4.54,None,15846,1765,17611,"데이트, 디저트 맛집",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220513_212%2F1652416847552bkCb7_JPEG%2F%25BC%25BA%25BD%25C9%25B4%25E7_%25C4%25C9%25C0%25CD%25BA%25CE%25B6%25EC%25B2%25F4.jpg
15905,성심당 대전역점,대전 동구 중앙로 215,1588-8069,베이커리,4.5,"<홈페이지 주소 삭제 후 인스타그램 주소 삽입해주세요>
https://www.instagram.com/sungsimdang_station/",13303,2127,15430,데이트,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220527_270%2F1653615133175GGOBk_JPEG%2F5.%25B4%25EB%25C0%25FC%25BF%25AA_%25B0%25A3%25C6%25C7_%25C7%25D5%25BC%25BA_%25BB%25E7%25C0%25CC%25C1%25EE%25C1%25B6%25C0%25FD.jpg
2076,오백돈 대전본점,대전 서구 둔산남로105번길 18,0507-1404-5641,돼지고기구이,4.81,"육류명인이 운영하는 고깃집 500돈
2011년 개업후 지금까지 대전 둔산동에서 성업중입니다.
청정지역 제주산 돼지를 웻에이징과 드라이에이징 교차숙성합니다.
더욱 부드러우면서도 쫄깃한 식감과 고소한 지방의 맛에 불향을 더했습니다.

고기만큼 인기있는 순두부찌개와 청국장찌개는 별미입니다.

들기름막국수는 100% 메밀로 만들어 건강한 식품입니다.
5가지 무첨가
'밀가루, 글루텐, 전분, 주정(알코올), 나트륨' 5가지는 넣지 않고 오직 메밀 100% 입니다. 수용성 식이섬유의 함량이 높은 메밀면은 맛도 좋고 건강에도 좋습니다.",6415,1193,7608,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160918_218%2F1474169204651Pmpik_JPEG%2F176868525661837_0.jpeg
3883,베스타,대전 서구 만년로 70,0507-1386-3366,뷔페,4.53,"100인의 전문쉐프가 선보이는 최고급 요리와 품격있는 인테리어, 오감만족 프리미엄 베스타뷔페입니다.",5608,1417,7025,"데이트, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190722_47%2F1563759754394TpGsn_JPEG%2F9N4A7688.jpg
3438,맥도날드 대전가장DT점,대전 서구 도산로 324,070-7017-6437,햄버거,4.41,None,6361,131,6492,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDExMDZfNDIg%2FMDAxNjA0NjQ0MjM4Mzk0.ww5BazRkMHkYlz4PpL3THRT_52WNRNrITwpJc2-5gagg.vyGT1ZH8_y4oWaLmbj9JkIx1FC1eq3VKM2K3RUFRq38g.JPEG.bb8497%2Foutput_3287412527.jpg
13284,아웃백스테이크하우스 유성점,대전 유성구 온천로 45 유성 푸르지오 시티 3층,0507-1306-7861,패밀리레스토랑,4.47,"아웃백 스테이크하우스는 전 세계 21개국 1,000여 개 매장을 보유한 세계적인 캐주얼 다이닝 스테이크 레스토랑 브랜드입니다. 호주 대 자연의 아름다움과 따뜻함을 느낄 수 있는 매장 인테리어와 함께 홈메이드 방식으로 조리되는 신선하고 풍부한 메뉴를 만날 수 있습니다. 호주산 소고기만을 사용하는 아웃백의 대표 메뉴 스테이크는 육즙이 풍부하고 부드러운 부위만을 엄선하여 고기가 가장 맛있는 따뜻한 온도의 플레이트 위에 제공하여 최상의 맛을 경험할 수 있도록 합니다.",5148,532,5680,"데이트, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211216_58%2F1639622526384pUb9q_JPEG%2F%25BE%25F7%25C3%25BC_%25BA%25ED%25B7%25A2%25B6%25F3%25BA%25A7.jpg
21880,쉐이크쉑 대전 타임월드점,"대전 서구 대덕대로 219 (둔산동) EAST동 1층 쉐이크쉑(둔산동, 갤러리아타임월드)",042-720-6133,햄버거,4.36,쉐이크쉑 대전타임월드점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,4877,790,5667,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210107_256%2F1610010290862JguYH_JPEG%2F2019_0828_SSB5729_1_HR.jpg
22430,폴바셋 현대아울렛 대전점,대전 유성구 테크노중앙로 161,042-332-2831,카페,4.56,폴바셋의 스마트 주문 페이지 입니다.,5531,84,5615,"커피 맛집, 디저트 맛집",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160415_146%2F1460709449091EgPur_JPEG%2F176365576748534_0.jpeg
13700,월산본가,대전 중구 대종로 455,042-256-4100,냉면,4.32,"이안과병원 인근에 위치한 냉면과 갈비가 유명한 한식당입니다. 대표 메뉴로 절인 무와 오이, 편육과 삶은 계란 반쪽을 얹고 육수를 부어 내오는 얇은 면의 함흥식 냉면으로 유명해진 곳인데요. 냉면 외에 석판위에 생양파를 깔고 그 위에 양념한 갈비를 구워서 내오는 LA석갈비와 돼지석갈비가 유명하며, 짭조름하게 간이 베인 갈비가 듬뿍 들어간 갈비탕도 인기 메뉴입니다.",5074,485,5559,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_194%2F1549512431403yaQO0_JPEG%2FiR-ie87Engddol_VKTL3eHLY.jpeg.jpg
