,store_name,address,tel,category,star,detail,visit_review,blog_review,tag,image,review_sum
18591,어나더키친 상무점,광주 서구 시청로60번길 21-9 메가박스,0507-1414-9085,양식-일반,4.5,"*어나더 라이브 랍스터 & 스테이크 하우스*
스테이크의 본 고장, 뉴욕의 3대 스테이크인 피터루거가 사용한 USDA 최고등급인 프라임육으로 엄선한 토마호크, 포터하우스, 티본, 엘본 스테이크가 준비되어 있습니다.
상위 3% 이내의 최상급 에이징육을 직접 품종을 선별하고 수입하여 합리적인 가격으로 특별한 가치와 따뜻한 감동을 전해드리겠습니다.
참숯과 참나무로 훈연하여 정통 스테이크의 깊고 진한 풍미가 일품이며, 웻에이징과 드라이에이징의 장점을 살려 깊고 풍부한 스테이크의 맛을 경험할 수 있는 '인생 스테이크'라는 자부심을 갖고 있습니다.",1718,1693,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220617_129%2F1655451958354A4XkN_JPEG%2FKakaoTalk_20220520_144538716_14.jpg,3411
18395,피터테이블 수완점,광주 광산구 장신로 120,062-956-4034,패밀리레스토랑,4.6,"피터테이블은 늘새로운 식재료로 맛있고 건강한음식을 테이블에 드리기위해 모든 피터 파트너 들은 정성껏 준비합니다^^
뉴욕 미슐랭 스타출신 데이비드리와 기술 협업을 통해 뉴욕내 다수의 레스토랑 현지의 맛을 전하기도 합니다. 고객의 행복한 경험과 만족을 드리기위해 최선의 모습으로보답 하겠습니다~감사합니다",1355,1569,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211019_288%2F1634619526829K12nA_JPEG%2FU_U0gyrgzCkMzzefQURb9nWh.jpg,2924
8074,라라브레드 송정점,광주 광산구 광산로19번길 24,1800-2785,브런치,4.5,"매일매일 직접 구운 빵과 신선한 재료로 만든
다양하고 맛있는 브런치와 디저트로 가득 채운
라라브레드 송정점입니다.

본관 3층 루프탑 - 불멍이 가능한 캠핑장 분위기
별관 2층 테라스 - 숲속 정원 분위기
감성적인 야외공간도 마련되어 있으니
오셔서 즐거운시간 되시길 바랄게요 :)",2369,1426,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211227_265%2F16405729931068rURh_JPEG%2FKakaoTalk_20211227_114252399.jpg,3795
14096,마녀의닭갈비,광주 광산구 수완로48번길 36-7,0507-1389-9230,닭갈비,4.58,"닭갈비 양이 많아서
사리는 팔지 않습니다.
사리로 배채우는 '어떤집'이 아닙니다. 

부대찌개의 핵심은 좋은재료입니다.
저가의 햄과 소시지는 손님 입이 금새압니다.
최상품의 재료를 이용해도 
찌개는 인원수보다 1인분 적게가 정답입니다.",1346,1393,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201111_186%2F1605068836335OBnCV_JPEG%2FrDhIXduzjczAaoyHQxjxGfnt.jpeg.jpg,2739
12856,명화식육식당,광주 광산구 평동로 421,062-943-7760,"육류,고기요리",4.26,"1970년대에 개점하여 약 40여년 이상 이어온 광주 명화동에 위치한 한식당입니다. 식당 옆에 식육점과 같이 운영하고 있는 곳이지요. 살코기와 비계가 적절히 붙어있는 돼지고기와 밥, 애호박, 당근, 양파 등을 넣고 고추장양념을 얹어 끓인 옛날 국밥식 애호박 돼지찌개가 대표적인 메뉴인데요. 오후 3시 이후부터 제공되는 삼겹살과 주물럭, 곱창전골 등도 별미입니다.",1027,1095,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210125_9%2F16115766035301RepQ_JPEG%2F8wPI714Xg2DKvt_B8gF13eVU.jpg,2122
8867,백족발 첨단직영점,광주 광산구 임방울대로801번길 35 1층 백족발첨단직영점,0507-1398-3357,"족발,보쌈",4.8,"백족발은 전라도식 족발보쌈을 추구합니다. 음식하면 전라도인데 왜 족발보쌈은 전라도식이 없을까 고민하였습니다. 총3년간의 준비 끝에 자칭 전라도식 족발보쌈인 [파숙지 족보 한상차림]을 2019년 12월 첨단직영점을 시작으로 본점은 2020년 2월에 론칭하였습니다. 여기서 파숙지란? 전라도 방언으로 파나물을 의미합니다. 파숙지의 아사삭하고 알싸한 식감이 또다른 별미의 맛을 선사합니다. 

예로부터 전라도는 넓은 평야, 깊은 산, 그리고 바다에서 나오는 해산물이 많아 식재료가 풍부하였습니다. 그런데, 겨울에도 기후가 따뜻하여 식재료 보관에 문제가 많았습니다. 그래서 다른지방보다 절임과 삭힌 음식이 발달하게 되었던 것이죠. 저희 백족발은 남도음식의 맛과 멋 그리고 푸짐함을 한상가득 담는 상위에 상을 얹는 [한상차림]으로 전라도식 족발보쌈을 표현 하려고 노력하였습니다.

삭힌음식이 발달한 전라도음식이기에 젓갈 4종류(명란젓, 가리비젓, 갈치속젓, 새우젓)를 곁들이로 제공 해 드리고 있으며, 바다에서 나오는 음식으로는 코다리튀김과 통오징어 숙회를 한상차림에 제공 하고 있습니다. 또한 파숙지 족발보쌈을 드실때 다양한 젓갈과 함께 곁들여 드셔보시길 적극 추천 해 드립니다.

백족발 맛있게 드시는 방법을 안내해 드리겠습니다. 상추위에 족발또는 보쌈을 올리고 원하시는 젓갈 올리고, 고추,마늘, 쌈장 올리고, 새콤달콤한 무채나 피클도 올리고, 파숙지 초장찍어 올려서 상추쌈을 드시면 더욱 맛있게 드실 수 있습니다. 마지막으로 숙성된 백김치 한점 드시면 입안이 개운해질 것입니다. 저희는 곁들이는 음식 한가지 한가지 족발보쌈과의 어울림에 집중하였습니다.

다양하게 드실 수 있는 것 또한 저희 백족발의 매력이기도 합니다. 곁들이 반찬은 족발보쌈을 드시는데 다른 더 좋은게 있다면 변경되어집니다. 그리고 홀을 이용하시는 고객님들에게는 주문시 1회 족발전용 부대찌개가 제공되어집니다. 포장/배달 고객님들에게는 1인쟁반국수와 주먹밥이 서비스로 제공 되어지고 있습니다.

저희 백족발은 국내 유일 명인이 운영하는 곳입니다. 또한, 광주광역시가 주관하는 광주맛집 지정에 음식점 총23,799개소 가운데 67개소 지정하는데 광주 족발/보쌈집들 중에 유일하게 저희 백족발이 광주맛집으로 당당히 선정 된 집이기도 합니다. 각종 요리대회 수상경력과 외식업을 공부한 수료증들이 많습니다. 항상 고객님들 만족에 많은 공을 들이고 있습니다.

저희 백족발을 방문해 주시는 많은 고객님들 정말 감사합니다. 백족발은 광주광역시에서 지정한 광주 맛집답게 또, 국내유일 족발명인 스럽게 잘 하겠습니다. 저희 백족발에서 전라도식 족발보쌈 음식을 경험 해 보세요! 정성스럽게 맛있는 음식 멋지게 한상가득 담아 대접 해 드리겠습니다.

* 상단에 <찜> 눌러 저희 백족발을 보다 쉽게 찾아주시기 바랍니다.",1644,1080,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220129_293%2F1643401197573LvexY_JPEG%2FKakaoTalk_20220129_051705962.jpg,2724
5534,광주시립미술관,광주 북구 하서로 52,062-613-7100,미술관,4.23,"1992년 지역문화예술 발전을 위해 국내 국공립미술관 중 최초로 개관한 광주시립미술관은 본관, 하정웅미술관, 사진전시관, 비엔날레관, 금남로분관, 서울 인사동 G&J 광주전남갤러리로 구성 되어 있으며 본관은 총 6개의 전시실과 어린이미술관, 문화센터, 도서자료실, 세미나실, 야외공연장, 카페 및 기타 편의 시설 등을 갖추고 있다. 

광주시립미술관은 1995년 광주비엔날레 창설의 기초를 마련하면서, 국립아시아문화전당과 함께 지역 문화예술발전은 물론, 활발한 국제교류를 통해 한국현대미술을 세계에 알리고 세계 각국의 다양한 현대미술을 한국에 소개하는 역할을 하고 있다. 특히 1995년에 국내 최초로 설립한 국내 및 국외(북경) 창작스튜디오와 2014년부터 해외 미술관 및 전문 기관과의 협약을 통해 작가를 교환하는 국제레지던시 프로그램을 통해 작가 지원 및 국제교류의 폭을 한층 더 확대하였다. 

더불어 미술관을 찾는 지역 시민들을 위해 다양하고 흥미로운 문화센터 교육프로그램을 개발 및 운영하고 있는 광주시립미술관은 미술을 기반으로 한 유아, 어린이강좌, 청소년 토요강좌, 성인 예술 취미강좌, 직장인을 위한 화요야간강좌, 희망 미술 프로젝트 등 다채로운 미술 교육 프로그램을 진행 중이다.",22,1080,"피크닉, 데이트",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200803_105%2F1596438042917Mu0FH_PNG%2FQDmM1lw508L4T2pWcOpepHBT.png,1102
6372,해피데이떡케이크,광주 남구 봉선중앙로47번길 5 상가동 102호,0507-1413-3717,"떡,한과",0,"안녕하세요.
광주 봉선동에 위치한 앙금플라워 떡케이크 전문점 해피데이 입니다.
떡케익은 예약하신 당일에 제작합니다.
모든 상품은 100% 수제로 직접 만들고 있습니다.
믿고 찾아주시면 최선을 다해서 정성껏 준비하겠습니다",6,1060,디저트 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210409_106%2F1617939402788PAx3d_JPEG%2FeSAW08tJxtEKqkWsWt-UTTwY.jpg,1066
16025,백족발 본점,광주 광산구 왕버들로252번길 33 1층 백족발,0507-1364-1033,"족발,보쌈",4.56,"백족발은 전라도식 족발보쌈을 추구합니다. 음식하면 전라도인데 왜 족발보쌈은 전라도식이 없을까 고민하였습니다. 총3년간의 준비 끝에 자칭 전라도식 족발보쌈인 <파숙지 족보 한상차림>을 

2019년 12월 첨단직영점을 시작으로 본점은 2020년 2월에 론칭하였습니다. 여기서 파숙지란? 전라도 방언으로 파나물을 의미합니다. 파숙지의 아사삭하고 알싸한 식감이 또다른 별미의 맛을 선사합니다. 

예로부터 전라도는 넓은 평야, 깊은 산, 그리고 바다에서 나오는 해산물이 많아 식재료가 풍부하였습니다. 그런데, 겨울에도 기후가 따뜻하여 식재료 보관에 문제가 많았습니다. 

그래서 다른지방보다 절임과 삭힌 음식이 발달하게 되었던 것이죠. 저희 백족발은 남도음식의 맛과 멋 그리고 푸짐함을 한상가득 담는 상위에 상을 얹는 <한상차림>으로 전라도식 족발보쌈을 표현 하려고 노력하였습니다.

삭힌음식이 발달한 전라도음식이기에 젓갈 4종류(명란젓, 가리비젓, 갈치속젓, 새우젓)를 곁들이로 제공 해 드리고 있으며, 

바다에서 나오는 음식으로는 코다리튀김과 통오징어 숙회를 한상차림에 제공 하고 있습니다. 또한 파숙지 족발보쌈을 드실때 다양한 젓갈과 함께 곁들여 드셔보시길 적극 추천 해 드립니다.

백족발 맛있게 드시는 방법을 안내해 드리겠습니다. 상추위에 족발또는 보쌈을 올리고 원하시는 젓갈 올리고, 고추,마늘, 쌈장 올리고, 새콤달콤한 무채나 피클도 올리고, 파숙지 초장찍어 올려서 상추쌈을 드시면 

더욱 맛있게 드실 수 있습니다. 마지막으로 숙성된 백김치 한점 드시면 입안이 개운해질 것입니다. 저희는 곁들이는 음식 한가지 한가지 족발보쌈과의 어울림에 집중하였습니다.

다양하게 드실 수 있는 것 또한 저희 백족발의 매력이기도 합니다. 곁들이 반찬은 족발보쌈을 드시는데 다른 더 좋은게 있다면 변경되어집니다. 

그리고 홀을 이용하시는 고객님들에게는 주문시 1회 족발전용 부대찌개가 제공되어집니다. 포장/배달 고객님들에게는 1인쟁반국수와 주먹밥이 서비스로 제공 되어지고 있습니다.

저희 백족발은 국내 유일 명인이 운영하는 곳입니다. 또한, 광주광역시가 주관하는 광주맛집 지정에 음식점 총23,799개소 가운데 67개소 지정하는데 광주 족발/보쌈집들 중에 유일하게 

저희 백족발이 광주맛집으로 당당히 선정 된 집이기도 합니다. 각종 요리대회 수상경력과 외식업을 공부한 수료증들이 많습니다. 항상 고객님들 만족에 많은 공을 들이고 있습니다.

저희 백족발을 방문해 주시는 많은 고객님들 정말 감사합니다. 백족발은 광주광역시에서 지정한 광주 맛집답게 또, 국내유일 족발명인 스럽게 잘 하겠습니다. 

저희 백족발에서 전라도식 족발보쌈 음식을 경험 해 보세요! 정성스럽게 맛있는 음식 멋지게 한상가득 담아 대접 해 드리겠습니다.

* 상단에 <찜>을 눌러 저희 백족발을 보다 쉽게 찾아주시기 바랍니다.",1139,930,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220129_139%2F16434015203614EdMX_JPEG%2FKakaoTalk_20220129_051705962.jpg,2069
14195,벗초밥,광주 서구 풍암중앙로86번길 42 1층 벗초밥,062-654-7963,"초밥,롤",0,"벗초밥은요..
저희 매장 벗초밥이 최고라 생각하지는 않습니다..
지금현재에 사용할수있는 좋은재료를 사용하여
저희 벗초밥에서 할수있는 최선을 다할것입니다..
큰기대에 만족드리기보다는 변함없는 맛으로 보답드리고 하나씩 노력해가면서 더 나아진 벗초밥이 되도록 노력하겠습니다..

찾아주시고 응원해주시는 모든분들 감사합니다..
열심히 하겠습니다..",1039,884,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180604_241%2F1528078152943qQWhL_JPEG%2Fo-kga5-rGgio96WJLi9cZbTU.jpg,1923
