,store_name,address,tel,category,star,detail,visit_review,blog_review,tag,image,review_sum
6978,뻘다방,인천 옹진군 영흥면 선재로 55,0507-1319-8300,"카페,디저트",4.4,"OPEN 10:00-20:00 [화요일 정기휴무]
선재도 프라이빗한 해변에 위치한 뻘다방은 발리 윤식당 느낌의 이국적인 로스터리 카페입니다. 스페셜티 브루잉커피와 베이커리, 모히또등의 메뉴가 준비되어있습니다

(사진가 김연용 씨가 운영하는 인천 선재도 카페입니다. 눈먼 아버지와의 감동적인 실화를 그린 그의 포토에세이 '아버지의 바다'는 허영만의 만화 식객, 그리고 KBS 인간 극장 프로에도 소개되었다고 하는데요, 세계 각지를 돌아다니며, 이곳 선재도의 풍경을 찾아다니며 찍은 사진들과 사진 장비들이 실내 이곳저곳을 채우고 있는 게 눈에 띕니다. 쿠바식 텃밭에서 재배하는 허브들을 이용하여 해변에 어울리는 모히또, 레알망고등의 트로피컬한 메뉴도 맛볼수 있는 카페입니다. 한국의 발리라는 이미지로 많은 사람들이 찾는 선재도의 명소입니다.)

대부도 영흥도 근처",8001,3989,"커피 맛집, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191115_157%2F1573777433213nytSr_JPEG%2FjASFm9EpXx8jH_1Ak1KJrg1W.jpeg.jpg,11990
1697,연경,인천 중구 차이나타운로 41,0507-1389-7894,중식당,4.39,"연경 본점 입니다. 연경은 차이나타운에 본점을 두고 국내에 중국의 음식과 문화를 서비스 하고 있습니다. 국내에서 처음으로 하얀짜장을 개발해 냈으며, 매일 새로운 메뉴를 만들어 전파하고 있습니다. 차이나타운, 동화마을(송월동), 서울 연희동에 직영 매장을 운영 중입니다.",6519,3498,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200122_40%2F1579682862120moEnM_JPEG%2FmMAzkX6OfYNzdHso3QbOXzPL.jpg,10017
7259,피제리아 일피노 인천 송도점,인천 연수구 컨벤시아대로 50 2층 205호 피제리아 일피노,0507-1432-0278,"스파게티,파스타전문",4.52,"피제리아 일피노는 세 아이의 엄마가 정성것 만드는 
송도 신도시에 위치한 이탈리안 애견동반 레스토랑입니다. 

단순히 먹는 음식이 아닌 건강과 나눔의 미학을 
담아 가족의 식탁으로 다가서겠습니다.
480도 이상의 정통화덕에서 참나무장작으로 구워낸 피자부터 
신선한 셀러드, 그리고 다양한 종류의 와인과 음료가 
준비되어 있으며 피제리아의 파스타는 
이탈리안 정통 파스타의 매력을 느끼게 해드릴것입니다. 
식전빵도 매일매일 화덕에 구워서 신선하고 부드러운 빵의 맛을 느끼실수 있습니다. 

피제리아 일피노는 실내공간외에 야외 테라스도 준비되어 있어서 석양의 멋진 모습과 함께 
자연의 맛과 멋을 함께 느끼실수 있으며, 다양한 음료와 와인도 준비되어 있어서 가벼운 모임부터 커플, 가족모임, 
소규모그룹식사모임등을 하실 수 있도록 준비되어 있습니다.

미리 예약해주시면 보다 정성스럽게 준비하여 드리겠습니다.",851,2976,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_84%2F1539360413743Wpohv_PNG%2FEZGUZuuomxN5L-sJ5T14QK6v.png,3827
4343,마니산짜장,인천 강화군 양도면 가능포로 221,032-937-8249,중식당,4.39,"요즘 경기가 점점 어려워 지고 있습니다
저희는 2010년도부터 서민경제가 좋아지는 그날까지 고통분담이라는 슬로건과 함께
짜장면을 현금가 2.000원 카드가 2.500원에 받고 있습니다
요일별 특선 홀한정에 한하여 평일 요일별(법적공휴일제외)로 정상가에서 2.100원 할인 행사도 함께 진행중입니다
YTN미니다큐 짜장면 편에 출연하였습니다",1211,2067,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191112_178%2F1573544809444A8Xd9_JPEG%2FZ7n_FQafirBbDhcfMbMMDhlD.JPG.jpg,3278
9779,토크라피,인천 강화군 화도면 해안남로1691번길 43-12,0507-1325-1691,카페,4.42,"토크라피는 대화와 관계의 목적을 탐구하여 향유하는 장소입니다.
다양한 사람들이 모여 현 시대의 각기 다른 주제로 이야기 나누는 현재에 충실한 공간이자, 타인과의 대화라는 변치 않는 수단을 이용하는 아날로그적 가치를 표방하는 과거 살롱의 모습을 담은 공간입니다.
대화를 위한 proper decibel 무드를 고민하고 제안하며, 다양한 기호의 음료와 디저트를 통해 촉진시키고 윤택하게 만들고자 노력하고 있습니다.",3024,1901,"커피 맛집, 디저트 맛집, 분위기 있는",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220406_211%2F1649220210187BoVrs_JPEG%2F%25B2%25D9%25B9%25CC%25B1%25E2KakaoTalk_20220406_125706419.jpg,4925
6980,오목골 즉석메밀우동,인천 미추홀구 석정로 142 오목골즉석메밀우동,032-868-1717,"우동,소바",4.37,None,3987,1775,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_166%2F1440995527628xjqeW_JPEG%2F11888001_0.jpg,5762
5290,마시안제빵소,인천 중구 마시란로 155,032-746-3977,베이커리,4.26,None,6495,1616,"디저트 맛집, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181030_227%2F1540868166916B7mhj_JPEG%2FaDEX14uC6ODNMFv-ZaM2wTks.jpg,8111
4550,고목정쌈밥,인천 중구 용유서로172번길 10,0507-1378-7785,쌈밥,0,"영종도 을왕리맛집 인천선학동에서 시작하여 학익동본점과 을왕리 입구 선녀바위 진입로전에 위치한 영종도 을왕리점 고목정입니다 본점은 아들이 운영하며 을왕리점은 원조 고목정인 부모님이 운영하고 있으며 인천에서 30년운영을 하고 있는 인천 원조 노포맛집입니다. 30년동안 끊임 없이 많은 분들이 사랑을 해주시어 항상 보답하는 맘으로 음식하고 있습니다. 저희식당 근처에는 프랑세즈단팥빵 및 선녀풍 물회맛집등 많은 맛집들이 있으니 을왕리 나들이나 영종도 여행 오실때 한번 들러 보시는 것도 추천들이며 요즘 핫한 마시안해변가시기 전에 한번 찾아주시면 정말 맛난 쌈밥으로 보답 해드리겠습니다.
고목정 을왕리점은 제육쌈밥과 삼겹살 쌈밥을 주력 메뉴이며 남녀노소 어른 아이 구분없이 맛나게 식사하실수 있게 더욱 노력하고 정진 하겠습니다.
인천공항에서 차로 이동10분거리에 위치해 있으니 많은 사랑 부탁드립니다.",1443,1587,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190424_80%2F1556075178216kRWKV_JPEG%2FE2b0qxtUUrBo8-Ipzomo7WEZ.JPG.jpg,3030
1670,부암갈비,인천 남동구 용천로 149,032-425-5538,"육류,고기요리",4.36,체인점없음,1330,1586,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211202_253%2F1638430248647kdysi_JPEG%2F20211202_160947.jpg,2916
8750,선녀풍,인천 중구 용유서로 272,032-751-2121,"해물,생선요리",4.35,None,3546,1533,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190119_286%2F1547895497145anp2n_JPEG%2FGmxuKyA-4-apzU8jCkFDqQ0V.jpg,5079
