,store_name,address,tel,category,star,detail,visit_review,blog_review,tag,image,review_sum
2355,오설록 티 뮤지엄,제주 서귀포시 안덕면 신화역사로 15 오설록,064-794-5312,박물관,4.46,"자연을 생각하는 제주 오설록 티뮤지엄!

제주 서광 차밭과 맞닿아 있는 오설록 티뮤지엄은 아모레퍼시픽이 차와 한국 전통차 문화를 소개하고, 보급하고자 2001년 9월에 개관한 국내 최초의 차 박물관입니다.
그 안에서 즐기는 오설록 녹차 아이스크림을 맛 보러 오세요.
세계적인 디자인 건축 전문사이트인 디자인붐이 선정한 세계 10대 미술관에 오를 만큼 안팎으로 아름다운 풍광을 뽐내는 티뮤지엄은 연간 150만 명의 관람객이 방문하는 제주 최고 명소이자 문화 공간입니다.",26902,11807,"이색체험, 파릇파릇한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220110_254%2F1641795693593RmYgA_JPEG%2FKD5A9894.jpg,38709
1913,함덕해수욕장,제주 제주시 조천읍 조함해안로 525,064-728-3989,"해수욕장,해변",4.35,"제주시에서 동쪽으로 14 km 떨어져 있다. 물이 맑고 수심이 얕아 가족단위 피서지로 알맞으며 국민관광지로 지정되어 있다. 본래 바다였던 곳이 바다가 얕아지면서 10~15 m의 패사층이 넓게 이루어졌다. 

동쪽에는 나지막하고 완만한 서우산(犀牛山:111 m)이 있고, 서쪽 신흥리(新興里) 해변에는 연북정(戀北亭:지방유형문화재 8)이 위치한다. 주차장 휴게소 야영장 등이 갖추어져 있고, 제주시에서 시내버스가 수시로 왕래한다.",569,10863,기분 전환,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_16%2F1440992303436YUYKt_JPEG%2F11491805_0.jpg,11432
5071,협재해수욕장,제주 제주시 한림읍 협재리 2497-1,064-728-3981,"해수욕장,해변",4.34,"물이 맑고 투명하기로 소문난
개장기간 : 매년 6월말~8월
요금입장료 무료
주차가능대수: 120대
시설 및 제공서비스 : 샤워실 탈의실 화장실 급수대 매점 파라솔 야영장",419,10317,기분 전환,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_140%2F1440992306384X3SLE_JPEG%2F157155537129409_0.jpg,10736
17185,중문통갈치조림구이 기원은갈치,제주 서귀포시 색달중앙로 22,0507-1397-7758,"해물,생선요리",0,"* 2022.02.11 OBS TV
경이로운세상 74회, 제주은갈치맛집 방영

안녕하세요. 기원은갈치 대표 인사드립니다 ^^..

저희 기원은갈치는
'내 자식들에게, 내 부모님에게
대접할 수 있는 음식만을 손님에게 대접한다'
라는 신념으로 매일 새벽마다 힘차게
문을 열고 준비합니다.

제가 매일, 운영시간 내내 상주하며
재료손질부터 요리,
그리고 음식 간도 직접 보고 있습니다.
서빙과 계산까지도 모두 하고 있습니다.

식당은 운영자가 상주하느냐 안하느냐의
차이가 매우 크다고 생각합니다.
그래야 손님상에 올라가는 요리의 질과 맛이
달라지기 때문입니다.

단순히 음식만을 팔고 싶지 않습니다.
저희 기원은갈치는 제가 운영하는 한
평생 '3가지 진심'을 담습니다.

첫째, 좋은 재료에 대한 진심
반찬부터 메인 갈치조림/구이까지
좋은 식재료로 조리합니다.
양념은 모두 천연 양념만 사용합니다^^
제주 향토 음식 재료에 전라도 엄마의 손맛을
더해 더 맛있는 요리를 손님상에 냅니다.

둘째, 손님과의 인연에 진심
저 먼 지역에서도 저희 기원은갈치를 찾아오시는
모든분들과의 인연을 소중히 생각합니다.
가족, 친구, 연인, 모임.
그 누구와 오더라도 잊을 수 없는 식사가
되실 수 있도록 노력하며 다시 찾아주실 때에도
항상 그 인연에 감사하며
한 분 한 분 맞이 합니다.

셋째, 정직함에 진심
눈 앞에 보이는 이익을 쫒으며
눈속임 하고 싶지 않습니다.
최고가 될 수 없을진 몰라도 떳떳하게,
그리고 항상 성실하게 기원은갈치를 운영하겠습니다.

제주 중문 갈치요리&엄마손맛의 진심
-기원은갈치 대표 올림-",2632,9790,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210517_151%2F1621237025490B2HKR_JPEG%2Fo304n34NKT6ElF19YNK8-W1z.jpg,12422
6240,우도,제주 제주시 우도면,064-782-5671,섬,4.53,"면적 5.9㎢, 인구 1,752명(2000)이다. 해안선길이 17㎞, 최고점 132m이다. 제주시 우도면을 이루는 섬으로 제주도의 부속도서 중에서 가장 면적이 넓다. 

성산포에서 북동쪽으로 3.8㎞, 구좌읍 종달리(終達里)에서 동쪽으로 2.8㎞ 해상에 위치하며, 부근에 비양도(飛揚島)와 난도(蘭島)가 있다. 

1697년(숙종 23) 국유목장이 설치되면서 국마(國馬)를 관리·사육하기 위하여 사람들의 거주가 허락되었으며 1844년(헌종 10) 김석린 진사 일행이 입도하여 정착하였다. 원래는 구좌읍 연평리에 속하였으나 1986년 4월 1일 우도면으로 승격하였다. 섬의 형태가 소가 드러누웠거나 머리를 내민 모습과 같다고 하여 우도라고 이름지었다. 

남쪽 해안과 북동쪽 탁진포(濁津浦)를 제외한 모든 해안에는 해식애가 발달하였고, 한라산의 기생화산인 쇠머리오름이 있을 뿐 섬 전체가 하나의 용암대지이며, 고도 30m 이내의 넓고 비옥한 평지이다. 주요농산물은 고구마·보리·마늘 등이며, 가축 사육도 활발하다. 부근 해역에서는 고등어·갈치·전복 등이 많이 잡힌다. 

부서진 산호로 이루어진 백사장 등 빼어난 경관을 자랑하는 우도 8경이 유명하며, 인골분 이야기를 비롯한 몇 가지 설화와 잠수소리·해녀가 등의 민요가 전해진다. 남서쪽의 동천진동 포구에는 일제강점기인 1932년 일본인 상인들의 착취에 대항한 우도 해녀들의 항일항쟁을 기념하여 세운 해녀노래비가 있으며, 남동쪽 끝의 쇠머리오름에는 우도 등대가 있다. 성산포에서 1시간 간격으로 정기여객선이 운항된다.",6882,9780,기분 전환,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_251%2F1441045702813UEBGn_JPEG%2F13491925_0.jpg,16662
14189,서귀포매일올레시장,제주 서귀포시 서귀동 340,0507-1353-1949,시장,4.35,"1965년 개설된 상가주택건물형의 중형시장으로 주 취급품목은 농수산물(옥돔 등 제주도 특산물) 등. 제주의 다양한 먹거리가 모여있는 곳

서귀포에서 가장 큰 시장으로 60여년의 역사를 지닌 전통시장(200여개 점포/140여개 노점)이다.

시장내부가 전 구간에 비가림 시설이 설치되어 있다.

시장내 주차장은 500여대를 동시에 추가 가능하며 30분 무료 주차가능하다.(15분에 500원으로 1시간 2천원)

시장내 물건 구입한 고객 무료 배달 택배서비스를 갖추고 있으며 청소년을 위한 야외공연장 및 공원이 있음.",1084,8057,이색체험,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_126%2F1441057127917mpluY_JPEG%2F126259567049498_0.jpg,9141
16283,휴애리자연생활공원,제주 서귀포시 남원읍 신례동로 256,064-732-2114,자연공원,4.2,"휴애리는 서귀포시 남원읍 신례리 한라산 자락에 있는 자연생활 체험 공원입니다.

2만여평의 공원에 동백 나무가 많이 있고 11월이면 동백 정원과 동백 올레길을 거닐며 동백꽃 과 인생사진 찍을 수 있는 곳

봄 매화 축제, 여름 수국 축제, 가을 핑크뮬리 축제등 다양한 축제가 함께 합니다.

제주를 대표하는 계절체험으로 감귤 체험을 들 수가 있습니다. 감귤맛이 좋기로 소문난 휴애리 감귤 체험에서
8월 ~ 9월에는 어린이 교육용으로 감귤체험을 진행하고
감귤밭에서 감귤이 자라는 과정을 직접 눈으로 보며 직접 딴 풋귤(청귤)은 가져가서 청귤청등으로 활용할 수 있으며,
사진찍기 좋게 꾸며진 다양한 감귤 포토존에서 인생사진
남겨보는것을 적극 추천합니다.

10월 ~ 2월 까지 전 연령이 직접 체험하면서 따서 먹어보고 체험해본 귤을 정해진 봉투만큼 가져갈 수 있습니다.

공원 안에는 다양하고 예쁜 포토존들이 구성되어 있어서
핸드폰 충전은 필수이며, 축제 외에도 동물교감체험 등
다양한 체험프로그램으로 인해서
커플이나 가족단위 관광객이 즐겨 찾고 있습니다.

매시간 정각, 인기절정 흑돼지야놀자 공연이 펼쳐지는데,
공연 30분 전에 공원을 입장하시면 원활하게
공연을 관람하실 수 있고

흑돼지와 거위의 공연을 보고 난 후 또 다른 재미인
먹이주기체험을 할 수 있습니다.

이 외에도 어미흑돼지와 함께 있는 아기흑돼지를 직접 보고 만지면서 교감을 할 수 있으며, 흑돼지뿐만 아니라 토끼, 제주마, 송아지, 염소등 다양한 동물들에게 직접 먹이를 주며 가까이서 관찰할 수 있는 먹이주기체험도 할 수 있습니다.

4계절 축제 테마 와 다양한 체험거리가 있는 인생사진 명소 제주도 휴애리에 방문하셔서 즐겁고 행복한 추억을 만들어 보시기 바랍니다.

제주동백/제주도동백/제주동백축제 /제주도동백축제",13949,6722,"이색체험, 피크닉, 파릇파릇한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220613_63%2F16550854132835WiFl_JPEG%2F1.jpg,20671
8378,고집돌우럭 제주공항점,제주 제주시 임항로 30,0507-1436-1008,한식,4.71,네이버 카카오 구글 고객 리뷰 최고 평점 (4.8점) 트립어드바이저 제주도내 음식점 1위,5260,5868,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20220523_60%2F1653267285707zipby_JPEG%2Fef8f7964-da32-11ec-b400-48df379ccacc_03.jpg,11128
1216,에코랜드 테마파크,제주 제주시 조천읍 번영로 1278-169,064-802-8000,테마파크,4.46,"에코랜드 테마파크는 1800년대 증기기관차인 볼드윈 기종을 모델화하여 영국에서 수제품으로 제작된 링컨 기차로 30만평의 곶자왈 원시림을 기차로 체험하는 테마파크입니다.

저희 에코랜드 테마파크는 자연의 섭리를 어기지 않고 풀 한포기도 소중히 여기며 인간과 자연을 하나로 이어주는 다리가 되고자 합니다. 
돌과 바위의 화산땅에 뿌리를 길게 내리고 한줄기 빛을 찾기 위해 가지를 하늘로 뻗어 질긴 생명력을 이어가는 나무를 보며 자연의 위대함을 배웠습니다. 
그 위대함을 표현하기에 아직도 저희들의 표현력이 부족하다는 것을 잘 알고 있습니다.
하지만 저의 에코랜드 테마파크는 자연과 인간의 공존이라는 대명제를 향하여 멈추지 않고 달려가겠습니다.",23791,5716,"이색체험, 파릇파릇한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220621_185%2F1655795528735XFVyJ_JPEG%2F1.jpg,29507
5162,올래국수,제주 제주시 귀아랑길 24 올래국수,064-742-7355,국수,4.38,"주차는 근처 마리나호텔,웨딩홀 주차장 영업시 15시까지",4624,4826,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_289%2F1440987559385HJY3p_JPEG%2F156155406353614_0.jpg,9450
