,store_name,address,tel,category,star,detail,visit_review,blog_review,review_sum,image
20510,스타벅스 한국프레스센터점,서울 중구 세종대로 124,1522-3232,카페,4.43,"1.주차가능 2.주차장위치-입점건물 지하1,2,3층 3.주차가능대수-50대이상 4.주차조건-조건부무료(1시간 무료주차) 5. 주차요금정산방법-파트너에게 요청(파트너가 건물 주차시스템에 등록)",34555,106,34661,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
21882,준오헤어 목동41타워점,서울 양천구 목동동로 293 현대41타워 3층 준오헤어 목동41타워점,0507-1388-0609,미용실,0.0,"마스크 미착용 시 매장 입장이 어려우실 수 있습니다.

[준오헤어 목동41타워점 소개]
준오헤엄 목동41타워점의 주인공은 '고객'입니다.
고객이 주인공이 되실 수 있도록 수많은 조명들이 모여 아늑한 분위기를 자아내고 있는 준오헤어 목동41타워점은 최대 4시간까지 무료로 주차를 이용하실 수 있습니다. 또한 소중한 시간을 내주어 찾아주시는 고객님들을 위해 감각적인 디자인을 제안하고, 편안한 휴식을 제공해 드릴 수 있도록 최선을 다해 노력하고 있습니다.

1:1 맞춤 헤어 컨설팅을 추구하는 공간
 상위 1%의 탑 스타일리스트로 구성되어있는 준오헤어 목동41타워점은 개개인의 디자이너들의 노하우와 감각이 묻어나는 헤어스타일로 고객의 단점들을 보완하고 장점을 극대화해 트렌디한 헤어스타일로 완성해 드리며 '1:1 맞춤 헤어 컨설팅'을 통해 오롯이 고객만을 위한 스타일을 선물해 드리겠습니다.

아름다움과 힐링을 전하는 곳
프리미엄급 2호점으로 전원 '비달사순 테크니컬 코스'를 수료한 헤어디자이너가 고객을 위한 '세련되고 감각적인 디자인을 제안'하고 시술하시는 모든 시간 동안 '편안한 서비스와 휴식 시간을 제공'하도록 노력하겠습니다.

'고민을 고백하는 것은 새로운 시작입니다.'
여자라면 누구나 세련되고 고급스러워 보이고 싶을 때가 있으며 때로는 머리를 묶었을 때의 모습도 아름답기를 원하지만 혼자서 해결에는 어려움이 있습니다. 준오헤어 목동41타워점은 다양한 이미지를 연출하고 싶은 고객에게 그동안 느껴보지 못했던 본인만의 새로운 이미지를 찾아 드립니다.

고객님을 만나는 소중한 선물 같은 시간, 세련되고 감각이 묻어나는 헤어스타일로 고객의 단점을 보완하고 한 분 한 분 고객만을 위한 디자인을 중심으로 진심을 다해 아름다운 순간을 함께 해드리겠습니다.",28538,1115,29653,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220718_37%2F1658136038840XTF5d_JPEG%2FUntitled-1.jpg
3400,명동교자 본점,서울 중구 명동10길 29,0507-1366-5348,"칼국수,만두",4.42,"1966년 창업이후 명동에서 본점과 분점, 이태원에 직영점을 운영하고 있는 칼국수 전문 음식점입니다.
명동교자는 창업 이래 '음식의 맛은 정성이 과학을 앞선다.'는 신념을 지키기 위하여 가격에 상관없이 최고의 음식 재료, 신선한 음식재료만을 매일매일 구입하여 사용하고 있으며 남은 음식은 100% 완전히 폐기합니다.
칼국수, 만두, 비빔국수, 콩국수를 드실 수 있으시고, 만두만 포장가능합니다.",18020,9356,27376,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_227%2F1539396528420UECHH_JPEG%2FhW6fzasUvHvuw87tK52i5wGP.jpg
16622,스타벅스 무교로점,서울 중구 무교로 15,1522-3232,카페,4.47,주차불가능,17241,38,17279,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
1043,더 리버사이드 호텔 뷔페 더가든키친,서울 서초구 강남대로107길 6 1층,02-6710-1133,뷔페,4.37,"전세계 감동적인 요리를 한자리에!
파인-다이닝 프리미엄 뷔페 더 리버사이드 호텔 '더 가든키친'

소믈리에가 추천하는 와인 & 수제맥주 페어링 서비스
호텔 뷔페 최고의 가성비!
개별 프라이빗룸 무상제공 (돌잔치, 가족연, 비즈니스 모임 등)",14085,1649,15734,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210428_65%2F1619582200732eXFaH_JPEG%2F00311%2528IMG_9447x%2529.jpg
12589,쉐이크쉑 영등포 타임스퀘어점,서울 영등포구 영중로 15 (영등포동4가) 타임스퀘어 1층,02-2635-0104,햄버거,4.42,쉐이크쉑 타임스퀘어점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,11608,924,12532,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210107_26%2F1610009715066F3fEi_JPEG%2F2019_0828_SSB5729_1_HR.jpg
17437,스타벅스 환구단점,서울 중구 소공로 112,1522-3232,카페,4.46,주차 불가,11977,430,12407,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png
15273,프릳츠 도화점,서울 마포구 새창로2길 17,02-3275-2045,"카페,디저트",4.44,"* 주차불가 : 도화동 공영주차장 (서울특별시 마포구 도화동 557) 이용바랍니다. * 명절휴무 : 추석, 설 (연휴 3일) 휴무",7913,4052,11965,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180518_213%2F15266155090043BJKb_JPEG%2FyDTNCS3DtFGlKz_Bc9ZxbxLQ.JPG.jpg
14236,카페 노티드 안국,서울 종로구 북촌로 6-3 1층,0507-1337-9973,카페,4.45,안녕하세요 카페노티드 안국입니다. 항상 친절한 서비스와 품질 높은 베이커리 및 디저트로 고객들을 만족시키도록 하겠습니다.,8599,2886,11485,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210517_133%2F1621244155678GN07B_JPEG%2Fc7h_SBCexD7nvHTnhZGcPvrq.JPG.jpg
11826,덕수궁 리에제와플,서울 중구 덕수궁길 5,0507-1339-5202,와플,4.44,"생활의 달인_서울 디저트 3대 맛집!

[맛있습니다, 건강합니다, 보증합니다]

-맛있습니다-
맛보신 분이라면 누구나 인정하는 와플 대표 맛집으로 자리 잡았습니다.

서울 와플 맛집 1위로 알려져 3,000일 동안 3,000,000명이 다녀가신 광화문맛집 입니다
와플 맛집 최다 블로그 후기, 실제 구매 고객의 영수증 리뷰 등
고객님의 자발적인 극찬 후기로 그 맛을 인정받았습니다.

와플뿐 아니라 토핑 하나하나, 커피와 음료까지 고가의 최상급 원료를 사용해
주문 즉시 만들어 고급스러운 맛과 풍미를 자랑합니다.

최상급의 고메 등급 바닐라 빈을 사용해 더욱 깊은 풍미와 맛을
즐기실 수 있습니다.

-건강합니다-
찾을 수 있는 최고의 재료, 할 수 있는 최고의 정성으로 만듭니다,

국내 최초 유일 천연 발효종을 이용한 와플을 만듭니다.
프랑스 120년 전통 물랑부르주아 밀가루를 사용해 만든 발효종으로
미네랄 함유량이 높은 최고급 밀가루를 사용합니다.

매일매일 아침마다 직접 반죽한 뒤 바삭하고 쫀득한
식감을 위해 손으로 말아 빚어냅니다.
24시간 하루꼬박 저온에서 숙성 발효하여
주문 즉시 구워 드립니다.

자극적이고 인위적인 마가란, 쇼트팅, 화학 방부제 등
해로운 화학 첨가물은 일절 사용하지 않습니다.

-보증합니다-
100% 검증 가능한, 천연 고급 원료를 사용합니다

풍성한 풍미와 감칠맛을 지닌 천연 목초지대 프랑스 노르망디 산 버터
특허 기술을 지닌 청정지역 퀘벡의 전 세계 No.1 메이플 생산 조합의 고농축 메이플 시럽 & 과립
글루텐 Free 및 코셔 인증을 받은 딸기와 미국산 하이부시 블루베리

믿어지시나요?
전 세계에서 찾은 이 모든 최고급 원료가 와플 하나하나에 담겨 있는 사실!
더 맛있고 건강한 와플을 위한 우리의 여정은 지금도 계속되고 있습니다.",8491,2342,10833,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220623_284%2F1655971714852zYHNe_JPEG%2F%25BC%25AD%25BF%25EF%25BF%25CD%25C7%25C3%25B8%25C0%25C1%25FD.jpg
9737,그랜드 하얏트 서울,서울 용산구 소월로 322,02-797-1234,5성급,4.5,"서울의 중심부, 남산에 위치한 그랜드 하얏트 서울은 도심 속의 리조트호텔로, 세심한 서비스와 더불어 편안한 경험을 제공합니다. 서울의 중심인 남산에 위치하고 있어 강남과 강북으로의 진출이 용이하고 자동차로 시내 중심가까지 약 10분, 여의도까지 약 20분, 삼성동 무역 센터와 강남의 테헤란로까지 약 30분이면 도착할 수 있으며, 쇼핑거리인 이태원까지는 도보로 약 10분 거리에 있습니다. 그랜드 하얏트 서울의 레스토랑과 바에서 다양한 요리와 와인, 칵테일 등을 선보입니다. 특히 모던 스시 바 '카우리(Kauri)', 품격있는 다이닝을 선보이는 '스테이크 하우스(Steak House)', 화려하고 세련된 인터내셔널 철판 요리를 즐길 수 있는 '테판(Teppan)', 이자카야 스타일의 꼬치구이 전문점 '텐카이(Tenkai)'를 포함하여 자연주의 오픈형 플라워샵인 '피오리(Fiori)'를 322 소월로에서 만나보실 수 있습니다.
테슬라 수퍼차저 5기 24시간 이용 가능",2616,7594,10210,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220704_84%2F16568974970235Nupu_JPEG%2F200718_GHS_0025-1.jpg
