,store_name,address,tel,category,star,detail,visit_review,blog_review,tag,image,review_sum
4337,아웃백스테이크하우스 울산삼산점,울산 남구 삼산로 231 센트럴자이 더테라스가든 3층,0507-1302-1491,패밀리레스토랑,0,"아웃백 스테이크하우스는 전 세계 21개국 1,000여 개 매장을 보유한 세계적인 캐주얼 다이닝 스테이크 레스토랑 브랜드입니다. 호주 대 자연의 아름다움과 따뜻함을 느낄 수 있는 매장 인테리어와 함께 홈메이드 방식으로 조리되는 신선하고 풍부한 메뉴를 만날 수 있습니다. 호주산 소고기만을 사용하는 아웃백의 대표 메뉴 스테이크는 육즙이 풍부하고 부드러운 부위만을 엄선하여 고기가 가장 맛있는 따뜻한 온도의 플레이트 위에 제공하여 최상의 맛을 경험할 수 있도록 합니다.",8091,763,"분위기 있는, 든든한",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211216_58%2F1639622526384pUb9q_JPEG%2F%25BE%25F7%25C3%25BC_%25BA%25ED%25B7%25A2%25B6%25F3%25BA%25A7.jpg,8854
3127,맥도날드 울산굴화DT점,울산 울주군 범서읍 울밀로 2877 한국맥도날드유한회사,052-225-0602,햄버거,4.43,None,6301,47,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA1MDVfNzkg%2FMDAxNTg4Njc5MTk5NTA1.b2JsL93emDqhGh63-xyJuhwB6WLtuFZAG4QekUTy8FEg.MBYNvpnBrWAwcZv1IA6gHav5w3fxn16iKx3cEy_drXgg.JPEG.kalinpian%2FKakaoTalk_20200505_204448731_16.jpg,6348
7645,한가위,울산 북구 진장유통로 43,052-245-9200,소고기구이,4.45,None,4337,728,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200107_157%2F1578381460828QzlpX_PNG%2FmhUlF5uq_IELt-NuXf5mPsM1.png,5065
1751,맥도날드 울산옥동DT점,울산 남구 문수로423번길 2,070-7017-6528,햄버거,4.46,None,4396,44,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA3MThfMjQz%2FMDAxNjI2NjEzNDg2NDk4.zYJSJ9INpD6TEpMHJ1G-h3HatlmAqncjGHMKMIFkCjwg.VLd1r7s-TnKAHrykgiKtkyOa8OqMa4MWMTi3nenqJqcg.JPEG.soobin_17%2FIMG_9320.jpg,4440
5282,스타벅스 울산국가정원점,울산 중구 태화강국가정원길 205,1522-3232,카페,4.48,1.주차불가능,3566,308,"커피 맛집, 분위기 있는, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,3874
3435,스타벅스 울산중리사거리DT점,울산 남구 돋질로 310,1522-3232,카페,4.53,1. 주차가능 2. 주차장위치-매장후면 3. 주차가능대수-(장애인1대포함)16대 4.주차조건- 조건부 무료(1만원 이상 결제시 1만원당 1시간 지원(일 최대 4시간)//1시간 초과 시 10분당 500원 과금),3707,103,커피 맛집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,3810
6583,CGV 울산삼산,울산 남구 화합로 185,1544-1122,영화관,4.5,None,3000,701,기분 전환,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190909_31%2F1568029121469QDD5m_JPEG%2FNTQ2FVPVimOAvhpsv4omETX-.jpg,3701
9485,동성호 울산정자대게직판장,울산 북구 정자1길 15,052-298-9353,대게요리,4.53,"정자대게직판장 판매가격표

국내산 박달대게 특상급(동성호 조업)-----싯가
박달대게 (특상급) ------- 100,000~120,000원 /kg
킹크랩 (특상급) ------- 120,000~150,000 /kg
랍스터 (특상급) ------- 110,000원 /kg
랍스터 (상급) ---------- 100,000원 /kg
정자대게 (특상급) ----- 70,000원 /kg
정자대게 (상급) ------- 60,000원 /kg
국내산 홍게 ------------ 40,000원/kg
이시가리회 ------------ 싯가
참가자미회 ------------ 30,000원 /kg

수산물의 가격은 생물의 특성상 가격의 변동이 있습니다.
따라서, 정확한 가격을 알고자 할 때에는 전화주시기 바랍니다.
그외 다양한 해산물과 요리가 있습니다.",1671,1935,든든한,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190512_176%2F1557649821552zNw1W_JPEG%2FP7-FFp-qA_9Qabkj8qvjbLXs.jpg,3606
2541,헤이메르,울산 울주군 서생면 잿골길 72,052-238-0333,카페,0,안녕하세요 헤이메르 카페입니다 :),2175,1200,"커피 맛집, 분위기 있는, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180801_148%2F1533118086587A406y_JPEG%2FDJI_0098.jpg,3375
1548,농도,울산 울주군 상북면 명촌길천로 23 농도,0507-1477-1703,"카페,디저트",4.52,자연과 함께합니다. 우리는 고즈넉하고 편한 분위기를 지향합니다. 모두에게 짙은 곳으로 기억되길 바랍니다.,1630,1398,"커피 맛집, 디저트 맛집, 분위기 있는, 든든한, 파릇파릇한, 기분 전환",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201119_46%2F1605783166308gjL10_JPEG%2FscCBTEFIMzNGvJkSd6rVoedl.jpeg.jpg,3028
