name|star|visit_review|blog_review|category|addr|tele|detail
경주월드|4.57|방문자리뷰 15,358|블로그리뷰 4,184|테마파크|경북 경주시 보문로 544|1544-8765|롤코대장! 경주월드!!  국내 최초! 90도 수직 다이브 코스터 [드라켄] 거칠게 움직이는 360도, 더블 허리케인 메가톤급 스릴 [크라크] 전 세계 단 두개만 있는 패밀리 셔틀코스터! 신상 롤코 [발키리] 두 발이 동동~ 인버티드 롤러코스터 [파에톤] 더위를 날려버릴 거대한 물폭풍! 수상 롤코 [섬머린스플래쉬] 무엇과도 비교할 수 없는 짜릿한 스릴을 제대로 느껴보세요!
첨성대|4.33|방문자리뷰 329|블로그리뷰 8,609|문화,유적|경북 경주시 인왕동 839-1|None|1962년 12월 20일 국보 제31호로 지정되었다. 경상북도 경주시 인왕동에 소재하며 높이 9.17m, 밑지름 4.93m, 윗지름 2.85m이다. 밑에서부터 4.16m 되는 곳의 남쪽 허리에 한 변이 1m인 정사각형 문이 달려 있다. 모양은 원통형으로 남쪽 문에 사다리를 걸었던 자리가 있다. 30cm 높이의 돌 362개로 27단을 쌓아 만들었다.  내부는 제12단까지 흙이 차 있고, 제19단에서 제20단까지와 제25단에서 제26단까지의 두 곳에 정(井)자형 장대석(長大石)이 걸쳐 있는데 그 양끝이 밖으로 나가 있다. 제27단 내부의 반원(半圓)에는 판석(板石)이 있고, 맞은편에는 판목(板木)을 놓았던 곳으로 보이는 자리가 있다. 판석은 길이 156cm, 너비 60cm, 두께 24cm이다.  꼭대기에는 정자석(井字石)이 2단으로 짜여 있는데, 그 위에 관측기구를 놓았던 것으로 보인다. 혼천의(渾天儀)와 같은 관측기구를 정상에 설치하고 춘분 ·추분 ·동지 ·하지 등의 24절기를 별을 통하여 측정하였고, 정자석을 동서남북의 방위를 가리키는 기준으로 삼았던 것으로 보인다. 한편, 첨성대가 제단이었다는 학설도 있다. 《삼국유사(三國遺事)》에 신라 선덕여왕(善德女王:재위 632~647) 때 건립된 것으로 기록되어 있다.
동궁과 월지|4.49|방문자리뷰 3,135|블로그리뷰 7,806|호수,연못,저수지|경북 경주시 원화로 102 안압지|054-750-8655|남북국시대 통일신라의 별궁이 자리했던 궁궐터로 역사적인 곳. 경주의 야경명소로, 달이 비치는 연못이 인상적인 장소
경주대릉원|4.54|방문자리뷰 1,553|블로그리뷰 6,097|릉,묘,총|경북 경주시 황남동 31-1|054-750-8650|23기의 신라시대 고분이 모여 있는 고분유적지. 제 13대 미추왕릉과 거대한 표형분(쌍분)의 황남대총, 고분내부 관람이 가능한 천마총의 고분으로 신라 고분유적의 중심!!
안동하회마을|4.33|방문자리뷰 3,120|블로그리뷰 3,903|문화,유적|경북 안동시 풍천면 전서로 186|054-853-0109|1. 서울 : 영동고속도로-원주-만종분기점-제천-단양-죽령터널 -풍기-영주-서안동IC-안동. 2. 대전 : 4번국도-옥천-37번국도-보은-25번국도-상주시-예천-안동. 3. 부산 : 부산-경부고속-금호IC-중앙고속-남안동IC-안동시내. 4. 광주 : 광주-올림픽고속도로-대구-중앙고속도로-안동.
경주월드캘리포니아비치|4.51|방문자리뷰 6,815|블로그리뷰 618|워터파크|경북 경주시 보문로 544|1544-8765|경주시내에서 보문단지 방면으로 직진하면 보문단지 내에 위치.
부석사|4.48|방문자리뷰 1,950|블로그리뷰 3,245|세계문화유산|경북 영주시 부석면 부석사로 345|054-633-3464|중앙고속도로 서제천IC에서 풍기IC 방면 진행.
석굴암|4.32|방문자리뷰 2,981|블로그리뷰 1,851|세계문화유산|경북 경주시 석굴로 238|054-746-9933|불국사역 앞에서 좌회전.
칠곡보사계절썰매장|4.34|방문자리뷰 2,116|블로그리뷰 265|테마파크|경북 칠곡군 석적읍 석적로 234|054-977-7942|None
보문관광단지|4.33|방문자리뷰 98|블로그리뷰 2,941|관람,체험|경북 경주시 신평동|054-745-7601|아시아 3대 유적으로 지정된 경주(1979, 유네스코)의 보문호(普門湖)를 중심으로 약 1,033 ha에 걸쳐 조성되어 있다. 세계은행의 2500만 달러 차관을 포함한 총 600억 원을 투입하여 1974년부터 개발에 착수, 1979년 4월에 1단계 공사를 마치고 개장되었다. 충분한 숙박과 다양한 위락시설을 제공함으로써 경주를 명실공히 종합적인 관광휴양지로 개발하는 데 중추적인 역할을 맡고 있다. 주요시설로는 각종 국내외 회의와 대규모 행사를 유치할 수 있는 국제회의장인 관광센터(연면적 5,950㎡. 지하 1층 지상 3층, 5개 국어 동시통역실 완비), 골프장(18홀, 198ha), 각종토산품 및 관광기념품을 판매하는 종합상가, 특급호텔, 콘도미니엄, 놀이공원 등이 있다.
영일대해수욕장|4.15|방문자리뷰 213|블로그리뷰 5,745|해수욕장,해변|경북 포항시 북구 두호동 685-1|054-270-2114|포항시외버스터미널에서 시내 중심지 방면(북쪽)으로 약 2Km 지점인 죽도1동 오거리 북쪽으로 직진하여 3Km 정도 더 가면 북부해수욕장 입구에 도착
라한셀렉트 경주|4.48|방문자리뷰 3,209|블로그리뷰 2,744|5성급|경북 경주시 보문로 338 라한셀렉트 경주|054-748-2233|<KTX 신경주역> - 택시 | 35분 내외, 약 25,000원 - 버스 | 700 (1시간 내외)  <경주역> - 택시 | 20분 내외, 약 9,600원 - 버스 | 경주우체국 정류장에서 10, 16, 18, 100-1, 150-1, 700 (30분 내외)  <서경주역> - 택시 | 20분 내외, 약 12,000원
힐튼호텔 경주|4.48|방문자리뷰 2,027|블로그리뷰 2,771|5성급|경북 경주시 보문로 484-7|054-745-7788|김해국제공항 - 경주 고속버스터미널 (소요시간 60분) 서울역(KTX) - 신경주역(KTX) (소요시간 2시간 10분 / 운행 횟수 1일 20회) 경주고속버스터미널 - 힐튼경주 (소요시간 20분) 신경주역(KTX) - 힐튼경주 (소요시간 35분)
월정교|0.00|방문자리뷰 4|블로그리뷰 1,775|문화재|경북 경주시 교동 274|None|None
