name|star|visit_review|blog_review|category|addr|tele|detail
세종호수공원|4.23|방문자리뷰 270|블로그리뷰 3,159|테마공원|세종 연기면 호수공원길 155|None|None
국립세종수목원|4.5|방문자리뷰 9,958|블로그리뷰 2,857|식물원,수목원|세종 연기면 수목원로 136|044-251-0001|<국립세종수목원 사계절전시온실 전면 개방>  2021년 11월 1일부로 실시된 단계적 일상회복에 따라 사계절전시온실 사전예약제가 종료되었습니다. 전면 개방하오니 많은 관심 부탁드립니다.  <국립세종수목원 교육/전기버스 예약 홈페이지 오픈안내>  국립세종수목원 : https://www.sjna.or.kr/main/main.do  화면 중간의 교육프로그램 예약/전기 버스 예약의 예약하기 버튼을 클릭하시면 예약홈페이지로연결 됩니다. 회원가입없이 핸드폰 본인인증 후 예약이 이루어지니 핸드폰을 준비해주세요.  * 하절기 수목원 운영안내  - 하절기 입장시간: 09:00~17:00 / 관람시간: 09:00~18:00  - 동절기 입장시간: 09:00~16:00 / 관람시간: 09:00~17:00  * 반입금지물품 킥보드, 자전거, 인라인, 돗자리, 그늘막, 삼각대, 축구공, 연, 원반, 풍선, 소음 발생 물품, 쓰레기가 많이 발생되는 음식 등
베어트리파크|4.52|방문자리뷰 7,562|블로그리뷰 1,821|식물원,수목원|세종 전동면 신송로 217|0507-1414-7971|교통안내 *서울 TG(경부고속도로 74.3km)  ~ 천안분기점~ 천안논산간고속도로~ 남풍세IC(1번 국도 9km)~ 송성리 진출로~ 베어트리파크  *대전 IC(경부고속도로 26.7km)  ~ 청주(조치원)IC~ 조치원(1번국도8.6km)~ 신방리 진출로~ 베어트리파크  *정안 IC(천안논산고속도로 22km)  ~ 공주(23번국도)~ 행정(1번국도)~ 송성리 진출로~ 베어트리파크
뒤웅박고을|4.43|방문자리뷰 230|블로그리뷰 528|테마공원|세종 전동면 배일길 90-43|1588-0093|-한식당(장향관)- 매주 화요일 휴무 라스트오더 점심 14:00까지 저녁 19:00까지 브레이크타임 14:30분 부터 5시 30분까지  가격 정코스: 39000원 성코스: 55000원  -세종전통장류박물관- 개관 10:30 폐관 16:30 매주 화요일 휴관
금강자연휴양림|4.31|방문자리뷰 336|블로그리뷰 394|휴양림,산림욕장|세종 금남면 산림박물관길 110 산림박물관|041-635-7400|서울(1번 국도)→행정리 백제휴게소 삼거리(23번 국도)→공주→공주시내 충남과학고 앞 신호등에서 U턴하여 50m지점에서 구도로로 우회전 후 창벽대교 밑에서 우회전, 비포장도로 진입
금강수목원|4.37|방문자리뷰 261|블로그리뷰 691|식물원,수목원|세종 금남면 산림박물관길 110 산림박물관|041-635-7400|자연학습 교육과 지역 향토수종 및 희귀 유용수종에 대한 수집·발굴·증식을 통해 생물다양성을 보전하고, 식물의 자원화를 위한 학술연구와 산림사료에 대한 영구적 보전·전시를 통해 중부 지역을 대표할 수 있는 산림 휴양공간과 문화공간을 제공할 목적으로 1994년 문을 열었다.  전체 면적은 20㏊이며, 총 23개 원(園)에 421종 10만 1000본이 식재되어 있다. 충청남도 산림환경연구소에서 관리하며, 1997년 10월 산림박물관을 개관하였다. 크게 전시수목원과 전문수목원 지구로 나뉜다.전시수목원은 열대온실·산림박물관과 연계하여 내방객을 대상으로 자연학습 교육을 실시하고, 정서 함양을 위한 휴식공간을 제공할 목적으로 조성되었다. 전문수목원은 가치있는 지역 향토수종 등 생물다양성의 지속적 발굴과 보전, 학술 연구를 병행할 수 있는 수목원이다.  그 밖에 열대과수원·열대화원·다육식물원 등 주제별로 구성한 온실과 대규모 동물사육장이 있으며, 자연관찰·산림체험·견학을 위한 자연학습 캠프를 운영한다. 관람 시간은 3~10월에는 10시부터 18시, 11~2월에는 10시부터 17시까지이다. 입장료는 2004년 현재 어린이 700원, 청소년 1,300원, 어른 1,500원이며, 별도로 주차료를 받는다.   1월 1일, 설날·추석, 매주 월요일은 문을 닫는다.주변 관광지로는 공주민속극박물관, 국립공주박물관, 동학사(東鶴寺), 마암리(馬岩里) 선사동굴유적, 봉곡산성(鳳谷山城) 등이 있다. 충청남도 공주시 반포면 도남리 산 21-1번지에 있다
조천연꽃공원|0.00|0|블로그리뷰 280|자연,생태공원|세종 조치원읍 번암리 226|None|None
세종중앙공원|4.28|방문자리뷰 117|블로그리뷰 219|근린공원|세종 연기면 세종리 114-374|None|None
방축천 음악분수|0.00|0|블로그리뷰 133|지역명소|세종 어진동 450-25|044-300-5336|전화번호  근무시간 내 044-300-5336(세종시청 치수방재과)  주말 및 야간 044-300-8888(세종시청 당직실)  운영기간 : 5.1.~ 10.31. 운영시간 : 20:30 ~ 약 20분간 ※ 호우 시 안전 및 시설물 보호로 운영하지 않습니다.
제천뜰근린공원|4.4|방문자리뷰 23|블로그리뷰 48|근린공원|세종 종촌동 676|None|좋아요
고복저수지|0.00|0|블로그리뷰 749|호수,연못,저수지|세종 연서면 용암리|None|경부고속도로 → 안성 → 천안논산고속도로 → 남천안IC → 송성리 → 송파랜드 → 고복저수지
도토리숲키즈파크|4.8|방문자리뷰 2,429|블로그리뷰 146|관람,체험|세종 장군면 영평사길 34 도토리숲키즈파크|044-868-1103|도토리숲 키즈파크는 세종시 영평사 입구에 위치하고 있습니다.
아띠쥬|4.48|방문자리뷰 205|블로그리뷰 53|동물원|세종 대평3길 18 해피라움 블루 7층|044-715-5155|단체문의 가능하십니다.  새로운 이름으로 단장한 아띠쥬는 코로나19 방역수칙을 준수합니다.  월요일이 공휴일 경우 정상 영업합니다.  네이버 예약 결제는 동물원 매표소에서 합니다.  업체정보 : [세종]아띠쥬 업체주소 : 세종시 대평3길 18(대평동, 해피라움블루)7층 아띠쥬 업체번호 : 044-715-5155 영업시간 : 10:00 ~ 18:00 매표마감 : 17:00 휴 무 : 월요일(공휴일일 경우 영업합니다.) 무료입장나이 : 18개월 미만 증빙서류 지참 시 무료입장 가능(증빙서류 - 의료보험증, 등본 등) 주차 : 현장 문의
쥬라리움 세종점|4.88|방문자리뷰 537|블로그리뷰 69|테마파크|세종 한누리대로 2275 B1층, 지상2층|070-8828-7542|동물을 만나는 새로운 방법, ZOORARIUM 도심 속에서 만나는 동물 친구들!
고운뜰공원|4.39|방문자리뷰 15|블로그리뷰 194|근린공원|세종 만남로 151|None|좋아요
