name|star|visit_review|blog_review|category|addr|tele|detail
광한루원|4.41|방문자리뷰 4,589|블로그리뷰 4,238|문화,유적|전북 남원시 요천로 1447|063-625-4861|세종(1419년)때 황희정승이 건립해 광통루라 했다. 그 후 1444년 관찰사 정인지가 광한루라 이름 붙였고 정유재란 때 소실되었던 것을 1638년에 재건하였다.  광한루원은 사적 제 303호로 지정되어 있으며 견우와 직녀의 전설이 담긴 오작교를 비롯하여, 춘향사당, 춘향관, 월매집, 완월정 등의 여러 정자와 누각들이 자리 잡고 있다. 이곳에서는 각종 전통의식과 혼례식이 열리고 있으며, 매년 5월5일에 춘향제가 개최된다.
전주동물원|4.48|방문자리뷰 7,229|블로그리뷰 3,266|동물원|전북 전주시 덕진구 소리로 68 전주동물원|063-281-6759|1978년 6월 10일에 개원하였으며, 면적 118,800제곱미터이다. 지방동물원 중 가장 오래된 동물원으로 과천 서울대공원 동물원, 용인 에버랜드 동물원에 이어 세번째 규모이다.  전주동물원은 도심 속에서 지친 시민들을 위한 푸른 쉼터로서 언제든지 관람할 수 있도록 연중무휴로 운영하고 있다. 그리고 100여 종 600여 마리의 동물들이 살고 있으며, 다양한 계절 식물들이 자라나 있다  또한 동물들에게 쾌적한 사육장을 제공하고 '행동풍부화프로그램' 등 다양한 사업을 수행하며 동물복지를 실현 하고자 노력하고 있다.  그밖에 전주동물원 인근 주변에는 덕진공원과 축구장,배구장 등 운동시설을 갖춘 체련공원이 있다. 전주 주변에는 덕진공원,조경단,전주향교,경기전,전동성당,한벽루 등의 관광명소가 있다.
전주 한옥마을|4.32|방문자리뷰 956|블로그리뷰 19,789|지역명소|전북 전주시 완산구 기린대로 99|063-282-1330|전주 풍남동 일대에 700여 채의 한옥이 군락을 이루고 있는 국내 최대 규모의 전통 한옥촌이며, 전국 유일의 도심 한옥군입니다. 1910년 조성되기 시작한 우리나라 근대 주거문화 발달과정의 중요한 공간으로, 경기전, 오목대, 향교 등 중요 문화재와 20여개의 문화시설이 산재되어 있으며, 한옥, 한식, 한지, 한소리, 한복, 한방 등 韓스타일이 집약된 대한민국 대표 여행지입니다.
경암동철길마을|0.00|0|블로그리뷰 5,704|거리,골목|전북 군산시 경촌4길 14|None|None
변산해수욕장|4.28|방문자리뷰 75|블로그리뷰 1,003|해수욕장,해변|전북 부안군 변산면 대항리 567|None|호남고속도로→정주 IC→29번 국도→고부리에서 좌측 지방도로→줄포→23번 국도→영전리→30번 국도→변산해수욕장
전주덕진공원|4.16|방문자리뷰 145|블로그리뷰 2,334|근린공원|전북 전주시 덕진구 권삼득로 390 전주덕진공원|063-239-2607|호남고속도로 전주IC에서 시내로 들어가는 팔달로 변에 위치.
한국도로공사 전주수목원|4.33|방문자리뷰 92|블로그리뷰 2,655|식물원,수목원|전북 전주시 덕진구 번영로 462-45 전주수목원|063-714-7200|호남고속도로 전주IC → 전주방면 → 전주수목원
채석강|4.14|방문자리뷰 155|블로그리뷰 3,251|자연명소|전북 부안군 변산면 격포리|063-582-7808|1976년 4월 2일 전라북도기념물 제28호로 지정되었다. 면적 12만 7372㎡이다. 전라북도 부안군 변산반도 맨 서쪽, 격포항 오른쪽 닭이봉 밑에 있다. 옛 수군(水軍)의 근거지이며 조선시대에는 전라우수영(全羅右水營) 관하의 격포진(格浦鎭)이 있던 곳이다.  지형은 선캄브리아대의 화강암, 편마암을 기저층으로 한 중생대 백악기의 지층이다. 바닷물에 침식되어 퇴적한 절벽이 마치 수만 권의 책을 쌓아놓은 듯하다. 주변의 백사장, 맑은 물과 어울려 풍치가 더할 나위 없다. 채석강이라는 이름은 중국 당의 이태백이 배를 타고 술을 마시다가 강물에 뜬 달을 잡으려다 빠져 죽었다는 채석강과 흡사하여 지어진 이름이다.  여름철에는 해수욕을 즐기기 좋고 빼어난 경관 때문에 사진 촬영이나 영화 촬영도 자주 이루어진다. 채석강에서 해수욕장 건너 백사장을 따라 북쪽으로 올라가면 붉은 암벽으로 이루어진 적벽강이 있다.
상하농원|4.22|방문자리뷰 1,076|블로그리뷰 1,976|테마공원|전북 고창군 상하면 상하농원길 11-23|1522-3698|안녕하세요. 상하농원입니다.   도시에 살고있는 우리에게 거리마다 가득찬 식당의 화려한 음식과 슈퍼마켓에 진열되어 있는 수많은 인스턴트 식품은 어머니가 해주신 한 그릇의 따뜻한 된장찌개 보다 익숙합니다.  넘쳐나는 먹거리 속에 담긴 우리의 불만은 이 잃어버린 멀건 된장찌개에서 비롯된 것은 아닐까요?  쌀이 슈퍼마켓에서 나온다는 우리 아이들에게 먹거리에 대한 소중함과 어머니의 맛을 알려주기 위해 저희는 상하를 찾았고, 마을을 꾸렸습니다.   사계절, 이십사절기 풍요로운 자연에 순응하고, 안심할 수 있는 먹거리를 생상하며, 된장찌개 한 그릇의 소박한 즐거움을 누리며 살아가는 상하농원 젊은 농부 한 사람, 한 사람의 마음을 그대로 담아 여러분들께 전달하는 그날까지,,,,,,  따뜻한 햇살과 청정한 바람  그리고 푸르른 대지가 하나 되어 숨 쉬고 있는,,, 상하농원에서 드림
새만금방조제|4.47|방문자리뷰 29|블로그리뷰 1,064|지역명소|전북 군산시 비응도동|063-584-6822|새만금개발청, 새만금방조제 전 구간 지적공부 등록 완료 - 군산시 3-4호, 김제시 2호, 부안군 1호 방조제 등록 - □ 새만금개발청(청장 이병국)은 6월 16일(목) 새만금방조제 전 구간에 대한 지적공부 등록을 완료했다고 밝혔다. ㅇ 새만금방조제 3-4호 구간은 2010년 군산시로 등록되었으며, ㅇ 1-2호 구간은 지난해 중앙분재조정위원회의 심의‧의결 결과*에 따라(’15.10.26), 농림축산식품부에서 준공절차를 완료(16.6.10)하고, 새만금개발청에서 지적공부 신규 등록을 마무리하게 되었다. * 1호 방조제 부안군, 2호 방조제 김제시 □ 행정구역별 방조제 등록 현황은 군산시가 3-4호 방조제(19.3㎞) 4,492,480.4㎡(59필지), 김제시 2호 방조제(9.9㎞) 1,688,883.2㎡(32필지), 부안군 1호 방조제(4.7㎞) 890,731.3㎡(28필지)이다. ㅇ 지목별로는 한국농어촌공사 사업단 부지 및 해양경비초소 등으로 사용하는 대지가 48,194.8㎡(7필지), 주차장 77,863.1㎡(9필지), 도로 1,317,656.2㎡(19필지), 제방 1,368,577.5㎡(21필지), 유지 6,990.2㎡(1필지), 잡종지 4,252,813.1㎡(62필지) 등이다. □ 새만금개발청 관계자는 “새만금방조제는 국제표준의 측량기준체계로 지적공부에 등록했다”면서, ㅇ “위치 좌표의 정확도 향상 등을 위해 국토지리정보원과 업무협약을 체결하고 가력도에 위성기준점을 설치(’16.4)한 만큼, 향후 준공되는 산업단지와 농‧생명용지 등의 토지를 신속하고 정확하게 등록해 나가겠다.”고 밝혔다. ㅇ 한편, 새만금개발청은 소통과 공유를 강조하는 정부3.0 취지를 살려, 신규로 등록된 토지 내역을 누리집(www.saemangeum.go.kr)에 게시하고 공유해 나갈 방침이다.
보리나라 학원농장|4.38|방문자리뷰 180|블로그리뷰 1,894|관광농원,팜스테이|전북 고창군 공음면 학원농장길 154|063-564-9897|호남고속도로 정읍IC에서 고창읍을 경유하여 796번 지방도로를 이용, 무장에서 공음방면으로 약 4Km 진행 후 계동버스정류장에서 좌회전 후 1km 지점.
고사포해수욕장|4.47|방문자리뷰 54|블로그리뷰 495|해수욕장,해변|전북 부안군 변산면 운산리|063-582-7808|서해안고속도로→부안IC(30번 국도)→부안→변산해수욕장→고사포해수욕장
라한호텔 전주|4.4|방문자리뷰 1,239|블로그리뷰 1,369|3성급|전북 전주시 완산구 기린대로 85 라한호텔 전주|063-232-7000|DELIGHTFUL STAY _ 1,200년 역사의 옛 도읍지 전주 그 아름다운 전통문화의 도시 전주에 새롭게 문을 연 라한호텔을 만나보세요. _ 모던한 인테리어를 입힌 아늑한 객실과 이색적인 한옥마을 전망을 자랑하는 부대시설 그리고 특별한 살롱 프로그램을 만나볼 수 있는 북스토어까지. 한옥마을의 정취를 품은 라한호텔 전주에서 환한 미소로 고객여러분을 맞이하겠습니다.
아쿠아틱파크 아마존|4.39|방문자리뷰 2,392|블로그리뷰 457|워터파크|전북 완주군 구이면 항가리 1203|0507-1498-9304|자가용으로 오실 경우   네비게이션 입력 주소 : 완주군 구이면 신전길 75-96 아쿠아틱파크 아마존  서전주IC 전주방면으로500M ->21번 국도(순창남원방면)->구이나들목->원당교차로->27번국도(순창방면)->모악터널->모악교차로(전주예술고등학교, 고등학교 방향)  전주IC 호남제일문->팔달로->공설운동장->롯데백화점->이마트->백제로->꽃밭정이네거리->27번국도->모악터널->모악교차로(전주예술중학교,고등학교 방향)   버스로 오실 경우   시내버스 970번(배차 간격 약 20분) 사단 앞->현대아파트3차->신일아파트->전라고->송천동삼거리->덕진->팔달로->전동->꽃밭정이네거리->교도소->도립미술관 하차 후 전주 예술중학교, 고등학교 방향
선유도해수욕장|4.35|방문자리뷰 25|블로그리뷰 1,453|해수욕장,해변|전북 군산시 옥도면 선유도리|063-465-5186|서울에사 고속버스타고→군산(3시간20분소요)→군산에서 여객선타고→선유도(2시간소요.피서철1일3/5회 운항)
